n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base5,2,149,1,,921.2093053250574,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.13172674341335475,0.07763936309298668,0.1046399086161705,0.038030284215055624,0.04409177198341991,0.08095449201128593,0.11049905573062449,0.04651271943026848,0.051043021176503826,0.30607353935473974,0.40724083582499604,0.13172674341335475,
1000,base5,0,147,1,,1002.966052755015,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.4605056063516838,0.07666535035325336,0.10296745001352708,0.016446659441142486,0.020214207412873195,0.07261017023569542,0.10015826878272834,0.013984664259114654,0.020542525810124904,0.24988226217246867,0.33564633501082336,0.4605056063516838,
1000,base5,1,148,1,,1172.1142102419399,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.30527441678155076,0.07641735361086813,0.10264432648792313,0.01729671760337731,0.020047845795482102,0.07690181406957537,0.10536667359954915,0.024747478858722166,0.0292446514253239,0.29329268560118893,0.37935658358368757,0.30527441678155076,
1000,base5,2,149,1,,1172.4182094560238,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-0.013517710559581389,0.07766728558657282,0.10347588764730407,0.049986484405109416,0.05254810962084803,0.08094074873751018,0.10885829922780775,0.05172514351808613,0.05672412365029743,0.306133573201699,0.4097174637537777,0.013517710559581389,
1000,base5,2,149,1,,1173.451454606955,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.28480892162404386,0.07696546765137965,0.1035391110069822,0.04298552885992922,0.049765890409144635,0.07839434913655534,0.10759009983445164,0.05102060135715718,0.05671418705442272,0.30257651415617853,0.39967165734196475,0.28480892162404386,
1000,base5,0,147,1,,1184.7119644850027,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.6,-0.3034909136157171,0.07616905894794217,0.10239925680670765,0.014353192715778562,0.017834567813726828,0.07576025891283827,0.10353926445992685,0.011168077769570989,0.018173782247046293,0.24707045600291713,0.33208720227281685,0.3034909136157171,
1000,base5,0,147,1,,1202.3589975680225,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.3,-0.14664980913621964,0.07595844812338796,0.10209578737478248,0.012408614875007856,0.015553343260998545,0.07760829694752945,0.10532442894773406,0.009791828825662596,0.016742498335663547,0.24640187723669665,0.3309848345394727,0.14664980913621964,
1000,base5,0,147,1,,1203.018517719931,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-0.04464546885166283,0.07842509758245111,0.10455486070056828,0.029957654145997673,0.03356683205440436,0.0813907681645701,0.10893603386844879,0.03592010883851793,0.037301461508001815,0.24326500738910128,0.31031785365928244,0.04464546885166283,
1000,base5,2,149,1,,1206.5624140939908,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.9,-0.43685074597687434,0.07596575637746225,0.10229595765032976,0.04721433599176718,0.05510512981191059,0.0734677272225558,0.10255129870572616,0.053975642269455115,0.06142646346473539,0.30101442452556587,0.3926357477958385,0.43685074597687434,
1000,base5,1,148,1,,1208.8803140609525,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,constant,0.0,-7.527039952999095e-05,0.07706318586482691,0.10532898981326022,0.022654099950847967,0.028170265946696083,0.0793887717869729,0.10937406280033603,0.015099723189046232,0.01919547934379821,0.2505388590237777,0.32450815638887964,7.527039952999095e-05,
