n,noise_type,coef_type,rep,seed,miae,rmise,beta_mae,beta_rmse,err_mae,err_rmse
2000,gaussian,sqrt,0,123,0.06324766785879155,0.08025396895657741,0.045353467224321875,0.04558833248131692,0.38416745739045166,0.47554983416436275
2000,gaussian,sqrt,1,124,0.07202649682327596,0.09063083491454918,0.08271787116407636,0.08752198783719893,0.3306338483032002,0.4121246130269428
2000,gaussian,sqrt,2,125,0.06594546734573666,0.0837201645146545,0.04749913556427865,0.05248854807611978,0.3424165470464668,0.4225857750865628
2000,gaussian,sqrt,3,126,0.0690022866382759,0.08716108074825675,0.044010346987183646,0.05954978086320183,0.28904672218306904,0.368950042203575
2000,gaussian,sqrt,4,127,0.06950527562191568,0.08794722862058084,0.05260898418080051,0.060919579628599535,0.35701650655328826,0.4590525010738014
2000,gaussian,sqrt,5,128,0.06852235503734672,0.0854277422066194,0.047735312588875645,0.04823595318960027,0.35386408994225077,0.4484921657913762
2000,gaussian,sqrt,6,129,0.07461839867746071,0.09410506580699983,0.03869912137727005,0.04188525197890331,0.3763357397467945,0.4688646629066919
2000,gaussian,sqrt,7,130,0.06835207828239537,0.08567221903797514,0.07540819744853255,0.08692456624386394,0.3211652853542398,0.3981943132783453
2000,gaussian,sqrt,8,131,0.06504516751366712,0.08165030748854699,0.07887540736506582,0.08399446910926636,0.35256837197806035,0.4409633494404371
2000,gaussian,sqrt,9,132,0.06912324530156103,0.08656819269932384,0.020898774196954684,0.027028571110663428,0.3488202632037065,0.4390174451972056
2000,gaussian,sqrt,10,133,0.06503721273005478,0.08291832727362493,0.036010584470088536,0.03700191945430776,0.34354101692694117,0.4369681967362707
2000,gaussian,sqrt,11,134,0.06925998066443119,0.0868015545154565,0.019168512382728542,0.02146930886663486,0.3345602391113902,0.4108350522911488
2000,gaussian,sqrt,12,135,0.06676938317413991,0.08450724159758158,0.030318693341227054,0.03680692619766988,0.35529069793926493,0.4424809760165121
2000,gaussian,sqrt,13,136,0.07065082396441817,0.08899532150363722,0.05620769849749524,0.05659726070038416,0.3245598743503184,0.4062809667612224
2000,gaussian,sqrt,14,137,0.064080704398618,0.0810772255106641,0.020989822571664707,0.027852004507441915,0.33517966828995815,0.42580033357783864
2000,gaussian,sqrt,15,138,0.06439520624488648,0.08088204287155426,0.010183695801168346,0.01026179241069571,0.3634183279099936,0.4631990178212033
2000,gaussian,sqrt,16,139,0.06780803618047172,0.08463853959352768,0.020970805351858357,0.02357678864540367,0.38677588371273564,0.473755416526488
2000,gaussian,sqrt,17,140,0.06756284322582846,0.0847073157442201,0.008283411892898329,0.008949361699805656,0.3487608099779611,0.4358521566927716
2000,gaussian,sqrt,18,141,0.06833014280312023,0.08515257364510513,0.038627850548176856,0.048416733803735006,0.325390844234722,0.4150063376926579
2000,gaussian,sqrt,19,142,0.06805777469143606,0.08555916068523263,0.0312941441883281,0.031297084138613006,0.33549789286810366,0.4252599365426653
2000,gaussian,sqrt,20,143,0.0643497119479224,0.08095703790578254,0.028595024570745364,0.039791819990332204,0.34413080384805844,0.43422583025395023
2000,gaussian,sqrt,21,144,0.0712584479406175,0.09084484432551808,0.007320898952459298,0.007323600102733795,0.33436624842647,0.4242988704999029
2000,gaussian,sqrt,22,145,0.074780612286242,0.09424681676844585,0.0364991979024924,0.04133390738695879,0.33862037154746394,0.43120566763964274
2000,gaussian,sqrt,23,146,0.06489584481528357,0.0821372688618795,0.04356203509345846,0.043777470258303045,0.3033929944693803,0.39098368862866306
2000,gaussian,sqrt,24,147,0.06838256730675578,0.08630439109618135,0.05620652421864364,0.07224172467961659,0.34496559004836774,0.4332079776365166
2000,gaussian,sqrt,25,148,0.06260847376418359,0.07915698575830941,0.09025247130413644,0.09204820549187857,0.3704488303720443,0.4644587650856851
2000,gaussian,sqrt,26,149,0.06807401963001117,0.08572307421004902,0.020523958495211936,0.02536794697667221,0.39330324253538845,0.4756800675044985
2000,gaussian,sqrt,27,150,0.06400556669635485,0.08064930938394188,0.007337068998620522,0.009289735183135625,0.34288587255630154,0.43032926087035617
2000,gaussian,sqrt,28,151,0.0765120013693156,0.0965352999875813,0.034916571230222126,0.03604739480371688,0.3338999363841658,0.4220233007803039
2000,gaussian,sqrt,29,152,0.06530071913271313,0.08197719057081596,0.04307982587844139,0.04573601257066581,0.3737122552390656,0.46376747728755413
2000,gaussian,quadratic,0,123,0.06810854851249805,0.08613964831530817,0.05558652565776767,0.0571113545327825,0.39319954057192935,0.4815160010367558
2000,gaussian,quadratic,1,124,0.07620410903205267,0.09627978598810054,0.08552686931804415,0.08855915144953182,0.34964162560485945,0.44061220250768535
2000,gaussian,quadratic,2,125,0.06928061915487062,0.08723796228791628,0.03945726515959791,0.0519040145234432,0.37551922758715983,0.4656435886807583
2000,gaussian,quadratic,3,126,0.07426626526609272,0.09378459686937132,0.054652968120064316,0.07318557437329547,0.30845379454783833,0.3887568386269692
2000,gaussian,quadratic,4,127,0.07306661234687992,0.0924604490672522,0.05760319176781503,0.06200718780920203,0.37493261909502656,0.47520644995571715
2000,gaussian,quadratic,5,128,0.07242418930744422,0.09076784206004253,0.0656314390336531,0.06593464008079641,0.38209988780397536,0.4835668689646304
2000,gaussian,quadratic,6,129,0.0789686532959243,0.09952134912707493,0.039532041145377006,0.04044053266111784,0.38961990109027383,0.4888668971168759
2000,gaussian,quadratic,7,130,0.07162745840239068,0.08961761120931669,0.06629549200757362,0.08349687312446857,0.33515473248500394,0.4180512773903822
2000,gaussian,quadratic,8,131,0.06980431819140599,0.08765543754402125,0.07655048659674396,0.07930974903013485,0.3837056590868306,0.4729155726648428
2000,gaussian,quadratic,9,132,0.07488798659193997,0.09414447916163282,0.010025206143907284,0.012762580574645908,0.36939935781580374,0.45886361165375
2000,gaussian,quadratic,10,133,0.0691359499722409,0.08739776245530151,0.018784337089214564,0.02259113117788289,0.35915811261156283,0.4520911282877545
2000,gaussian,quadratic,11,134,0.07412872042748256,0.09287654559610416,0.028809699134345557,0.031272195153374746,0.35317510089565873,0.4341277517893859
2000,gaussian,quadratic,12,135,0.07145142687769952,0.0900993231986096,0.02763529897880379,0.03501076771355379,0.3789787967962067,0.46623163345379154
2000,gaussian,quadratic,13,136,0.0739598958822648,0.09365025518703811,0.06115021799780074,0.062048253754907,0.3454037725803527,0.42848080387223625
2000,gaussian,quadratic,14,137,0.06956924519091788,0.087934359911859,0.021223005432997377,0.027217537015790386,0.3416910942924541,0.4382594680102765
2000,gaussian,quadratic,15,138,0.0701604070545133,0.08751552845227004,0.020453608179774985,0.022711284194301736,0.3766492965456861,0.4756942380886053
2000,gaussian,quadratic,16,139,0.07285036492845498,0.09132290383364335,0.015045253910109246,0.02071412056076102,0.4050855434371325,0.4964880605342694
2000,gaussian,quadratic,17,140,0.0711788013515526,0.0888530958549894,0.001958640731232919,0.0019789719946462624,0.36150155817506935,0.45240410410549053
2000,gaussian,quadratic,18,141,0.07236498236358248,0.09048952316917142,0.04318910142386184,0.05445946213035918,0.339789066086822,0.4297007697249792
2000,gaussian,quadratic,19,142,0.07199712757873497,0.09036674663713772,0.03089599870228943,0.03096989438870727,0.35865947390453484,0.4521352050107486
2000,gaussian,quadratic,20,143,0.07060897721360737,0.08862363904057519,0.042373148876502564,0.054524447984471,0.3581472783359398,0.4513876895181423
2000,gaussian,quadratic,21,144,0.07571229709114696,0.09573898143652083,0.006451060651647023,0.008295151888962172,0.34657083817320467,0.4410522608471006
2000,gaussian,quadratic,22,145,0.0797983134390036,0.10049857409305736,0.048356890523235996,0.04844619334955536,0.3709259356892263,0.4642579229828827
2000,gaussian,quadratic,23,146,0.06925905942003668,0.08771464555011428,0.05488697254324898,0.05497258748343395,0.30926779571334095,0.39608905617756335
2000,gaussian,quadratic,24,147,0.07391876441753158,0.09314293331643624,0.05937029664089899,0.07917004176904142,0.36700216315744016,0.4625616130125646
2000,gaussian,quadratic,25,148,0.06642581070470942,0.0838903534407788,0.08834581565898808,0.08889530268397679,0.371978113119897,0.46510686102914545
2000,gaussian,quadratic,26,149,0.0715069607626281,0.09048033308673378,0.02981974818788341,0.034253938998056205,0.4195031167968176,0.5061254712150864
2000,gaussian,quadratic,27,150,0.06786382520734467,0.08555302918923367,0.016147730637225133,0.01664711429896641,0.3660625713776672,0.46477755016528277
2000,gaussian,quadratic,28,151,0.07992525202370045,0.1012016772304974,0.024830247783576842,0.025598362463706947,0.344014421536311,0.43455999661641026
2000,gaussian,quadratic,29,152,0.06974133074966968,0.08733185582256105,0.04212886018346984,0.04660836403223286,0.3840617690912941,0.4900673017541829
2000,gaussian,bump,0,123,0.08364475808120438,0.10951386633426524,0.028103991172207854,0.02836021378366836,0.4703256499320824,0.5852742548030795
2000,gaussian,bump,1,124,0.09156565957988923,0.11679724454743036,0.06708268001777296,0.08145022193601233,0.398032855802892,0.5017292742862973
2000,gaussian,bump,2,125,0.08570122899518053,0.11193279569046276,0.04105635795807239,0.042094070274051626,0.37930290599985933,0.5074115973041076
2000,gaussian,bump,3,126,0.09076718297840823,0.11756026537893485,0.03845466902476763,0.0456987627245197,0.37758590817578586,0.5109259397502822
2000,gaussian,bump,4,127,0.08642511561589751,0.11332609248535834,0.053312595912301974,0.07396727166786267,0.42248214676095297,0.5509022681836709
2000,gaussian,bump,5,128,0.08917628180162782,0.11482801569082896,0.027755148019355302,0.030105512798769662,0.39733279958657747,0.4950614033007128
2000,gaussian,bump,6,129,0.09201295816404445,0.11637310143095242,0.06402694846647916,0.07382336154724108,0.43535013074379036,0.5453975463414658
2000,gaussian,bump,7,130,0.08623520710303882,0.11172499531463438,0.07298354853268679,0.0750206222851268,0.3659425780285984,0.4650154355722973
2000,gaussian,bump,8,131,0.08404717088464507,0.10905560792290976,0.07222007894353333,0.08366313420046637,0.4082474702221047,0.526788685410791
2000,gaussian,bump,9,132,0.09119939637568314,0.11613749664690691,0.046403888038369034,0.058883947451151206,0.42615085836027367,0.5549307129835682
2000,gaussian,bump,10,133,0.08561799331951081,0.1107110427355202,0.06316502754765718,0.06505449710055096,0.43405575083856307,0.557422264445258
2000,gaussian,bump,11,134,0.08759982444178879,0.11245013565486672,0.010915754087273077,0.011007762282439439,0.3993454720156527,0.5141923497998948
2000,gaussian,bump,12,135,0.08812038567421554,0.11601332060170963,0.046643935876364506,0.0468413513838859,0.42642986544403044,0.5329170543703297
2000,gaussian,bump,13,136,0.08706112669007612,0.11166033846038267,0.03543436149452417,0.03640332606204229,0.3996191413259717,0.5233761345247256
2000,gaussian,bump,14,137,0.08242557717832749,0.10715155881737014,0.04756154731556628,0.0540422096681892,0.4434708268677743,0.5734084945804638
2000,gaussian,bump,15,138,0.08144257322522182,0.10495681334719825,0.013288396669277336,0.013454514148703764,0.42553143171788393,0.5510098744969661
2000,gaussian,bump,16,139,0.08756744326707834,0.11324137515607904,0.05005234856716079,0.05399028175036116,0.44691543559128855,0.556612161705341
2000,gaussian,bump,17,140,0.08684197807566485,0.11245442867350784,0.035822252702540025,0.03829564488419825,0.4169883140020903,0.5203976477180953
2000,gaussian,bump,18,141,0.08704588447633808,0.11251672018585578,0.03324199439582892,0.04698808862659472,0.420368503025762,0.5247292780830506
2000,gaussian,bump,19,142,0.0872766678967585,0.11087889496388631,0.06287117091105615,0.06357346024062704,0.41901186084443,0.5449602023487569
2000,gaussian,bump,20,143,0.08050073930089081,0.10368422915935546,0.046913488874728015,0.04800296039293518,0.4075822113961526,0.5187845069911162
2000,gaussian,bump,21,144,0.0912227843623352,0.11656585376536975,0.014956489839074605,0.016224772639585112,0.4213305230113605,0.5422679062377705
2000,gaussian,bump,22,145,0.09345244027888913,0.11846015397010083,0.02121355639504302,0.021352066190900677,0.400651446558429,0.5191231766996188
2000,gaussian,bump,23,146,0.0841234482085328,0.11147400673762434,0.028181818769979494,0.028403859279621056,0.3775100753368152,0.492475995938508
2000,gaussian,bump,24,147,0.0886348350294389,0.1141115720235418,0.05832489126726692,0.0785543897183272,0.4060703957113779,0.5161586318053412
2000,gaussian,bump,25,148,0.08248989546418485,0.10683490841447632,0.10274809731219986,0.10482261814931103,0.44122271899237864,0.5651606144616778
2000,gaussian,bump,26,149,0.08854079100109542,0.11524671709384807,0.0007776170457780562,0.0008477345694178533,0.4411633643850426,0.5478715431869353
2000,gaussian,bump,27,150,0.08325609319142555,0.10714251364861377,0.04579220286616864,0.04685011890091676,0.40836580330136557,0.5119636504490667
2000,gaussian,bump,28,151,0.10091555836061818,0.1277398645194085,0.05189486597744125,0.05449035833096585,0.4071453522099573,0.5362727364479195
2000,gaussian,bump,29,152,0.08186357396992403,0.10478018880730447,0.04562215636884015,0.05090799555740187,0.43574512179045294,0.5445334609206439
2000,gaussian,sin,0,123,0.10549416522530206,0.13464764234818247,0.04940480319439561,0.05263701557693909,0.529853691812524,0.6635815579626794
2000,gaussian,sin,1,124,0.11338449630551245,0.14559782246312375,0.05575629532458326,0.07186220300540208,0.4792156502375738,0.622551275071951
2000,gaussian,sin,2,125,0.10587676592613306,0.13655224131487528,0.02758777789243949,0.027769314936122377,0.49702902860515386,0.6547454312034353
2000,gaussian,sin,3,126,0.11874249741010126,0.15307473563829357,0.06827247002815084,0.08641511229618798,0.483644059428122,0.63647745317664
2000,gaussian,sin,4,127,0.10979632381762158,0.14200114882111622,0.06635498764012071,0.08248793884305003,0.5401479100715842,0.6948174457616061
2000,gaussian,sin,5,128,0.1081230874516902,0.1381322252354499,0.0540251432556319,0.05651572529234027,0.4919840446469519,0.6140064852766282
2000,gaussian,sin,6,129,0.11221289003758979,0.14161339937657633,0.07812896227945865,0.07880760131826765,0.5154407238072516,0.652942044673015
2000,gaussian,sin,7,130,0.1081425958844876,0.13899134424089832,0.046432054142249934,0.060006836437304444,0.4622452178826302,0.5964439356535916
2000,gaussian,sin,8,131,0.1054005264436692,0.13545018438395912,0.07276451976237203,0.09310738992590388,0.5014270863315127,0.6424598304582342
2000,gaussian,sin,9,132,0.11344317981869491,0.14474379557899889,0.026484391157689358,0.03703218636520055,0.49688652855014454,0.6338291776843781
2000,gaussian,sin,10,133,0.1056983414930834,0.1386095371710574,0.05185835183478449,0.05992186638795478,0.5140961102801174,0.6528206351505558
2000,gaussian,sin,11,134,0.11281355298402032,0.1452780997081564,0.02190338077730003,0.02231297402177212,0.512281254620292,0.6614011090663717
2000,gaussian,sin,12,135,0.11269522404356458,0.14505213834664973,0.02026334704588384,0.024566668040348526,0.539957505476129,0.6820194887793161
2000,gaussian,sin,13,136,0.11109864786229942,0.14503234985170557,0.06941156713488261,0.07322452704382054,0.5066721981587243,0.6519979633668487
2000,gaussian,sin,14,137,0.10872190333687116,0.1431467671844002,0.07528297856056632,0.08000867131648125,0.5461466126990487,0.7156376865048698
2000,gaussian,sin,15,138,0.10389480456169242,0.13336127855518407,0.03683076385778172,0.03726618813276896,0.5084054379460554,0.6371561454991705
2000,gaussian,sin,16,139,0.11023245355748414,0.14174265939952457,0.04100644251353425,0.047960490572008935,0.5461724132943143,0.7074018045249113
2000,gaussian,sin,17,140,0.10498922265820582,0.13613902385752077,0.06055515415934476,0.07443648860888764,0.5367719826704012,0.6564518225073439
2000,gaussian,sin,18,141,0.11187057571594111,0.144142345331538,0.10038118454623934,0.11248663462674656,0.5036774974484137,0.6359003395513294
2000,gaussian,sin,19,142,0.10573209627556392,0.13493343533351038,0.06760629618731823,0.0676431606880353,0.4980024189250098,0.656368494435727
2000,gaussian,sin,20,143,0.1093591291505029,0.14100535973096695,0.07185570470582442,0.08795998578137329,0.49379539871580636,0.622840234397891
2000,gaussian,sin,21,144,0.11457576296838089,0.14702789182377413,0.033077517894033126,0.038958660407566285,0.5083314939029115,0.650623636461703
2000,gaussian,sin,22,145,0.11508045648661294,0.14517515483552998,0.008978310945489787,0.01107833989213309,0.55490263404362,0.7049856867301697
2000,gaussian,sin,23,146,0.11016842075579658,0.14187398361927073,0.0681935659664335,0.06837668705340787,0.42852170130409545,0.5642405699970605
2000,gaussian,sin,24,147,0.11597202700282809,0.14864777465953244,0.08263376688863583,0.10262429307755135,0.49387713525225435,0.624950876881078
2000,gaussian,sin,25,148,0.1081523716868099,0.14024701761009972,0.08343928220408064,0.08465177442199505,0.5166753867021605,0.6736460227385644
2000,gaussian,sin,26,149,0.11161835226483503,0.14348559830995306,0.023235752874685933,0.025919633287825195,0.5506132167016744,0.6908733622054584
2000,gaussian,sin,27,150,0.10556184256502797,0.13415986044516784,0.036734130141290955,0.03682881360269821,0.5170869369458161,0.6805938166573582
