n,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
2000,0,123,0.01006390605393359,0.022463668520037654,0.01896473060203846,0.036409229879610566,1.0,1.0,1.0,1.0,1.0,0.9546925566343042,0.44,1.0,0.6181818181818182,1.0,1.0,0.9831460674157303,0.2222222222222222,1.0,1.0,0.9724409448818898
2000,1,124,0.00934541012521723,0.021176040156755026,0.007876577446666895,0.012774012801880553,1.0,1.0,1.0,1.0,1.0,0.959349593495935,0.5,1.0,0.6545454545454545,1.0,1.0,0.9847266881028939,0.3111111111111111,1.0,1.0,0.9755134281200631
2000,2,125,0.010318306272568134,0.02296131307761343,0.009250903455673556,0.016119762223347708,1.0,1.0,1.0,1.0,1.0,0.959349593495935,0.5,1.0,0.7454545454545455,1.0,1.0,0.9887005649717514,0.2,1.0,1.0,0.971675845790716
2000,3,126,0.009697210555770336,0.02177115751752469,0.018899626365056474,0.028356920475389808,1.0,1.0,1.0,1.0,0.9983050847457627,0.9561688311688312,0.46,0.9583333333333334,0.6363636363636364,0.9459459459459459,0.9983673469387755,0.9839098954143202,0.24444444444444444,1.0,1.0,0.9732072498029944
2000,4,127,0.010193497552527435,0.02259040584571694,0.006140892432348263,0.009245255829669443,1.0,1.0,1.0,1.0,1.0,0.9554655870445344,0.45,1.0,0.6727272727272727,1.0,1.0,0.9855189058728882,0.17777777777777778,1.0,1.0,0.9709119496855346
2000,5,128,0.009607011148100943,0.021423108265923627,0.009728927213891472,0.01791124186546591,1.0,1.0,1.0,1.0,1.0,0.9554655870445344,0.45,1.0,0.6181818181818182,1.0,1.0,0.9831460674157303,0.24444444444444444,1.0,1.0,0.9732072498029944
2000,6,129,0.01096692620444256,0.025122324878005083,0.008350107384889713,0.012706255394524166,1.0,1.0,1.0,1.0,1.0,0.9531502423263328,0.42,1.0,0.6545454545454545,1.0,1.0,0.9847266881028939,0.13333333333333333,1.0,1.0,0.9693877551020408
2000,7,130,0.009301024601466043,0.021248436606046053,0.02009053408730186,0.028282000302948678,1.0,1.0,1.0,1.0,1.0,0.9609120521172638,0.52,1.0,0.6909090909090909,1.0,1.0,0.9863123993558777,0.3111111111111111,1.0,1.0,0.9755134281200631
2000,8,131,0.009188640443727697,0.020341609964516897,0.013053872339351718,0.017748152315193732,1.0,1.0,1.0,1.0,1.0,0.963265306122449,0.55,1.0,0.6545454545454545,1.0,1.0,0.9847266881028939,0.4222222222222222,1.0,1.0,0.979381443298969
2000,9,132,0.00854329650090544,0.02036033804915952,0.014607065551954162,0.023306600122162596,1.0,1.0,1.0,1.0,1.0,0.9624796084828712,0.54,1.0,0.6727272727272727,1.0,1.0,0.9855189058728882,0.37777777777777777,1.0,1.0,0.9778305621536025
