image_type,S,R,split_group,model,fold,n_pairs,rmse_std,mae_std,rmse_iop,mae_iop
cfp,2x2x1,1,subject_id,x_only_vctr,1,50,1.1126052739027361,0.8847296092700901,4.649501328932459,3.6972245148702982
cfp,2x2x1,1,subject_id,x_only_vctr,2,56,0.9671158722233344,0.7938245863083451,4.041511071901643,3.317338642511744
cfp,2x2x1,1,subject_id,x_only_vctr,3,57,0.9662797726611413,0.7619279724532185,4.038017069026839,3.1840448751834205
cfp,2x2x1,1,subject_id,x_only_vctr,4,51,0.881799073844988,0.643738284753047,3.6849780077998244,2.690138255362653
cfp,2x2x1,1,subject_id,x_only_vctr,5,59,1.0791178858836383,0.931358577642983,4.509559825194014,3.8920837839226823
cfp,2x2x1,1,subject_id,xz_iid_vctr,1,50,1.1832883757676165,0.8978975116593386,4.944881176361224,3.75225227816977
cfp,2x2x1,1,subject_id,xz_iid_vctr,2,56,1.0802088353639787,0.8632054901651699,4.514118828443071,3.6072766935451446
cfp,2x2x1,1,subject_id,xz_iid_vctr,3,57,1.1559884840529677,0.956588606079473,4.83079679640702,3.997518346831935
cfp,2x2x1,1,subject_id,xz_iid_vctr,4,51,1.2878183154360168,1.0093447063334866,5.381704643588419,4.217982480872858
cfp,2x2x1,1,subject_id,xz_iid_vctr,5,59,1.1867218256786363,0.9974303928579537,4.959229328665152,4.168193379888737
cfp,2x2x1,1,subject_id,xz_linear,1,50,1.2038154879487328,0.9039804335497614,5.030662573954697,3.777672392631483
cfp,2x2x1,1,subject_id,xz_linear,2,56,1.089768885426942,0.8718878428435216,4.554069623675681,3.643559651448673
cfp,2x2x1,1,subject_id,xz_linear,3,57,1.133997373611834,0.9057554483110369,4.738897450233608,3.785090057894273
cfp,2x2x1,1,subject_id,xz_linear,4,51,1.276498289016632,1.0079859757561773,5.334399027558166,4.212304438737843
cfp,2x2x1,1,subject_id,xz_linear,5,59,1.1947334713345699,0.9989933235391423,4.992709447803483,4.174724760289017
cfp,2x2x1,1,subject_id,xz_paired_vctr,1,50,1.163611239138906,0.8681977279584342,4.862651768456428,3.6281389137759636
cfp,2x2x1,1,subject_id,xz_paired_vctr,2,56,1.1094398670182015,0.8799571115534256,4.63627331010002,3.6772805733876885
cfp,2x2x1,1,subject_id,xz_paired_vctr,3,57,1.1431043514363541,0.9387994505146537,4.776954887575366,3.923178682640801
cfp,2x2x1,1,subject_id,xz_paired_vctr,4,51,1.2900918646052288,1.0036046692038452,5.391205650038412,4.193995258370513
cfp,2x2x1,1,subject_id,xz_paired_vctr,5,59,1.1956188509295878,1.0063681341462798,4.996409388564329,4.205543589322816
cfp,2x2x1,1,subject_id,z_only_linear,1,50,1.183186796125246,0.8828896556797008,4.944456681984582,3.689535474682953
cfp,2x2x1,1,subject_id,z_only_linear,2,56,1.0909282430405944,0.8763003373262219,4.55891449983421,3.6619991640435194
cfp,2x2x1,1,subject_id,z_only_linear,3,57,1.143466194465633,0.9129363080700826,4.778467004841894,3.815098379601617
cfp,2x2x1,1,subject_id,z_only_linear,4,51,1.2765694290570684,1.0174708444349159,5.334696316920625,4.251941056108755
cfp,2x2x1,1,subject_id,z_only_linear,5,59,1.1723117152598401,0.9869759472489334,4.899010462986728,4.12450496685265
roi,2x2x1,1,subject_id,x_only_vctr,1,50,1.0989010820101983,0.868477130295179,4.592232448485043,3.629306517027963
roi,2x2x1,1,subject_id,x_only_vctr,2,56,0.9653687736634674,0.7870977983652566,4.034210066534857,3.2892278558613013
roi,2x2x1,1,subject_id,x_only_vctr,3,57,0.9542498446848541,0.7362573082461651,3.9877448229529824,3.076768925531839
roi,2x2x1,1,subject_id,x_only_vctr,4,51,0.8514145862700692,0.6179199883487205,3.5580033127554915,2.582245360857839
roi,2x2x1,1,subject_id,x_only_vctr,5,59,1.0444945136210264,0.9022311942650569,4.364871121011934,3.770362441322044
roi,2x2x1,1,subject_id,xz_iid_vctr,1,50,1.1815904811277034,0.91104255416243,4.937785790810001,3.8071845115687823
roi,2x2x1,1,subject_id,xz_iid_vctr,2,56,1.1412416052838505,0.9047120720408711,4.769170598830133,3.780729859836165
roi,2x2x1,1,subject_id,xz_iid_vctr,3,57,1.136549706340359,0.9336203626268172,4.74956347410704,3.901535628646741
roi,2x2x1,1,subject_id,xz_iid_vctr,4,51,1.298185536039702,1.0323103731366898,5.425028549294069,4.313954431416252
roi,2x2x1,1,subject_id,xz_iid_vctr,5,59,1.1646494026963214,0.9673202534825194,4.866990182944544,4.042365167202535
roi,2x2x1,1,subject_id,xz_linear,1,50,1.194922443055908,0.9062862132320769,4.993499147699845,3.787308088190922
roi,2x2x1,1,subject_id,xz_linear,2,56,1.090595617637275,0.8825860061613605,4.557524481027859,3.6882665441177584
roi,2x2x1,1,subject_id,xz_linear,3,57,1.1318605920510967,0.9005321579977607,4.729967986263481,3.7632622849880835
roi,2x2x1,1,subject_id,xz_linear,4,51,1.274598834325788,1.0110442798784691,5.32646133634235,4.225084882453515
roi,2x2x1,1,subject_id,xz_linear,5,59,1.1693108388825484,0.9765233769536996,4.886470005888911,4.08082439062459
roi,2x2x1,1,subject_id,xz_paired_vctr,1,50,1.1686743725886841,0.8844630316127939,4.883810256786014,3.696110505076407
roi,2x2x1,1,subject_id,xz_paired_vctr,2,56,1.1248917704201915,0.8790612430835463,4.700845757388607,3.673536800336316
roi,2x2x1,1,subject_id,xz_paired_vctr,3,57,1.1330340971079924,0.9226773903114387,4.734871983619531,3.8558056959237432
roi,2x2x1,1,subject_id,xz_paired_vctr,4,51,1.2823856567989642,1.0236233896478435,5.359001934779563,4.277652121672449
roi,2x2x1,1,subject_id,xz_paired_vctr,5,59,1.1718854172894329,0.9786958585915189,4.897228992930435,4.089903042774683
roi,2x2x1,1,subject_id,z_only_linear,1,50,1.183186796125246,0.8828896556797008,4.944456681984582,3.689535474682953
roi,2x2x1,1,subject_id,z_only_linear,2,56,1.0909282430405944,0.8763003373262219,4.55891449983421,3.6619991640435194
roi,2x2x1,1,subject_id,z_only_linear,3,57,1.143466194465633,0.9129363080700826,4.778467004841894,3.815098379601617
roi,2x2x1,1,subject_id,z_only_linear,4,51,1.2765694290570684,1.0174708444349159,5.334696316920625,4.251941056108755
roi,2x2x1,1,subject_id,z_only_linear,5,59,1.1723117152598401,0.9869759472489334,4.899010462986728,4.12450496685265
