n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base1,2,133,1,,856.6675546430051,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.12012173977033336,0.051915296077023505,0.07265063232621558,0.019064088711414517,0.025788563527474637,0.04605624267400581,0.06675485805118604,0.020961413302780063,0.028421691076583967,0.28879801500703445,0.32199429468641955,0.12012173977033336,
1000,base1,1,132,1,,860.5660630319035,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.1713603536450114,0.0518788957820792,0.07414824721662143,0.02958782629463011,0.033983134466828345,0.04530430850582333,0.06424737679518364,0.03286933311596807,0.03929135708563404,0.292970103701393,0.3279112646332842,0.1713603536450114,
1000,base1,0,131,1,,866.9597429829882,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.16756420077169637,0.05703794563748771,0.0805166739526443,0.03273326468537656,0.03600636812186381,0.049770477429337635,0.0712638513019453,0.033629362017254236,0.0358057298039262,0.34125182390071424,0.36864255858836203,0.16756420077169637,
1000,base1,0,131,1,,893.4675218650373,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,0.01020016436134448,0.052190762576459535,0.07456024397440446,0.012178045353732403,0.016083500758972746,0.052195148074779166,0.07481439110735874,0.013363499444141932,0.01690913428879027,0.34282599670709696,0.3808777144769001,0.01020016436134448,
1000,base1,3,134,1,,904.2529338309541,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.0016414104740805201,0.04977074628090843,0.0684877837499773,0.016174793081309716,0.017240963807101432,0.049949105478730244,0.06878094896452704,0.013827574667478151,0.01429852445429978,0.3698008663149903,0.40029118912842276,0.0016414104740805201,
1000,base1,2,133,1,,1188.8468795620138,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.029475540493902108,0.05209167363991827,0.07328446882927472,0.01944201932169004,0.024074586298119652,0.05057697851998978,0.07276994791481739,0.020466074147814595,0.0267836857683795,0.2985809543634258,0.3312947275506492,0.029475540493902108,
1000,base1,3,134,1,,1318.0826290650293,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.6,-0.14098917055220517,0.049283871528955386,0.06782417501207784,0.030002406904202833,0.03253562012527986,0.04457396173910247,0.06214549091117517,0.028514623935884637,0.03144666240241236,0.38346687469530727,0.43008722951302686,0.14098917055220517,
1000,base1,1,132,1,,1342.1811403780011,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.08635100769704279,0.05070425779070754,0.07204848371337023,0.02840406992473589,0.03299798283861282,0.04889486203172997,0.06919671423085018,0.03131874580240879,0.03659927835398392,0.29682056397536793,0.33316517210594854,0.08635100769704279,
1000,base1,0,131,1,,1394.8427804620005,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.3,-0.08034751774725157,0.055967875561869426,0.07868426069263403,0.03152729316035009,0.034613854869662695,0.053873899642361306,0.07615639674166377,0.034180404330328554,0.03662806287169597,0.3448502777657295,0.3718695791997781,0.08034751774725157,
1000,base1,1,132,1,,1467.2576836550143,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,0.0,-0.020856752475363585,0.05286855818387163,0.07412153832296972,0.009139764503378944,0.010486691465200605,0.05291002664002943,0.07419946938259757,0.010624758304706772,0.011393517747971054,0.32904742780469953,0.3663555935816864,0.020856752475363585,
