n_subject,coef_type,rho_true,sigma2_function,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,rho_mae,rho_rmse
1000,base1,0.0,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.04346747867217513,9.708011085196724e-05,0.057247393925342796,0.0004483180116164898,0.016768382443581257,0.0031490526030977474,0.020909708353267477,0.004184050228866399,0.04364018277713746,0.00023265492285917677,0.05766296046841978,0.0005859871234946589,0.017864916702813694,0.004149737159171633,0.020217007788200878,0.004889344348854883,0.19848908859510844,0.020988799907874816,0.20645290714959263,0.023027686663535035,0.03042367762795528,0.02557738014082482,0.0068302195675099975,0.03915546751013976,0.18,0.0,0.18,0.0,1206.4387913530518,237.44924182227845,0.03042367762795528,0.039746729868984275
1000,base1,0.3,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.04304856144648368,0.0011204012445468162,0.05611512246841858,0.0016279080281014356,0.012783120131689817,0.005537179802959654,0.014858905190634148,0.006707350255775709,0.04229369185112164,0.0009429494139877328,0.05538753044441913,0.0014595916408576435,0.012495608700129106,0.004896443003510603,0.014747199278914012,0.004440251844826878,0.19382393499055908,0.024093273618658477,0.20048028431918247,0.02314783922071082,0.07375014036011476,0.025142247777552987,-0.07375014036011476,0.025142247777552987,0.18,0.0,0.18,0.0,1216.5591990275134,172.05853334032403,0.07375014036011476,0.07791800707438876
1000,base1,0.6,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.04293754021585982,0.0012192946373488617,0.05602169498040188,0.0015897022698190702,0.014055888416391594,0.005844832888780384,0.01722153203457455,0.007335112493617205,0.03870959576344351,0.0007868624604505996,0.050961950069686617,0.0010385815377998335,0.014228950704644246,0.004799153860828928,0.016477082388554987,0.004575812545909018,0.19395313858662977,0.02916210063192075,0.19965713509620264,0.028371114072051593,0.1463212315141912,0.018207313452509796,-0.1463212315141912,0.018207313452509796,0.18,0.0,0.18,0.0,1473.9170046327345,76.5276750198225,0.1463212315141912,0.14744968312949164
1000,base1,0.9,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.042709228449153855,0.0012979640482575897,0.05595686804353836,0.0016302910836572594,0.016039551697845506,0.006035367359937653,0.020264878899421662,0.007752578813764092,0.030570707348674127,0.0007171202765463133,0.040997188008249835,0.0004496301769972876,0.015538397122013489,0.005103332435295722,0.018245408142747575,0.005474970611920942,0.19384788652820625,0.033828142130130606,0.19865944334786484,0.0334853930297667,0.21895945137492323,0.011716676368312536,-0.21895945137492323,0.011716676368312536,0.18,0.0,0.18,0.0,1066.4206516644626,143.08458889018436,0.21895945137492323,0.2192727111419183
1000,base2,0.0,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.04339833495836032,0.0006684174866207292,0.05702220302209249,0.001288582082658668,0.016950720900644367,0.0036194431596576885,0.020286055206504762,0.0047488784616245,0.04361740725379597,0.0007618750695108035,0.05751820622358238,0.0013461503489051764,0.018776091016927527,0.00476912192839098,0.02086025465577468,0.0050140791714607955,0.19883011823650018,0.02071103628147713,0.2074781461867931,0.022071571574171556,0.029977159793428645,0.023435687987820985,0.010999198630890534,0.03642635323802628,0.18,0.0,0.18,0.0,1289.2438455655065,192.34139729541602,0.029977159793428645,0.03805077634875867
1000,base2,0.3,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.04288978189648142,0.0016384949053557093,0.05614772140304726,0.0020716987488659786,0.013486267763539936,0.004453081810595337,0.016094857114472377,0.005641101840797448,0.04228780775899047,0.0015194417325312768,0.05557537942705367,0.001892126556581419,0.013071107012500846,0.0036762769269008087,0.014978040285270248,0.003363694927463932,0.19449444638433194,0.023794919946532423,0.20199646153423567,0.023851510442271556,0.06964219213916059,0.017225518055125143,-0.06964219213916059,0.017225518055125143,0.18,0.0,0.18,0.0,1274.0142292767414,68.70085004674405,0.06964219213916059,0.07174087675945424
1000,base2,0.6,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.042759958594443814,0.0017481202804279525,0.05596833403123499,0.0020685747849338177,0.0150155019288192,0.004352878709503649,0.01848122850444502,0.005966098210939685,0.038782662361138004,0.0013824532473795648,0.05116109744550983,0.0015591409493858888,0.014374248304023212,0.003573187738399986,0.01621735769985141,0.0032783560539736746,0.19485123617199668,0.029108848013145897,0.20131212538427792,0.02923421872464649,0.14219488221052817,0.011655535846880949,-0.14219488221052817,0.011655535846880949,0.18,0.0,0.18,0.0,1111.0593342752545,180.480179109411,0.14219488221052817,0.14267177731683273
1000,base2,0.9,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.04252604078407786,0.0019147118041168856,0.05577782361707382,0.002100153915910654,0.01732412299539832,0.003928786170739893,0.021436629669334944,0.006265416613896834,0.030456795355055823,0.0011488175281431793,0.04106429204958103,0.000925153393007205,0.015319634785058125,0.0038391858324039498,0.01737591744009545,0.004107903076451252,0.1950279247896075,0.03414267548180701,0.200556293285037,0.03451301236150265,0.2149321848008928,0.00837234796292484,-0.2149321848008928,0.00837234796292484,0.18,0.0,0.18,0.0,1256.7677874517685,271.85347267292764,0.2149321848008928,0.21509518886692333
1000,base3,0.0,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.058824162812283295,0.0013121371835921158,0.07484309651296707,0.0013877005269095828,0.018967605562573157,0.0019178171964217702,0.023741274788155433,0.0033339462344332904,0.06010449217188152,0.001352529639630774,0.07649965403583003,0.001475287567795165,0.018817241335303162,0.0016162866889947167,0.022414682614714947,0.002879599395122529,0.09644997678354059,0.006990454382702915,0.12191686863443758,0.013819598219591922,0.029108237522961714,0.023957599474594433,0.010999792724509527,0.036059126782217996,0.18,0.0,0.18,0.0,1527.9718382107676,134.39210579365505,0.029108237522961714,0.03769954992142802
1000,base3,0.3,sin2,exchangeable_varying_sigma,fixed,4,4,0,0.05855461570342142,0.001136836330349352,0.07360089257734795,0.0014550100849346696,0.011339265581715784,0.006647199177033658,0.014915769814560642,0.009597822636428825,0.05934883315778232,0.0009415900924521385,0.07472742350156501,0.0011175513439961894,0.012922278213812276,0.004986323748187484,0.01638880148717829,0.006194266147488435,0.09664978357349094,0.0055164747642227965,0.11825980107875686,0.01160856295399258,0.10863487459657761,0.03900934762712578,-0.10863487459657761,0.03900934762712578,0.18,0.0,0.18,0.0,1262.5988986492448,276.6936686463808,0.10863487459657761,0.1154264492259382
