n_subject,coef_type,rho_true,sigma2_function,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,rho_mae,rho_rmse
1000,base1,0.0,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.05214841978809312,0.0005412316701023671,0.07322578112931699,0.0015756555680212611,0.020757535729604544,0.004599223142403879,0.023705240905869243,0.00635073518715376,0.052336214968423334,0.0006552003973277436,0.07370527093527802,0.0016877609639097569,0.020821877806381565,0.004406162975523515,0.023905806394447768,0.005242693121873782,0.29953283536717523,0.019880858067891752,0.3445300440492688,0.01089261142396458,0.030634158469935488,0.024169782860304016,0.00419354876480039,0.03879489937392037,0.18,0.0,0.18,0.0,1273.596199153253,196.17506298386,0.030634158469935488,0.039020892720123226
1000,base1,0.3,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.0514144276954108,0.0013946002757495872,0.07124615605153678,0.0023024415237072496,0.013990888539756819,0.005620975352728731,0.016763439911545268,0.006722234923309579,0.05037996353017771,0.0012099655875574256,0.07016135784828502,0.0019965606630583544,0.014502119208884102,0.006067440248287112,0.01731413386199368,0.005917963648738648,0.2955534068510887,0.031952893658040674,0.34406910809402264,0.02636329942024349,0.07968116178712252,0.0263645910955127,-0.07968116178712252,0.0263645910955127,0.18,0.0,0.18,0.0,1230.6611036135,260.466315066366,0.07968116178712252,0.08392960864545468
1000,base1,0.6,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.051273033466900285,0.001405457810891693,0.07113657248325264,0.002086600262193894,0.015518911004643057,0.0060747243390688295,0.01887891435454154,0.00800594600130477,0.04609811281017965,0.0010008433593971372,0.06474332411678434,0.001318965660203268,0.01642876262761307,0.006123991116772779,0.019179547008462295,0.0063164498918297915,0.29658811443176253,0.038601680819238045,0.3444565709104615,0.03336302407309653,0.156473751476378,0.01822116442446531,-0.156473751476378,0.01822116442446531,0.18,0.0,0.18,0.0,1409.4539789420087,158.44872500013116,0.156473751476378,0.1575310944990693
1000,base1,0.9,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.051097731646139316,0.0014220229791114447,0.07118939546675893,0.0020115231131549805,0.01765784675232086,0.007439174629748589,0.021802905878607143,0.009108344890604922,0.03638166741763491,0.0008182670710974125,0.052662891311727404,0.0003548726367457264,0.018082822632160992,0.006379800896864211,0.021111238623299288,0.007597556831219495,0.2974698420014713,0.04387724361336937,0.34485885037279707,0.038380618700957166,0.23271896768303615,0.008734316034474323,-0.23271896768303615,0.008734316034474323,0.18,0.0,0.18,0.0,1379.133030680212,45.095112457863884,0.23271896768303615,0.23288281644648687
1000,base2,0.0,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.052151581763752605,0.0010831247529939972,0.07297802990876816,0.002181911727774979,0.020941312424988853,0.004944373182241765,0.02410354024693713,0.006019137121690453,0.052399836084573104,0.0011654271272480382,0.07352296889739399,0.0022583313181774715,0.02132791976865312,0.004953329409156537,0.02392367460210668,0.005563813411437378,0.299519805197153,0.019597911972095636,0.3469029668171206,0.010874567205192061,0.02991022761204973,0.02288492444191626,0.005892512606143315,0.03719703990512257,0.18,0.0,0.18,0.0,1295.0668980604678,252.0160676133,0.02991022761204973,0.03766087469134033
1000,base2,0.3,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.05139047394194268,0.0018589765880578845,0.07111835706592003,0.0025748088015202864,0.015022964988318642,0.00446233564627532,0.01742028079415819,0.005495194533509709,0.050455021780183996,0.0018018326977506192,0.07011605112649208,0.002345139810746466,0.015443905458213118,0.005147760084111452,0.017845496141307114,0.005048743203758521,0.29596637874219456,0.031240648953777,0.34596225174091616,0.02643207787259496,0.07669523420861542,0.020682454012160387,-0.07669523420861542,0.020682454012160387,0.18,0.0,0.18,0.0,1409.2114337077655,189.14301244852396,0.07669523420861542,0.07943502284433172
1000,base2,0.6,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.051251023752122996,0.0018910959615012475,0.07095648993435696,0.0023739131457616663,0.016706638053706174,0.004962664198399734,0.019508805858074713,0.0066983522650285055,0.04629467621309243,0.0016192069924721127,0.06472042081931881,0.0017500089885625323,0.017170634924499297,0.0051695355936566345,0.019335579483959135,0.005301320316457369,0.29733096277970755,0.03813446154561042,0.3466550813950018,0.03364533024431167,0.15320790489487074,0.013444344952821685,-0.15320790489487074,0.013444344952821685,0.18,0.0,0.18,0.0,1129.836151069234,150.5073279629509,0.15320790489487074,0.1537966596954765
1000,base2,0.9,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.05108525723373741,0.0020093920195041093,0.07093896489211658,0.002277966701214313,0.018607686251829174,0.006085967071572626,0.022256310039297865,0.008024278049889678,0.036452146161248644,0.0012829209148158469,0.052547488541815776,0.0007563430195417203,0.018496714788813116,0.005442818261798458,0.020793261760698095,0.006481426049738453,0.29864524100063927,0.043811311099187684,0.3475639992771513,0.03897642442680979,0.2290421847384555,0.004986863714043584,-0.2290421847384555,0.004986863714043584,0.18,0.0,0.18,0.0,1250.214429569256,154.09623171073923,0.2290421847384555,0.22909646701655445
1000,base3,0.0,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.0661951254987126,0.0009117539838846014,0.08770479540258476,0.000696945969464773,0.02229736751991317,0.0029399606986318305,0.026315089922695822,0.004931943077331824,0.06739586931452732,0.0009025351478225214,0.08930640183181532,0.0009630610172093983,0.021990496790458947,0.0021512627111959686,0.026564218000318374,0.0033814869513381124,0.19168725297357558,0.009651004710365023,0.2653486881571072,0.0035423992150014206,0.030171930296156467,0.02341811142977242,0.008803932524258254,0.03716509239651732,0.18,0.0,0.18,0.0,1366.7094199860294,15.422697349546182,0.030171930296156467,0.03819362932130648
1000,base3,0.3,mixed,exchangeable_varying_sigma,fixed,4,4,0,0.06564607907064644,0.0015511000374039668,0.08562357486935969,0.0024678242360484837,0.012884499700177195,0.006336927530391448,0.01699792995431825,0.00915862330151789,0.06614500214400698,0.0012635903219963647,0.08637623202953615,0.0019220277207667004,0.014386771511453515,0.006122930318980354,0.018334086552274455,0.007986884981635752,0.18822644388181511,0.017338625987263153,0.2669822181710762,0.015393701649608882,0.10567630252411493,0.0385751806074986,-0.10567630252411493,0.0385751806074986,0.18,0.0,0.18,0.0,1087.7604049729998,181.89416898349745,0.10567630252411493,0.11249677983866646
