part,n_subject,coef_type,rho_true,rep,seed
3,5000,base3,0,0,129
3,5000,base3,0,1,130
3,5000,base3,0,2,131
3,5000,base3,0.3,0,129
3,5000,base3,0.3,1,130
3,5000,base3,0.3,2,131
3,5000,base3,0.6,0,129
3,5000,base3,0.6,1,130
3,5000,base3,0.6,2,131
3,5000,base3,0.9,0,129
3,5000,base3,0.9,1,130
3,5000,base3,0.9,2,131
3,5000,base4,0,0,129
3,5000,base4,0,1,130
3,5000,base4,0,2,131
3,5000,base4,0.3,0,129
3,5000,base4,0.3,1,130
3,5000,base4,0.3,2,131
3,5000,base4,0.6,0,129
3,5000,base4,0.6,1,130
3,5000,base4,0.6,2,131
3,5000,base4,0.9,0,129
3,5000,base4,0.9,1,130
3,5000,base4,0.9,2,131
