part,n_subject,coef_type,rho_true,rep,seed
5,5000,base2,0.9,2,137
5,5000,base3,0,0,135
5,5000,base3,0,1,136
5,5000,base3,0,2,137
5,5000,base3,0.3,0,135
5,5000,base3,0.3,1,136
5,5000,base3,0.3,2,137
5,5000,base3,0.6,0,135
5,5000,base3,0.6,1,136
5,5000,base3,0.6,2,137
5,5000,base3,0.9,0,135
5,5000,base3,0.9,1,136
5,5000,base3,0.9,2,137
5,5000,base4,0,0,135
5,5000,base4,0,1,136
5,5000,base4,0,2,137
5,5000,base4,0.3,0,135
5,5000,base4,0.3,1,136
5,5000,base4,0.3,2,137
5,5000,base4,0.6,0,135
5,5000,base4,0.6,1,136
5,5000,base4,0.6,2,137
5,5000,base4,0.9,0,135
5,5000,base4,0.9,1,136
5,5000,base4,0.9,2,137
