part,n_subject,coef_type,rho_true,rep,seed
6,5000,base2,0,0,138
6,5000,base2,0,2,140
6,5000,base2,0.3,2,140
6,5000,base2,0.6,0,138
6,5000,base2,0.6,1,139
6,5000,base2,0.6,2,140
6,5000,base2,0.9,0,138
6,5000,base2,0.9,1,139
6,5000,base2,0.9,2,140
6,5000,base3,0,0,138
6,5000,base3,0,1,139
6,5000,base3,0,2,140
6,5000,base3,0.3,0,138
6,5000,base3,0.3,1,139
6,5000,base3,0.3,2,140
6,5000,base3,0.6,0,138
6,5000,base3,0.6,1,139
6,5000,base3,0.6,2,140
6,5000,base3,0.9,0,138
6,5000,base3,0.9,1,139
6,5000,base3,0.9,2,140
6,5000,base4,0,0,138
6,5000,base4,0,1,139
6,5000,base4,0,2,140
6,5000,base4,0.3,0,138
6,5000,base4,0.3,1,139
6,5000,base4,0.3,2,140
6,5000,base4,0.6,0,138
6,5000,base4,0.6,1,139
6,5000,base4,0.6,2,140
6,5000,base4,0.9,0,138
6,5000,base4,0.9,1,139
6,5000,base4,0.9,2,140
