n_subject,coef_type,rho_true,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,Sigma_fro_error_mean,Sigma_fro_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std
5000,base2,0.0,exchangeable_varying_sigma,fixed,2,2,0,0.023893324283396376,0.0003202980123757828,0.030068116356180626,0.0003240988069067377,0.012073671330040878,0.002567435456169928,0.014847412882345359,0.0011524164138990798,0.024067074539444334,0.0003362271408042343,0.030292483648025254,0.0003378815841188314,0.012344874069776711,0.0029901666414901065,0.014974517461475805,0.0016948592022375782,0.06981067654176457,0.004727757508259635,0.08098259422178494,0.0017292206569880092,0.014288644556021907,0.0032278071313347634,0.06662555346100554,0.017785793057911194,0.2,0.0,0.2,0.0,36246.6732259815,184.30990536048193
5000,base2,0.3,exchangeable_varying_sigma,fixed,1,1,0,0.02364022283108099,0.0,0.0301685263103997,0.0,0.007804663956383212,0.0,0.00789486937403309,0.0,0.02326112848281473,0.0,0.029726743823194266,0.0,0.0077615582065786864,0.0,0.007853099872642072,0.0,0.07251199019600602,0.0,0.09098067988984364,0.0,0.050274093290120336,0.0,0.12542835382054607,0.0,0.2,0.0,0.2,0.0,36011.21945642802,0.0
5000,base2,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.023863229617804783,0.0004871172982947249,0.030377707585258974,0.0005826830896017018,0.008299085653333321,0.00029448842219207067,0.01075148088476916,0.0015806313160324436,0.02184956210860943,0.00036689457145959046,0.02775918987035852,0.0003374064193613134,0.008008079634725065,0.0006205077228656213,0.01041225661014857,0.0018904506237275933,0.07604491354683983,0.0061749475230612645,0.08937478006087118,0.011512791372228923,0.0842784421474649,0.003910824849657517,0.17007656030232618,0.014389104651327398,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,36220.44940892467,1755.0105400508703
5000,base2,0.9,exchangeable_varying_sigma,fixed,3,3,0,0.023715233461946858,0.0004033263552815255,0.030244173362061744,0.0006414284197053734,0.009359933285216676,0.00019939373500786636,0.0119430286984105,0.0016057554426349785,0.017900119644347134,0.0002627377747707945,0.023057239886970008,0.00026581892679984273,0.008733916543274692,0.0007949164864816928,0.01130776780786018,0.002296437941821651,0.07916386592722911,0.007987597247041272,0.09384760221967996,0.015056337396901738,0.11890361681482327,0.005423721299762644,0.23788400823114472,0.01676804123220244,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,35856.413329606665,754.7790275260264
5000,base3,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.049114183601963436,0.00025183975824145764,0.060827015820771074,0.00025530782447726107,0.013630894962216708,0.005613238358897862,0.016481799696355756,0.0050670561827160935,0.05119700163546544,0.00037594433577559035,0.06367002560900396,0.0003553986694265672,0.013853668630675628,0.0045610395491001605,0.01672925569254932,0.0036681223207678873,0.36971547440712643,0.017325887615456552,0.41272106899734845,0.01800100815528699,0.013104490104419381,0.004211946494874105,0.5228270099348108,0.024562892812549884,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,34856.833685646336,1738.4709366659758
5000,base3,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.048770651899217254,0.0005819356981183866,0.06021916493203509,0.0007603495390198288,0.011462487743789643,0.0031604701968449746,0.01322771725816345,0.003277238556918766,0.05053962473992026,0.0005666930839644798,0.06270650526479697,0.0006676508592527389,0.011665594592738632,0.0030504323671276326,0.013550767165257133,0.0032870317112047485,0.37471323909518656,0.01352075848706603,0.41668006097310156,0.01281370453973165,0.1362897531326457,0.009131056203256431,0.5390109471359996,0.023076158369563806,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,33745.02106365303,744.472048621331
5000,base3,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.04887986063199778,0.0005416339108867655,0.060408042433699044,0.0007198271191870077,0.012260508010506358,0.002969974411551487,0.014277856245860499,0.003119741150204826,0.04986610948226636,0.00048329638574045203,0.06204938124309998,0.000543557879323731,0.012475693176739517,0.0029198259978057196,0.014477390538647142,0.0033416543040859824,0.3708878478167899,0.013611604879157175,0.4123510101318066,0.01348777672208379,0.24909364938287118,0.0096620079098091,0.5486797279768685,0.024184159623438457,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,35655.52376907631,2470.4318587063863
5000,base3,0.9,exchangeable_varying_sigma,fixed,3,3,0,0.04903577124677729,0.00047493118144527596,0.06069996377699899,0.0006347990792506307,0.013074550746125166,0.0026630146547729602,0.015328638823275521,0.0029762978849403156,0.0485442696675511,0.0003108581178880431,0.06097215906751669,0.00029711209362768686,0.013149167692674666,0.002667774869968026,0.015336468244157056,0.0033606340217904877,0.36659524195914456,0.013718386372802694,0.4072850470239688,0.014059341381338568,0.3591507709519231,0.01038942749496454,0.5636610915942413,0.024127014265557575,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,35601.205582389666,2283.2603519426048
5000,base4,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.01901814196199159,0.0004236471603347812,0.024858842892860555,0.0006850423792585034,0.012199254372984802,0.0012071319334517343,0.015109658650218856,0.001119332108950087,0.019039265070230876,0.00042237166907772194,0.02489395620443437,0.0006841026419553492,0.01210715067781202,0.0013658834189478985,0.015092615405852142,0.0009158207888179569,0.08614454719878735,0.010629725628928612,0.09309783068161159,0.007162345324096371,0.008576849851043039,0.007068725491551794,0.12255439561675548,0.01569927834828878,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,33652.039255111325,2194.271911964109
5000,base4,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.01838598935109102,0.0005434296454987136,0.02418497789564793,0.0004916956515108341,0.008104661584412962,0.0003078307484140921,0.009881061204174603,0.001278710363133838,0.017705159813609272,0.0005460296858991898,0.023259259087389694,0.0005034118867862063,0.007911625602183761,0.0003853499521833725,0.009659178061240488,0.0014018847543296152,0.08599649387198827,0.008960339982569782,0.09514112975732468,0.010724757982544318,0.04058848569765213,0.0011642266229697298,0.15070800772794482,0.01306870735713581,0.20000000000000004,2.7755575615628914e-17,0.20000000000000004,2.7755575615628914e-17,28914.29170127465,1117.6766253027415
