source_part,source_manifest,n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base2,2,128,1,,26869.435115721077,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.022753569505141485,0.029502798148108095,0.006956367920908257,0.009059018419357665,0.020866218912593687,0.026772943861148566,0.0075994389715671185,0.00930820865613602,0.07137418873918673,0.08296544077962112,0.09815613563330639,0.1885804697093001
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base2,2,128,1,,27767.56849552598,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.022756310292487546,0.02955836680940425,0.007351310266008632,0.009673020210603539,0.01696886721424473,0.022180632844300205,0.00821883822179309,0.009820898766741559,0.07517052751577352,0.08590504638470475,0.1260946968985437,0.2563884872069208
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,0,126,1,,30480.40361954295,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.0489811992819445,0.060762288740342764,0.006958251042495228,0.007591654540007167,0.049603519141213255,0.06230028206076484,0.004769892223073585,0.005369403786846852,0.3262689588444252,0.37198608973456027,0.24758417700974966,0.49795230369809346
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base2,1,127,1,,36124.71131920302,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.02341241297282138,0.030158302964704897,0.017879761280913106,0.020109665911378943,0.017686205923329656,0.022829327886282644,0.01668152237194853,0.019387142161952257,0.06499451091225687,0.07490132660830003,0.1071703410931244,0.18558949840584707
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,2,128,1,,40389.86245934502,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.050010732834788366,0.06161065333715307,0.00883420920204167,0.010139484332090103,0.052093135026582214,0.06444727098739783,0.008362491622835977,0.009522845880961483,0.37752829370086927,0.4170976557412459,0.0027902860644635073,0.5324304801034193
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,2,128,1,,40968.221402000985,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.050473712364762016,0.06170259004838033,0.006222715177765986,0.007953602969908824,0.05222657369286912,0.06421516945225264,0.006724462512891133,0.008030088770060331,0.3653035235668041,0.40361413725199063,0.1369275170322098,0.5263496610690129
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,1,127,1,,42240.19953503704,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.04909385605374142,0.06076026176150188,0.02326718828306268,0.024227823463608647,0.049932027211042083,0.0621031851302942,0.021158631011776285,0.02246524860077986,0.39381316421979645,0.43348490470095624,0.2447017999150054,0.5759549116044994
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,0,126,1,,42870.523460331024,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.048842393417694266,0.060307716550076225,0.006356992840715114,0.00794464662117019,0.050944682584997465,0.06321966035001245,0.00667931626384996,0.008078929248794154,0.34553764320808134,0.39363093655602405,0.007502349681622705,0.4886390184432653
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,1,127,1,,43512.67815549695,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.0,0.048898899436271494,0.06062147971616541,0.010528566346271556,0.013467748384197623,0.05096873114593911,0.0634207713223143,0.010984672776814891,0.013710045405857789,0.3839475607292541,0.4240573610329321,0.007648606708634263,0.5417315356144948
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base2,0,126,1,,44340.85674890492,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.0233825980162812,0.02977784485211772,0.008150095709766686,0.010507030495733812,0.017078807132876492,0.022183207069500357,0.006429971477813712,0.008913394731146678,0.08851514077618554,0.10032786964733065,0.12170630857851694,0.27588157278069353
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,0,126,1,,44618.70970742707,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.04888664318063611,0.06071959367691273,0.006413294321619939,0.007060515689204853,0.050460191710505455,0.06313744352049878,0.004713916715291838,0.005243270358647131,0.33116447351978606,0.37722237527277813,0.1312449987488247,0.4802995395797983
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,1,127,1,,45452.097499329015,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.049000216951312195,0.0606000298696121,0.021364450643684668,0.022256310420464956,0.05073512526205805,0.06296224755254666,0.019534005231677018,0.020748080349905697,0.3900667477757129,0.4300502222393935,0.12809274116349106,0.5578206868284422
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,0,126,1,,31309.46964786097,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.04907376689008078,0.06078755250599226,0.007393563983655316,0.008043886280952983,0.047967822412538615,0.06071933712844105,0.004663922845853902,0.005314580749300894,0.32183373189369513,0.36715816582272215,0.3638616843080459,0.5292002638298241
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,2,128,1,,34498.80661036004,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.050411930039428426,0.061608381418873065,0.00618311816284417,0.008262743981488472,0.05131441352145363,0.06330615947981716,0.007136581129140868,0.008522916774733836,0.3572012973264993,0.3944189175582235,0.25423712749748967,0.5366968589525442
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base3,1,127,1,,43841.32734633202,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.9,0.04920826783995846,0.06096994690260861,0.025123280973889855,0.026113458412020313,0.048464836615703256,0.060788094424375765,0.022788060143803177,0.02405899592860263,0.3981736278702493,0.43742622683769494,0.36148640353904626,0.6000282817572943
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,0,126,1,,33900.420007776935,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.3,0.01870123715215733,0.024286789598885358,0.006122095228022623,0.008093278092982078,0.01798180180780149,0.023309679586323368,0.005956920923566783,0.007906677410137758,0.10708067034704975,0.11304029656260986,0.045111376881307785,0.18280457927332117
2,/home/svu/e0829076/2026-tensor/hpc/manifests/case2_backfill_20260529/part2_missing.csv,5000,base4,0,126,1,,35036.890574648045,exchangeable_varying_sigma,0.2,fixed,0.2,0.2,fixed,0.2,1.0,0.6,0.01882200249896232,0.02457414240722282,0.006667051948904379,0.008899177768032077,0.01583457558656723,0.020548492135842398,0.006054664296863521,0.008248757491105783,0.11249260581238238,0.11841201712742903,0.0665639441901007,0.23947837141077175
