n,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
2000,0,123,0.010063896888764301,0.022463643994036605,0.018964734853961336,0.036409181114720024,1.0,1.0,1.0,1.0,1.0,0.9546925566343042,0.44,1.0,0.6181818181818182,1.0,1.0,0.9831460674157303,0.2222222222222222,1.0,1.0,0.9724409448818898
2000,1,124,0.009345401115486011,0.021176017048246287,0.007876576764584423,0.012774013052068415,1.0,1.0,1.0,1.0,1.0,0.959349593495935,0.5,1.0,0.6545454545454545,1.0,1.0,0.9847266881028939,0.3111111111111111,1.0,1.0,0.9755134281200631
2000,2,125,0.010318298399953253,0.02296129799926317,0.00925093310863993,0.01611981649812944,1.0,1.0,1.0,1.0,1.0,0.959349593495935,0.5,1.0,0.7454545454545455,1.0,1.0,0.9887005649717514,0.2,1.0,1.0,0.971675845790716
2000,3,126,0.009697202961343757,0.021771138205261335,0.01889957339643831,0.028356847700523793,1.0,1.0,1.0,1.0,0.9983050847457627,0.9561688311688312,0.46,0.9583333333333334,0.6363636363636364,0.9459459459459459,0.9983673469387755,0.9839098954143202,0.24444444444444444,1.0,1.0,0.9732072498029944
2000,4,127,0.010193488646999182,0.022590385922217824,0.0061408963661607075,0.009245256021601842,1.0,1.0,1.0,1.0,1.0,0.9554655870445344,0.45,1.0,0.6727272727272727,1.0,1.0,0.9855189058728882,0.17777777777777778,1.0,1.0,0.9709119496855346
2000,5,128,0.009607003482937748,0.021423091655289234,0.009728964103703894,0.017911268203552433,1.0,1.0,1.0,1.0,1.0,0.9554655870445344,0.45,1.0,0.6181818181818182,1.0,1.0,0.9831460674157303,0.24444444444444444,1.0,1.0,0.9732072498029944
2000,6,129,0.010966918403705188,0.02512230976908796,0.008350129249086883,0.01270625887910628,1.0,1.0,1.0,1.0,1.0,0.9531502423263328,0.42,1.0,0.6545454545454545,1.0,1.0,0.9847266881028939,0.13333333333333333,1.0,1.0,0.9693877551020408
2000,7,130,0.009301016159533607,0.02124841328642312,0.02009051758107979,0.028281963093126836,1.0,1.0,1.0,1.0,1.0,0.9609120521172638,0.52,1.0,0.6909090909090909,1.0,1.0,0.9863123993558777,0.3111111111111111,1.0,1.0,0.9755134281200631
2000,8,131,0.009188629758262921,0.020341577748780176,0.013053880962806274,0.017748158225705923,1.0,1.0,1.0,1.0,1.0,0.963265306122449,0.55,1.0,0.6545454545454545,1.0,1.0,0.9847266881028939,0.4222222222222222,1.0,1.0,0.979381443298969
2000,9,132,0.008543286024078332,0.0203603054788434,0.014607073751398145,0.02330661214258551,1.0,1.0,1.0,1.0,1.0,0.9624796084828712,0.54,1.0,0.6727272727272727,1.0,1.0,0.9855189058728882,0.37777777777777777,1.0,1.0,0.9778305621536025
