n,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
2000,0,123,0.013355347135685043,0.028330806078418085,0.02437520049425835,0.04075712930654613,1.0,1.0,1.0,1.0,1.0,0.9656301145662848,0.58,1.0,0.7818181818181819,0.9772727272727273,0.9991836734693877,0.9902912621359223,0.3111111111111111,1.0,1.0,0.9755134281200631
2000,1,124,0.013275732285269242,0.029638098193022974,0.008601069814484455,0.016139768995224506,1.0,1.0,1.0,1.0,0.9983050847457627,0.971947194719472,0.66,0.9705882352941176,0.7818181818181819,0.9555555555555556,0.9983673469387755,0.9902834008097166,0.5111111111111111,1.0,1.0,0.9824980111376292
2000,2,125,0.014654897238234267,0.030346191164066057,0.008775787918005411,0.014203144938217551,1.0,1.0,1.0,1.0,0.9966101694915255,0.971900826446281,0.66,0.9428571428571428,0.8727272727272727,0.9230769230769231,0.996734693877551,0.994299674267101,0.4,1.0,1.0,0.9786053882725833
2000,3,126,0.013249129913849297,0.028219653660731273,0.013888824345001462,0.020171482679779057,1.0,1.0,1.0,1.0,0.997457627118644,0.9655455291222313,0.58,0.9508196721311475,0.7818181818181819,0.9347826086956522,0.9975510204081632,0.9902755267423015,0.3333333333333333,1.0,1.0,0.9762845849802372
2000,4,127,0.013627324060055434,0.02951740043971451,0.004162489726503014,0.006721108210195092,1.0,1.0,1.0,1.0,0.997457627118644,0.9695222405271828,0.63,0.9545454545454546,0.8,0.9361702127659575,0.9975510204081632,0.9910786699107867,0.4222222222222222,1.0,1.0,0.979381443298969
2000,5,128,0.013889980993128503,0.029047562585848546,0.009888131865952027,0.017515242885800794,1.0,1.0,1.0,1.0,0.997457627118644,0.9671322925225966,0.6,0.9523809523809523,0.7818181818181819,0.9148936170212766,0.996734693877551,0.9902676399026764,0.35555555555555557,1.0,1.0,0.9770569620253164
2000,6,129,0.01367928091400629,0.030563511685876326,0.0034591134143276254,0.004503137363791621,1.0,1.0,1.0,1.0,0.9966101694915255,0.9686985172981878,0.62,0.9393939393939394,0.7636363636363637,0.8571428571428571,0.9942857142857143,0.9894394800974817,0.37777777777777777,1.0,1.0,0.9778305621536025
2000,7,130,0.013400455636677645,0.02970102111722242,0.03619045636529668,0.05111673889019768,1.0,1.0,1.0,1.0,0.997457627118644,0.9719240297274979,0.66,0.9565217391304348,0.8363636363636363,0.92,0.996734693877551,0.9926829268292683,0.4222222222222222,1.0,1.0,0.979381443298969
2000,8,131,0.014119885871266872,0.03168724441075192,0.015019579858893859,0.020425814256836834,1.0,1.0,1.0,1.0,0.9966101694915255,0.9743164871582436,0.69,0.9452054794520548,0.8,0.9166666666666666,0.996734693877551,0.9910714285714286,0.5555555555555556,1.0,1.0,0.9840637450199203
2000,9,132,0.013842991530517558,0.030878851908159834,0.01699138637326898,0.02705089030163964,1.0,1.0,1.0,1.0,0.9940677966101695,0.9734439834024896,0.68,0.9066666666666666,0.8181818181818182,0.8490566037735849,0.9934693877551021,0.9918500407497962,0.4888888888888889,1.0,1.0,0.9817170111287759
2000,10,133,0.013681273038448549,0.029513396531106635,0.008985942336523922,0.019454576911964516,1.0,1.0,1.0,1.0,0.9957627118644068,0.9718775847808105,0.66,0.9295774647887324,0.8,0.8979591836734694,0.9959183673469387,0.9910641754670999,0.4888888888888889,1.0,1.0,0.9817170111287759
2000,11,134,0.013532613887269682,0.029093588468154897,0.005565252512238969,0.009479778449289846,1.0,1.0,1.0,1.0,0.9983050847457627,0.9679539852095317,0.61,0.9682539682539683,0.8,0.9565217391304348,0.9983673469387755,0.9910858995137763,0.37777777777777777,1.0,1.0,0.9778305621536025
2000,12,135,0.014443613309184885,0.03043773073316627,0.005405346198948109,0.008392647284889906,1.0,1.0,1.0,1.0,0.9966101694915255,0.9679012345679012,0.61,0.9384615384615385,0.7272727272727273,0.9090909090909091,0.996734693877551,0.9878640776699029,0.4666666666666667,1.0,1.0,0.9809372517871326
2000,13,136,0.014877849404691662,0.033187985728185744,0.00623549847291577,0.011541305169047658,1.0,1.0,1.0,1.0,0.9966101694915255,0.971900826446281,0.66,0.9428571428571428,0.7636363636363637,0.8936170212765957,0.9959183673469387,0.9894566098945661,0.4888888888888889,0.9565217391304348,0.9991902834008097,0.9817024661893397
2000,14,137,0.01360810138019589,0.029126080093777526,0.017411317289257964,0.03035262879167312,1.0,1.0,1.0,1.0,0.9957627118644068,0.9710743801652892,0.65,0.9285714285714286,0.8181818181818182,0.9,0.9959183673469387,0.991869918699187,0.4444444444444444,1.0,1.0,0.9801587301587301
2000,15,138,0.013503538048290822,0.02903025402272542,0.012421412173432756,0.012724284831243023,1.0,1.0,1.0,1.0,0.9932203389830508,0.9693961952026469,0.63,0.8873239436619719,0.8,0.8461538461538461,0.9934693877551021,0.991042345276873,0.4222222222222222,1.0,1.0,0.979381443298969
2000,16,139,0.01362682173216738,0.02968285205831797,0.028527562461907352,0.04331583612772606,1.0,1.0,1.0,1.0,0.9932203389830508,0.9710024855012428,0.65,0.8904109589041096,0.8,0.8461538461538461,0.9934693877551021,0.991042345276873,0.4666666666666667,1.0,1.0,0.9809372517871326
2000,17,140,0.012963422106528193,0.030419421515728167,0.01089343120762508,0.015270517916444007,1.0,1.0,1.0,1.0,0.9991525423728813,0.9735755573905863,0.68,0.9855072463768116,0.8181818181818182,0.9782608695652174,0.9991836734693877,0.9918962722852512,0.4888888888888889,0.9565217391304348,0.9991902834008097,0.9817024661893397
2000,18,141,0.014158345346183307,0.030484780033840867,0.011291180290073255,0.019824015289957884,1.0,1.0,1.0,1.0,0.9966101694915255,0.9679012345679012,0.61,0.9384615384615385,0.8,0.9166666666666666,0.996734693877551,0.9910714285714286,0.37777777777777777,1.0,1.0,0.9778305621536025
2000,19,142,0.013940355243884045,0.029792093867574778,0.010645051605567972,0.015714216119725167,1.0,1.0,1.0,1.0,0.9957627118644068,0.9678747940691927,0.61,0.9242424242424242,0.7454545454545455,0.8913043478260869,0.9959183673469387,0.9886547811993517,0.4222222222222222,0.95,0.9991902834008097,0.9793650793650793
2000,20,143,0.01349145927069797,0.02864370880080983,0.016534183800444528,0.021517606480235783,1.0,1.0,1.0,1.0,0.9983050847457627,0.9727497935590421,0.67,0.9710144927536232,0.8727272727272727,0.96,0.9983673469387755,0.9943089430894309,0.4222222222222222,1.0,1.0,0.979381443298969
