rho,rep,seed,miae,rmise,beta_mae,beta_rmse,se_beta_nonzero,ppv_beta_nonzero,spe_beta_nonzero,npv_beta_nonzero,se_const_zero,ppv_const_zero,spe_const_zero,npv_const_zero,se_const_nonzero,ppv_const_nonzero,spe_const_nonzero,npv_const_nonzero,se_vary,ppv_vary,spe_vary,npv_vary
0.1,0,123,0.01656155841197659,0.032188529393782944,0.0036054953836407748,0.005911401012431542,1.0,1.0,1.0,1.0,1.0,0.9322033898305084,0.84,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.7333333333333333,1.0,1.0,0.9581881533101045
0.1,1,124,0.011577681012098991,0.022639788893016773,0.011230378283546501,0.01275217087494925,1.0,1.0,1.0,1.0,1.0,0.9649122807017544,0.92,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8888888888888888,1.0,1.0,0.9821428571428571
0.1,2,125,0.01603820259459961,0.030064261708098765,0.0035855290353350015,0.005673128513720976,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,3,126,0.012919022118327394,0.025864054213944738,0.00293079054592156,0.00522630367468802,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8,1.0,1.0,0.9683098591549296
0.1,4,127,0.014282422256022283,0.02815292670729645,0.0037781969794839247,0.00604231849880254,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.7777777777777778,1.0,1.0,0.9649122807017544
0.1,5,128,0.013179936899841243,0.026324489129103623,0.005086149640219278,0.009035937410660722,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,6,129,0.012292170786425376,0.024230458555427,0.009599531083345816,0.013995996255362072,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,0.9,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,7,130,0.012668261286348643,0.025826126330124884,0.0030324115807955814,0.005236918694046667,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.8222222222222222,1.0,1.0,0.9717314487632509
0.1,8,131,0.012043265655874201,0.02360065570748527,0.007511647611994171,0.012025222056083563,1.0,1.0,1.0,1.0,1.0,0.9606986899563319,0.91,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.8888888888888888,1.0,1.0,0.9821428571428571
0.1,9,132,0.012047006054776216,0.024773911395843205,0.005165888140421814,0.008361009698142465,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9454545454545454,1.0,1.0,0.9888059701492538,0.8,1.0,1.0,0.9683098591549296
0.1,10,133,0.012182409596271154,0.024624661399543123,0.012948695767294316,0.015092904369874567,1.0,1.0,1.0,1.0,1.0,0.9649122807017544,0.92,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8666666666666667,1.0,1.0,0.9786476868327402
0.1,11,134,0.012970252169279807,0.027166264413934497,0.003275224711761638,0.0043714347858887165,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.89,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.8,1.0,1.0,0.9683098591549296
0.1,12,135,0.012235115971050373,0.025074562865731044,0.00814306575871689,0.013971240520409284,1.0,1.0,1.0,1.0,1.0,0.9482758620689655,0.88,1.0,0.9636363636363636,1.0,1.0,0.9925093632958801,0.7777777777777778,1.0,1.0,0.9649122807017544
0.1,13,136,0.012285467270096264,0.02616559301346304,0.008030400248257057,0.01374580910080306,1.0,1.0,1.0,1.0,1.0,0.9401709401709402,0.86,1.0,0.9272727272727272,1.0,1.0,0.9851301115241635,0.7777777777777778,1.0,1.0,0.9649122807017544
