n,noise_type,coef_type,n_rep,miae_mean,miae_std,rmise_mean,rmise_std,beta_mae_mean,beta_mae_std,beta_rmse_mean,beta_rmse_std,err_mae_mean,err_mae_std,err_rmse_mean,err_rmse_std
2000,gaussian,bump,30,0.08722581909973114,0.00419826463841664,0.11251080393929014,0.004825816023862488,0.044227396012310495,0.021217184956968446,0.049105837618194835,0.023965215098364075,0.4153092305993232,0.023121161910288224,0.5312358267715918,0.025813422913623554
2000,gaussian,quadratic,30,0.07233987575861071,0.0033507273311490396,0.09107637427108899,0.004297259843744382,0.04109058060725504,0.022732788300922003,0.04603655937320353,0.024401971701959003,0.36397840546684407,0.024254439950910586,0.45585327315980884,0.027141894626968456
2000,gaussian,sin,30,0.1103012936924019,0.00496255139147351,0.14175471004369827,0.0061069780185260825,0.05226253603965058,0.023020563701938685,0.05955921841340037,0.02648662372326074,0.509582177739334,0.027732499295996527,0.6529774180769594,0.033135697048174165
2000,gaussian,sqrt,30,0.06791695040224104,0.003427088557686391,0.08556361089343974,0.004302307921756253,0.039138513792914185,0.021793547907693316,0.04364413461291463,0.023332796442109935,0.34629120774832073,0.022946336273424135,0.43464713330050514,0.02578799121710385
2000,heavy_tailed,bump,30,0.10351774883545684,0.004664761155016945,0.13171121982787568,0.005657840453209637,0.05599148572868081,0.03698868818985947,0.06126636306972839,0.03884012464022685,0.5013563298963117,0.031233320612748784,0.6414921447124324,0.0396822097502929
2000,heavy_tailed,quadratic,30,0.0914243034592687,0.004620908622527384,0.114896168494561,0.006062698201998029,0.052101988303106306,0.03204227435315515,0.056959697108483025,0.0344902568871047,0.4551069855256404,0.028009136582947666,0.577776039236298,0.03659992835960926
2000,heavy_tailed,sin,30,0.12460202630269865,0.005362238525786595,0.15865836234575575,0.00679528612985761,0.05483384920195153,0.03448833710922668,0.06098526776466575,0.03510852549334277,0.5816238953977125,0.0335009680365056,0.7402055146986385,0.042225397272123245
2000,heavy_tailed,sqrt,30,0.08760040232040955,0.0045573826130877355,0.1101171980422422,0.0059394146535129535,0.051847350737367716,0.03324159345059781,0.05649193258426593,0.03567618776125662,0.4397108602703682,0.026529211347817015,0.5591581178380313,0.03481697312218097
5000,gaussian,bump,30,0.040424799624689256,0.001082583481104547,0.05323099869059534,0.0012873976007779459,0.029002830761798947,0.01438168262581937,0.03237272433300431,0.016016551311276765,0.7945296428678742,0.0201109778861329,1.0100978837925347,0.02580815103324526
5000,gaussian,quadratic,30,0.028369803161682798,0.0008133591575934286,0.03538332389476415,0.001026011737770124,0.02314302241291784,0.012419557222337117,0.02601421723439263,0.014069290287281213,0.6909251557820922,0.015479662667172558,0.8653207815044677,0.019513419734547927
5000,gaussian,sin,30,0.058543612924889986,0.001106318107496905,0.07361267345999366,0.0011830756248416947,0.028833566424692734,0.015721430725217096,0.032382783524458905,0.016527613708866153,0.9502931887651921,0.016045911201613406,1.2072521594515184,0.021784847678019453
5000,gaussian,sqrt,30,0.02382075761750516,0.0004941755862486148,0.02981897466960105,0.0006420575301371344,0.023319119027644667,0.011232569896833067,0.026558606079658414,0.0125410738870806,0.6621357038271055,0.015742206272591427,0.8296972920407514,0.01969430264368211
5000,heavy_tailed,bump,30,0.045143893208139364,0.0009909263501519919,0.058456040537323346,0.0011703511531859572,0.029762351305475363,0.01695989549655234,0.03312443871630429,0.018813321250510013,0.9307598752518637,0.025110764599896175,1.2228561456213007,0.04557475205664692
5000,heavy_tailed,quadratic,30,0.03417798486170414,0.0007648614544760942,0.04271846519624225,0.0009303528804872368,0.02760749171561829,0.01422073783362858,0.031369192453726075,0.01640886942676604,0.835741561489717,0.027206128977563686,1.1016662903229482,0.04810595973810933
5000,heavy_tailed,sin,30,0.061944952006223505,0.001409622783767039,0.07767664405817762,0.001572985424386564,0.030831481914512075,0.020168678547281316,0.03480171852316227,0.022063985005105053,1.074918253821033,0.02869039448357753,1.397504782855558,0.047950992389189186
5000,heavy_tailed,sqrt,30,0.03055222265162596,0.0008330036146249597,0.038325680259310727,0.0009984043574103251,0.027300778259176033,0.013753151348326281,0.030324685333757193,0.015933566733595136,0.8103128294927047,0.0273778437268717,1.0731226592242926,0.04975465869763628
