n,noise_type,coef_type,rep,seed,miae,rmise,beta_mae,beta_rmse,err_mae,err_rmse
2000,gaussian,sqrt,0,123,0.05940081339738337,0.07489232731056238,0.04680697874048645,0.048120656315570096,0.5068192260052098,0.6193315911497261
2000,gaussian,sqrt,1,124,0.059260676412017134,0.07441795141934904,0.04970730962408143,0.049763009221517406,0.46798545968026817,0.6006310312782384
2000,gaussian,sqrt,2,125,0.06021743867418799,0.07498313163546973,0.036550453416206996,0.039212680094002875,0.4856887536017844,0.6119419220567315
2000,gaussian,sqrt,3,126,0.06221514495656731,0.07842461729231631,0.03358514019430264,0.04166698317177535,0.49371512651212013,0.6229383126078237
2000,gaussian,sqrt,4,127,0.06103149251409195,0.07607481384900064,0.0045838838468954535,0.00459119235642384,0.4864220982672423,0.6096940168546722
2000,gaussian,sqrt,5,128,0.06079608985801756,0.07614903243411812,0.021975471910567035,0.02373274494289021,0.5563960322062035,0.6903016429828331
2000,gaussian,sqrt,6,129,0.06037733862261259,0.07618557905611892,0.023941461745553116,0.02542733584767457,0.4827098405266754,0.6005856882143523
2000,gaussian,sqrt,7,130,0.06307538293845333,0.0783788211839316,0.029704884811496413,0.029878381612463277,0.4731677826472533,0.5927282203545536
2000,gaussian,sqrt,8,131,0.06151214394499658,0.0780550227349025,0.05092829896027984,0.054324485327127164,0.49360178751354594,0.6157960804232558
2000,gaussian,sqrt,9,132,0.06399682085459975,0.07984327788312348,0.03381356718944345,0.033818003962595516,0.5056634489280585,0.6208978011587492
2000,gaussian,sqrt,10,133,0.062033687590495705,0.07815973554816798,0.035261434889590326,0.03642746744580949,0.48404546674155113,0.6182623944341594
2000,gaussian,sqrt,11,134,0.06020597025926767,0.07558547420926684,0.07016925912226157,0.07071443654345025,0.4568055738931626,0.5677330366177432
2000,gaussian,sqrt,12,135,0.05973057595614914,0.07546139044140095,0.0554484930236519,0.06884352458020923,0.5304756482497909,0.6680448347687274
2000,gaussian,sqrt,13,136,0.06319744383775806,0.07888970324477429,0.028196382022336652,0.029851189159441526,0.49023501169327277,0.6121515034954076
2000,gaussian,sqrt,14,137,0.059141499337825594,0.0748842477392219,0.005614741603529705,0.006078654242512806,0.4855690990179521,0.6037330300186492
2000,gaussian,sqrt,15,138,0.058413796254643574,0.07325357669259842,0.035805716704760016,0.03738850877977247,0.48298133219411127,0.6117861007695589
2000,gaussian,sqrt,16,139,0.06117178276914439,0.07763486794113685,0.03785294925501731,0.038530859171361724,0.5201042869352595,0.6493897649302186
2000,gaussian,sqrt,17,140,0.06172056998102074,0.07753448389179388,0.050670331749548325,0.05139380190105312,0.5124201682453543,0.6256130480411912
2000,gaussian,sqrt,18,141,0.06116708464789278,0.07696719254909785,0.050215556334160305,0.05694338864284823,0.49348978375719327,0.6178719778928925
