n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,bandwidth_input,bandwidth_method,best_bandwidth,sigma2_true,rho_true,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_abs_error,rho_abs_error,Sigma_fro_error
2000,quadratic,4,127,1,,167.44742120907176,0.13,fixed,0.13,1.0,0.0,0.02939856427891999,0.03827441605848002,0.017332851247091385,0.02246534157372641,0.029407314270678518,0.03828262120877138,0.017334301393273854,0.022467876483290985,0.050538115534942474,0.0010512243633921847,0.07148562541340682
2000,quadratic,5,128,1,,167.5661479170667,0.13,fixed,0.13,1.0,0.0,0.03345033821599102,0.04358075024561203,0.003935079258328145,0.0045027026701521,0.03340755427465304,0.04348774155691421,0.003900828408269108,0.004506744652870436,0.0609744129248857,0.04456582842670003,0.10458653897059257
2000,quadratic,2,125,1,,167.85667566698976,0.13,fixed,0.13,1.0,0.0,0.028173497646096304,0.03632802089098826,0.011813078065905591,0.015804337808493787,0.028589653076431746,0.03691683974756398,0.011854267079772107,0.015907365873578234,0.031989321081356104,0.06472373519411276,0.09948616496677375
2000,quadratic,3,126,1,,167.9004392089555,0.13,fixed,0.13,1.0,0.0,0.037387922425255425,0.0487600671684375,0.020778092108958424,0.027040437498524438,0.03741362265322443,0.04879023897628589,0.02078867399148776,0.027054690919894837,0.044937917756866286,0.011406994128916617,0.0653927233373422
2000,quadratic,0,123,1,,169.43583287496585,0.13,fixed,0.13,1.0,0.0,0.027812024788544377,0.03678608674947383,0.01055629898232513,0.010570723085234397,0.02776953577044484,0.03672604276436299,0.010523419356340602,0.010538886099424822,0.032453473033863256,0.011598806335327404,0.0485627394668056
2000,quadratic,1,124,1,,169.52370045799762,0.13,fixed,0.13,1.0,0.0,0.031101802893548115,0.04059211169440443,0.015476342377014118,0.015624034422704746,0.031038259736082083,0.04048725223182446,0.015481002417246259,0.015625857572563618,0.019071862762862324,0.024090718387857944,0.04294583948328068
2000,quadratic,6,129,1,,145.53414358303417,0.13,fixed,0.13,1.0,0.0,0.031335315284673586,0.04151913258815669,0.020455678987473025,0.022466859255593795,0.03121859712528483,0.04137036456951294,0.02049171665780336,0.022485415631161437,0.00540804049109167,0.03086863455683885,0.04408720954489154
2000,quadratic,7,130,1,,145.88213883305434,0.13,fixed,0.13,1.0,0.0,0.03321236927592751,0.0408403446662908,0.0077869128787706465,0.0077900076985298,0.03314410774528606,0.04083073717342404,0.007749924614645298,0.007752960581210639,0.028973473416730955,0.026589417371428583,0.05488322969739488
2000,quadratic,8,131,1,,146.53096983302385,0.13,fixed,0.13,1.0,0.0,0.03230089358111604,0.04248896200835078,0.010782394652427918,0.013347972991378685,0.03230612763491109,0.04250232775066323,0.0108320279909353,0.013380703083348558,0.0313190325010132,0.018402663885422638,0.05096389180942814
2000,quadratic,9,132,1,,147.88336070801597,0.13,fixed,0.13,1.0,0.0,0.029943367587912346,0.04168535118185631,0.027263404915313982,0.027379866780307842,0.02996014159482768,0.04167731064349367,0.027347393220716665,0.02746461559317923,0.025396612010019748,0.03386036802559357,0.05889000325912221
2000,quadratic,11,134,1,,147.55232158396393,0.13,fixed,0.13,1.0,0.0,0.029640984676239414,0.0386918145269173,0.023227780774637274,0.02386967246249287,0.029627201487394516,0.03863691964983105,0.02326989078713937,0.023902907064670815,0.0063012154369122,0.02010611618424227,0.029627104751193976
2000,quadratic,10,133,1,,148.43590462498832,0.13,fixed,0.13,1.0,0.0,0.03479976459657629,0.04347507975285133,0.005264011352488662,0.006248271494826015,0.03469521254649203,0.0433581636937214,0.005184931216733135,0.0061761335208337055,0.039458429941223616,0.01611737800801382,0.05994400383431891
2000,quadratic,12,135,1,,154.07513295905665,0.13,fixed,0.13,1.0,0.0,0.032202235094475125,0.04307360764706168,0.016427364594268967,0.01862300833057914,0.03210663757803804,0.04294880186464251,0.016554391872267482,0.01873338541352144,0.029783418308422793,0.04973750517462099,0.08019611257835553
2000,quadratic,13,136,1,,153.9661091249436,0.13,fixed,0.13,1.0,0.0,0.030725841424870767,0.03995337330575351,0.01090959858124596,0.0116619489644549,0.030704152362676766,0.03991982234835791,0.010953663328224117,0.01168203036889159,0.02527435420940838,0.02766083700265866,0.05226332777153384
2000,quadratic,14,137,1,,155.23121283308137,0.13,fixed,0.13,1.0,0.0,0.03081003072545811,0.03940313931014441,0.017483421399226762,0.018023783490842413,0.03085357409237322,0.03936110354971546,0.017464670485565215,0.018021421386463076,0.001073834395433404,0.048852186159753876,0.06902994242754333
2000,quadratic,15,138,1,,156.03509029198904,0.13,fixed,0.13,1.0,0.0,0.03068223218872557,0.04130699654961897,0.0071660774986641584,0.009003703603782684,0.0306829271688726,0.04130665928787283,0.007165169495681356,0.00900177903904955,0.02383410902213945,0.0016305875208548473,0.0337816026238273
2000,quadratic,16,139,1,,157.33691245794762,0.13,fixed,0.13,1.0,0.0,0.03303857070850062,0.042346012057806054,0.02043912543528048,0.02044545406358803,0.03316742907255851,0.042493836093293276,0.02038689218889722,0.020393688031335327,0.055406690886607324,0.020354440782643292,0.0829405350773629
2000,quadratic,17,140,1,,157.81997208308894,0.13,fixed,0.13,1.0,0.0,0.031154748941512354,0.04112705279344387,0.019480787834937674,0.021458915529683677,0.031040054419351346,0.04116329605341878,0.019461777297947958,0.021444165811307987,0.012337212009686738,0.03128803997889337,0.047056188352137984
2000,quadratic,18,141,1,,156.10257466696203,0.13,fixed,0.13,1.0,0.0,0.031933256880205194,0.041513050791595264,0.01442224548707638,0.01591829030117239,0.03195868125501871,0.04152996977543343,0.01440446319354205,0.01591632345831842,0.017648894687682604,0.013321752655998626,0.031072289568731423
2000,quadratic,19,142,1,,156.4918488340918,0.13,fixed,0.13,1.0,0.0,0.032906683564432444,0.04239759848916737,0.024210285192205916,0.02523191300353996,0.03293755435976255,0.0424191925104745,0.024216676102956303,0.025230327806085272,0.024484352258590136,0.011491580385325538,0.038082869091551244
2000,quadratic,20,143,1,,157.54361649998464,0.13,fixed,0.13,1.0,0.0,0.03437371576170833,0.04334177136714631,0.0028532503186151636,0.0032933509520214218,0.034411201825189974,0.043328783836449176,0.0028566437529080613,0.0032954039925312466,0.006498657485641823,0.01071898598305744,0.017811648440571707
2000,quadratic,21,144,1,,158.28154050000012,0.13,fixed,0.13,1.0,0.0,0.03356136831963547,0.043935052623183375,0.016265281581090862,0.016766936169895403,0.0335453951452877,0.04390873169945423,0.01627255852455045,0.01677485489352109,0.009987784739042826,0.009038730981796049,0.018964739621672524
2000,quadratic,22,145,1,,158.8726528750267,0.13,fixed,0.13,1.0,0.0,0.030098807835994636,0.03835892876214026,0.01769385324771,0.018470048917484334,0.030054189045198486,0.03838919746793944,0.01764921546540532,0.018420003480870452,0.014049030548135333,0.02847915859356425,0.04440289482124159
2000,quadratic,23,146,1,,158.95716900005937,0.13,fixed,0.13,1.0,0.0,0.02835067658497202,0.03635124430256862,0.01857985724201794,0.0186072005181292,0.028344068188738615,0.03634671720558346,0.01859263390444288,0.018620261106364906,0.011169222206766083,0.01201202458364586,0.023057973617148106
2000,quadratic,24,147,1,,165.3738268329762,0.13,fixed,0.13,1.0,0.0,0.032697455646370444,0.0436679993059282,0.016755407030345726,0.020306701900140167,0.032721101061257224,0.043739613404651066,0.01675244506929907,0.02032397069351517,0.042267284616155476,0.012580638658312604,0.06215623991753355
2000,quadratic,25,148,1,,165.54508741595782,0.13,fixed,0.13,1.0,0.0,0.03188889595613231,0.0413548116840724,0.01237318508314722,0.017257644949693358,0.031755765581604846,0.04116348137724255,0.012401342316556097,0.01731054743499918,0.008264200150277512,0.03743121749197437,0.05378347072215517
2000,quadratic,26,149,1,,165.54580345901195,0.13,fixed,0.13,1.0,0.0,0.033881477996858096,0.04484299286557514,0.005923910090856577,0.007026119018553193,0.03387150616896086,0.04481380793911509,0.005945863663821216,0.007043816433680785,0.03980378277625696,0.013737533384198355,0.059301541592772095
2000,quadratic,27,150,1,,167.62323295790702,0.13,fixed,0.13,1.0,0.0,0.029693598775324074,0.04081542715580194,0.011452749342100832,0.012489206217742889,0.029599637486588656,0.040717435295667063,0.011517124912134413,0.0125279285998104,0.05756511515703555,0.044728890787092884,0.1009030014508422
2000,quadratic,28,151,1,,166.98837833292782,0.13,fixed,0.13,1.0,0.0,0.029949976833180243,0.03924776181778116,0.013248284772480412,0.014392022211757439,0.02992361962921649,0.03914341442722844,0.013355640346048414,0.014510169032894498,0.058936872136125196,0.0245127539172268,0.08950631012435652
2000,quadratic,29,152,1,,168.26105395890772,0.13,fixed,0.13,1.0,0.0,0.03280811528228658,0.04180985999190608,0.009854724913545887,0.013337498485530438,0.03281685785987421,0.041816750401923876,0.009852788430942283,0.013332690348142821,0.0495566216772918,0.0019742274419491195,0.07013386623807871
2000,quadratic,0,123,1,,148.73136233305559,0.13,fixed,0.13,1.0,0.3,0.03026781436972088,0.03686977121883326,0.017308459844272095,0.022927007280033978,0.029877126121711166,0.0373337630287508,0.017285018713524503,0.022668860916302956,0.03858588020717679,0.008819450735631174,0.06149909767528806
2000,quadratic,1,124,1,,149.02877466601785,0.13,fixed,0.13,1.0,0.3,0.028783531240441397,0.03934305795899674,0.01716676702447839,0.018468853626226484,0.02790361693485343,0.03753672106087097,0.017311588349392837,0.018979005824081664,0.012366783836594064,0.010426382779361365,0.019815714516183008
2000,quadratic,2,125,1,,149.23494799993932,0.13,fixed,0.13,1.0,0.3,0.036303349725648366,0.049397179689222,0.024057927621735198,0.02406459345138764,0.034719803964226054,0.04644942766104471,0.02425968820744573,0.024297705454527443,0.05339139700257156,0.042257796171995876,0.10944195754336257
2000,quadratic,3,126,1,,149.14670437492896,0.13,fixed,0.13,1.0,0.3,0.030829991968112046,0.037882640351260474,0.011577518746782589,0.014093439128665668,0.030902790126683753,0.037556222385315134,0.012010434611702925,0.014183862552185952,0.04475177176393319,0.031073563626456302,0.08787563583714952
2000,quadratic,4,127,1,,150.65995050000492,0.13,fixed,0.13,1.0,0.3,0.030891500586224856,0.04135002740213105,0.02493399906010252,0.02868363482269826,0.030843033169654095,0.04139191897928329,0.024688773825151333,0.028305780957978564,0.07642306255952414,0.06367647565640672,0.1582493520524456
2000,quadratic,5,128,1,,150.28274745796807,0.13,fixed,0.13,1.0,0.3,0.026180057006969536,0.03331849030948275,0.023332013990351452,0.03177048208232089,0.02329357879216708,0.030113429212143175,0.023899163901669906,0.03199680152955898,0.03770881121278025,0.02093823485166829,0.054772802871364414
