n_subject,coef_type,rho_true,bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_abs_error_mean,sigma2_abs_error_std,rho_abs_error_mean,rho_abs_error_std,Sigma_fro_error_mean,Sigma_fro_error_std,best_bandwidth_mean,best_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std
1000,bump,0.0,fixed,2,2,0,0.13227104737742174,0.001110762124092779,0.2253630401331377,0.0024457915698412602,0.04278404733349983,0.020749271302339944,0.04541371466056071,0.02335867047899602,0.13260280705117333,0.0012836637160706793,0.22735642010234025,0.0012368675480053798,0.0427964767991702,0.020572827450719533,0.04554787368857888,0.023281846804101145,0.47865030799124975,0.024124601984074734,0.04982279900707788,0.01596109859572557,0.6781130673984821,0.03331660708205181,0.25,0.0,13488.821226754226,118.08818476740271
1000,bump,0.3,fixed,2,2,0,0.12522561774960855,0.0009497635836249463,0.2226889568008181,0.010859708598216306,0.04136164398563347,0.03401435621619031,0.04588905600067136,0.036965905828280785,0.12528694899176568,0.0009291020486768206,0.2242395362983481,0.011079016630015759,0.04136058060644854,0.03388137245299494,0.045580532881278064,0.037051161575791365,0.47198803733037825,3.298195765405465e-05,0.21303318642477637,0.028664550461181174,0.7582981824460873,0.010099678255786226,0.25,0.0,16370.304328845814,433.72795988060534
1000,bump,0.6,fixed,2,2,0,0.12488580168621419,0.002601817835110709,0.22182354729278037,0.01833008354172097,0.04684258959640486,0.033065925408678254,0.05076884672649999,0.034198787712157605,0.12442523567858975,0.0025604238252037864,0.2229896980800541,0.018858666973375626,0.046737229152085,0.03286761412713124,0.050056425847880795,0.034333658214294294,0.47018234250119234,0.0012743557795321103,0.4360357108035866,0.031512043177986615,0.9843183571661989,0.01884091844534036,0.25,0.0,16888.724095648155,1116.7351787034422
1000,bump,0.9,fixed,2,2,0,0.12559986596243894,0.004095662611054186,0.22309389523183926,0.025051942309722325,0.052966069840300056,0.030759957608094135,0.056363348098335236,0.029771439117014385,0.12422174451793251,0.004073381874049667,0.22359089425512513,0.025892734693967218,0.052471085403683615,0.030376500260687278,0.05494781013637989,0.029905861212034007,0.4658307267792974,0.003650950952896026,0.6560600024925414,0.03000030091348388,1.2722353965987483,0.023138665641303735,0.25,0.0,16807.4138644943,1072.1302339574322
1000,quadratic,0.0,fixed,2,2,0,0.11379594605883317,0.002733360648936957,0.22588545948194205,0.013543644053773715,0.03396410177923048,0.026897589423587887,0.035035144196876276,0.02752457202213351,0.11452605762786164,0.003086046631635149,0.23105946999321134,0.0177649484497992,0.03348997504556084,0.026986575477158548,0.034541171521808856,0.027416241673435343,0.6452483926708903,0.021588913893774875,0.15522441130523482,0.07266185523810104,0.9170701946815446,0.02678214066308504,0.25,0.0,12335.644602352753,4901.572967333719
1000,quadratic,0.3,fixed,2,2,0,0.1052333017346614,0.0019084512186164637,0.1951591580133863,0.015782216932947693,0.03640016129018142,0.01948529117482778,0.040730958393197805,0.021071571497116606,0.10514959132395428,0.002047411095594809,0.19774129435355464,0.017705732883945627,0.036342314473021387,0.018716658269115505,0.040342640415531344,0.020035430055753593,0.6650094871191353,0.00022334987119154714,0.14228919837000453,0.01580984641893593,1.0033466814274874,0.002922734207592037,0.25,0.0,16778.253701443784,138.40298211481422
1000,quadratic,0.6,fixed,2,2,0,0.10420460180815738,1.2195907922216143e-05,0.1885175051406445,0.0060039180780197265,0.04073816388235507,0.019679803387432693,0.04532078160494872,0.018599987367469633,0.10307394905997094,6.385171002009499e-05,0.19014145858600898,0.007694310163654294,0.04019640598230234,0.01809893603658619,0.04424461369965421,0.016662362274359504,0.667484017930208,0.002576171820208417,0.33720394897495876,0.010476990122684077,1.190253980567229,0.0004716437660814421,0.25,0.0,14023.711391715333,3186.5876369401813
1000,quadratic,0.9,fixed,2,2,0,0.10349369877889575,0.0021613988613555443,0.18115164491075417,0.005728908556606849,0.045358059043474785,0.018877420681217227,0.05086012116619405,0.014526581020408269,0.10054710185455265,0.002220323737580611,0.18135603530861827,0.004600628942993221,0.043686896313450796,0.016127034584217603,0.048595166903742354,0.011590644687651658,0.6690090472936124,0.006966173140485643,0.5307662959280866,0.00969764009080687,1.450974327982812,0.0057401518850178634,0.25,0.0,16372.794277740642,103.71085517667234
1000,sin,0.0,fixed,2,2,0,0.16860545818264788,0.008957960014443891,0.28743746047366636,0.03980322641896204,0.04529923595372232,0.005462674106164744,0.05132205524128833,0.0036638343141266773,0.1687424859050946,0.009054457962221124,0.28757311781748013,0.039801874965169015,0.045457304686237876,0.006169189143310216,0.05154372614249124,0.003866626447945106,0.05783125462810984,0.02835984077350978,0.06489053414621113,0.027172456077476842,0.13216671570480434,0.0008892463160374287,0.25,0.0,9256.806302968413,2697.9550749156624
1000,sin,0.3,fixed,2,2,0,0.1687082295127421,0.0013767552719591292,0.29224091450151657,0.0032308073534963178,0.08082739781757331,0.02327573643237235,0.08511011875554064,0.019719550395017972,0.16867271573186107,0.0013792774664340979,0.29244499248458433,0.003337816364104129,0.08167779487344995,0.02251019123305298,0.08609306722292101,0.018819109022002865,0.06166144388430023,0.02669419192612338,0.2523941660469084,0.02217069449160186,0.37478517128595423,0.01789219416082774,0.25,0.0,6361.091244991869,3202.5125360377133
