n_subject,coef_type,rho_true,sigma2_function,a_eval_mode,a_eval_selected_points,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,rho_mae,rho_rmse
2000,base1,0.0,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.03520061246664262,0.0009757573515521348,0.04669782711997208,0.001296337168582278,0.015432193623122935,0.00808722861243918,0.018495347958217674,0.009474517903861798,0.035269385900979985,0.0009901447964312082,0.0468598777348712,0.001336663528352025,0.015066996513985853,0.008141313837665448,0.018129495807829004,0.009300130811446957,0.22060647988255963,0.024136455613118835,0.24204583266890062,0.024592047025259457,0.018251706535273308,0.009683440184438646,-0.0031686978950743816,0.02041698212040875,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2225.7845256149612,1052.9119656389314,0.018251706535273308,0.02066140859804431
2000,base1,0.3,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.0351367060505907,0.0008849733224811694,0.046705496067236625,0.0015746569984695362,0.015428851164470198,0.006348433550467692,0.018889943189741472,0.008012936219804681,0.034284509268846075,0.0009469877434488634,0.045724003128801725,0.001575562973105597,0.014485596776896231,0.005984028586562449,0.018284513928408918,0.007335242335339451,0.21756790855470032,0.019692619050415125,0.23972098197194427,0.020254413556370244,0.05892025860968542,0.022801224902612837,-0.05892025860968542,0.022801224902612837,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2270.7453610096127,1360.0614471225997,0.05892025860968542,0.06317826154375998
2000,base1,0.6,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.03520487760870648,0.0008567742783789591,0.04676981857040553,0.0015663445365325741,0.016973847847399682,0.00708361390615266,0.02079605887302987,0.008992828861372544,0.03130578890954603,0.0008746073478921666,0.04179516657861109,0.0014308613082884148,0.0158605692130856,0.006593613344874207,0.01991747706255818,0.007787644876721554,0.2157217204883722,0.023145043034830615,0.23771710524680323,0.022988170386757628,0.12954568172384334,0.01805742201329394,-0.12954568172384334,0.01805742201329394,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2822.2624849394197,811.6328881839838,0.12954568172384334,0.13079814273552015
2000,base1,0.9,sin,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.035317821808377246,0.0008923945301514738,0.046901449787834185,0.0015874257337477652,0.01847907128400109,0.007846095679530322,0.022602743482396524,0.009966618521838387,0.024611282730291537,0.0006623307420927099,0.03270661515588719,0.0011639300791045368,0.017631620301699,0.00676625358932792,0.02154352666312227,0.007975608115358574,0.21426518296862612,0.026860928125243464,0.2362735734427063,0.026321634941399222,0.20121222533665245,0.012571805020732973,-0.20121222533665245,0.012571805020732973,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2369.617213749544,950.2536692885287,0.20121222533665245,0.2016045880093187
2000,base2,0.0,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.02975666661010292,0.0008384260174725056,0.03850721343019876,0.0011234119102170451,0.012312646948751218,0.004211163957513058,0.014708098403979958,0.005187243983501222,0.02992687268876629,0.0008150930877942318,0.0388023424662358,0.0011130461936695421,0.011950249425325852,0.004095374224909731,0.014785958466849974,0.005455767269457329,0.15463814029383322,0.01540835830955049,0.16189354675666978,0.015890792008269712,0.017430773760164314,0.017345973091166502,0.011767477406972484,0.021592617530857564,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2439.9612944233463,1091.9837588398623,0.017430773760164314,0.024590946634025813
2000,base2,0.3,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.029644273956615286,0.0008582083076706359,0.038447666065644606,0.001197806171389292,0.015713022104366037,0.006121672442214089,0.018365708623340474,0.007006142409026397,0.029112303227280572,0.0008362218369120494,0.03786216385440864,0.0011468763425492442,0.016070492758821834,0.006452401860514948,0.018184066338287525,0.007071187093845716,0.15422956051921086,0.017811291281829036,0.1605704400184919,0.018243602489634306,0.06408975825401783,0.025785791225366655,-0.06131607715501626,0.03182362054350095,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2191.035805938121,946.4763813751955,0.06408975825401783,0.06908258928396244
2000,base2,0.6,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.029639564165007452,0.0009098113752568236,0.03842700545293377,0.0012674411734772035,0.017121969830268445,0.006658104269643536,0.02011053317390922,0.007624708310339565,0.026657190242088288,0.0007748587551750631,0.03473238354277042,0.0010818000604187218,0.017191396683761795,0.0070912158120174686,0.01955876124946597,0.007593110514091232,0.1541471350549902,0.0224894311356728,0.1608840693877741,0.021856461333735182,0.12724993222494269,0.025300606229103597,-0.12724993222494269,0.025300606229103597,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2345.843351569655,952.4896666153177,0.12724993222494269,0.12974076432183013
2000,base2,0.9,sin2,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.02964188626257093,0.0009821751139714207,0.03841534677212192,0.0013420757020881102,0.018372450324857473,0.007257629212109069,0.02167244038958863,0.00813190821399084,0.021022045835916145,0.0006671679417253286,0.027589539710891155,0.0009721765890936961,0.018001556789925172,0.007205840221066633,0.020705618834405675,0.0077660651515717655,0.15406125113980995,0.02799102647624122,0.161601451757023,0.025864878045572227,0.1931868503942648,0.016132503982672294,-0.1931868503942648,0.016132503982672294,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2768.4448677579253,975.8613376362282,0.1931868503942648,0.19385927073526046
2000,base3,0.0,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.05249699198333435,0.0010074976741367688,0.06665155969783035,0.0011676444748121985,0.015701042095581534,0.007703164112968865,0.018932628167305357,0.009385299513545352,0.05376617691931015,0.0010200624524181288,0.06828287297143602,0.0011741054365896249,0.01547344103907552,0.007985187760662225,0.018542194602075554,0.009477514649816684,0.160237147393516,0.010760848488733904,0.20058945641669987,0.011519737423510049,0.019245289402907522,0.01381765241991208,-0.00309543628987736,0.023488868784479106,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2159.4692128003107,1060.4861093499244,0.019245289402907522,0.023691953963300847
2000,base3,0.3,mixed,anchor_grid,500,exchangeable_varying_sigma,fixed,15,15,0,0.05232605289842318,0.001069513433501997,0.06673686987823754,0.0013077975228124226,0.01582402947723348,0.008007286146760998,0.020018719974887352,0.009267111651853557,0.05300419443085231,0.0010695126508531582,0.06763618156484066,0.0013057516184102412,0.015860770928226978,0.008019112603276042,0.019728955521426218,0.008970370580354142,0.16224344094719306,0.011276787888071339,0.20089655535252005,0.012334866556965774,0.12271686560252279,0.02340704145973914,-0.12271686560252279,0.02340704145973914,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2107.893105422007,1071.4417667990315,0.12271686560252279,0.1249292547532626
