n_subject,coef_type,rho_true,bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_abs_error_mean,sigma2_abs_error_std,rho_abs_error_mean,rho_abs_error_std,Sigma_fro_error_mean,Sigma_fro_error_std,best_bandwidth_mean,best_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std
500,bump,0.0,fixed,30,30,0,0.06786654915438022,0.005079729926399233,0.088886041686693,0.006590668490732971,0.028266082679524678,0.013172399192524642,0.03140430571649319,0.01462676413209336,0.06789527104307387,0.005137396992659172,0.08894441578729594,0.006670715095548518,0.0281491568667666,0.013234810008561033,0.03127441147046524,0.014702267126952042,0.12934045453775805,0.03660602492077101,0.03213411974697943,0.02415820548321133,0.19039829067851502,0.04880568398929559,0.12999999999999998,2.7755575615628914e-17,9.573131941635317,0.073344712630915
500,bump,0.3,fixed,30,30,0,0.06884983497102751,0.004620796301619154,0.0899676296342057,0.005978875132026082,0.030302339141775974,0.015752451361122383,0.03261611142084727,0.017073364871508026,0.0659280696150696,0.004695265240813568,0.08666022468752455,0.006035548420625062,0.029531716375586315,0.015541119086173262,0.031945186926336286,0.016920571856977352,0.129342399415879,0.044174786460771026,0.034034806004168125,0.02755274792926149,0.20527147291738546,0.07308244619008322,0.12999999999999998,2.7755575615628914e-17,9.502084448661966,0.10776394760066846
500,bump,0.6,fixed,30,30,0,0.06882072899475636,0.00445678417984659,0.08976882172280543,0.0056103641722137455,0.03332815849902523,0.01725604187742079,0.03584815526016361,0.018510999209709698,0.05702423834985672,0.003934715050397923,0.07526164554317998,0.00518659502804927,0.031498009515175784,0.016660998153030123,0.03419137877108285,0.01797344652550572,0.12787392033184844,0.04939317874414537,0.05645216681726621,0.028180947835966145,0.25433001789124415,0.09125037585930422,0.12999999999999998,2.7755575615628914e-17,9.479781390268666,0.10819427254763934
500,bump,0.9,fixed,30,30,0,0.06862488274046238,0.004361441297669476,0.089537646864718,0.005312546315650547,0.03596784932737593,0.018663810259301392,0.03876517887195847,0.019751063395587902,0.035820120416335754,0.002190464246243631,0.047520846122371584,0.003301514178992591,0.032836952629528134,0.017566665389341044,0.03578568102673031,0.018709884377839846,0.12675205408460036,0.0546318129593409,0.08801752155828994,0.01595576152386114,0.32464771120045205,0.10348881372504165,0.12999999999999998,2.7755575615628914e-17,9.679215983429458,0.15392508519958323
500,quadratic,0.0,fixed,30,30,0,0.06621224882423785,0.004435512759763287,0.08721462246890237,0.005930401268327056,0.028391340045031698,0.013200892414504213,0.031670615659317086,0.01432324023226708,0.06623482308737214,0.0045005649466843805,0.087262242517288,0.006031171702191433,0.028286827503747766,0.013251748347607555,0.03154661419805387,0.014404824216808707,0.133111347955382,0.035961181815343767,0.033064655602501894,0.02328665189623031,0.19551715638431336,0.04794586581214224,0.12999999999999998,2.7755575615628914e-17,10.053420354235762,0.186224284388416
500,quadratic,0.3,fixed,30,30,0,0.06737982218126594,0.004507182945052442,0.08840662754007002,0.005587524806556343,0.030081259044082483,0.015850929293187783,0.03263707540379129,0.017115843987544555,0.06441915348540088,0.00457422614250855,0.08503967542411746,0.005592059624008066,0.02927168669304181,0.015664210163119915,0.03202473352275885,0.01693104896022033,0.1332243517076424,0.0438415513547616,0.033538335055767345,0.026043111369294148,0.21042283817364238,0.07160852823581002,0.12999999999999998,2.7755575615628914e-17,9.486980358379272,0.22710948016919416
500,quadratic,0.6,fixed,30,30,0,0.06725580412918594,0.004293078349671568,0.08814310715686312,0.005352285590058944,0.03311081188525168,0.017342809075260774,0.03584800276050359,0.018560382651953457,0.05515026574059876,0.0038971592311022886,0.07332250354364661,0.0048755821417876865,0.03139003555873074,0.016706786750126927,0.03430038127924615,0.017965655170843402,0.13173068186831877,0.04909909471391736,0.05445036149951586,0.027048826122153622,0.25830930713483474,0.09107002891953787,0.12999999999999998,2.7755575615628914e-17,9.469938740262297,0.23270549190207718
500,quadratic,0.9,fixed,30,30,0,0.06697067172834974,0.004065388079248989,0.08782702865651612,0.00522542385390981,0.035750502713602236,0.018740747350680112,0.03873611133736918,0.019811852252557723,0.03269476191206247,0.002237539809091668,0.04420198354819441,0.0032060866481987034,0.032712830848932284,0.01762069158234863,0.035873483511898535,0.018706019990314782,0.1303656263378248,0.054839197877864405,0.08508728486137097,0.014815268396491547,0.3281675284482208,0.10298823526358435,0.12999999999999998,2.7755575615628914e-17,9.697511533279128,0.10294152452908613
500,sin,0.0,fixed,30,30,0,0.07037598203477087,0.005524868871879121,0.09149885736140058,0.0065898819521774555,0.028311606231938943,0.013688302478042862,0.031461966871160874,0.014930761824516761,0.07042735610181546,0.005598613082955305,0.0915855566596231,0.006688273337378333,0.02817964323350967,0.013753422540830392,0.03133961231114674,0.01499111802916703,0.1236273615204936,0.036675607805363615,0.034101692153997276,0.023607119722626215,0.1833484140280005,0.04832115947994823,0.12999999999999998,2.7755575615628914e-17,9.59219212361689,0.12834464297716996
500,sin,0.3,fixed,30,30,0,0.07076498459548343,0.005327247820924989,0.09219774920623278,0.006210686334648663,0.030107105475247694,0.01569099724629822,0.03245033898705381,0.01718489186208692,0.06809756755831496,0.00517430260404088,0.08903256844297157,0.006170265056549266,0.029273464536172664,0.01563360892551215,0.031860193738043864,0.017105913320050698,0.12343517769260143,0.04427944500340885,0.036250785872997814,0.026594807485845452,0.19819129216173823,0.07259019831691085,0.12999999999999998,2.7755575615628914e-17,9.266141052811872,0.10904628347696611
500,sin,0.6,fixed,30,30,0,0.07071608129186163,0.005069992232612096,0.09204476147659331,0.005747895043601995,0.033134390553314956,0.01716203715440372,0.0356228526504341,0.01863367594573966,0.05973202150653792,0.0043616412083570906,0.07817450957146697,0.005243155483531179,0.03130200840388926,0.01685570248522369,0.03409911822092417,0.018234773219043262,0.1219274116301819,0.0495344333542425,0.059812531742600844,0.02863420640055438,0.2482686582776776,0.0916416698472982,0.12999999999999998,2.7755575615628914e-17,9.222585092966135,0.10255863504936226
500,sin,0.9,fixed,30,30,0,0.07060519337295064,0.0044865440692043075,0.09190121694252955,0.005196445340170113,0.035790917964135506,0.018518935864211505,0.038473090453906275,0.019888980453796272,0.04056236817029421,0.002666020128875991,0.052480387853323165,0.003310082940327583,0.0325857308698759,0.01780327044711166,0.03565169640004719,0.01902918561234336,0.12129994981088926,0.05362594338519567,0.09320374818758272,0.016709232281814968,0.3199064382326891,0.1034952280501202,0.12999999999999998,2.7755575615628914e-17,9.135171922230317,0.07536953427392792
500,sqrt,0.0,fixed,30,30,0,0.0660294933784769,0.004559521745308905,0.08702946251112646,0.0061214337201219654,0.028480949977659722,0.013186350647153051,0.03177130693344367,0.014397756046362925,0.0660521085956131,0.0046146633750406485,0.08707428550048284,0.0062214131883650626,0.02837190126377347,0.013241276507724754,0.03164800147332341,0.014477586451401226,0.13355484380665744,0.03607744754714951,0.032462616211746356,0.02362658643606774,0.19599978661728285,0.04821271963173633,0.12999999999999998,2.7755575615628914e-17,10.435365838887325,0.8074722418468411
500,sqrt,0.3,fixed,30,30,0,0.0671828821024975,0.004499336776405833,0.0883044169650567,0.005607661434667311,0.030013517163614587,0.015847166213771004,0.03253497775636282,0.017061018626418217,0.06422457088686032,0.004664926318870505,0.08493044117476245,0.005648336770264067,0.029200880255847956,0.015664265746981383,0.03188756875798975,0.016910895445974874,0.1337264033120317,0.04373042279373501,0.03333692539839483,0.026208541402680856,0.21078990186443755,0.07193231971967265,0.12999999999999998,2.7755575615628914e-17,10.55738157921005,0.8418213621289593
500,sqrt,0.6,fixed,30,30,0,0.0670987111720044,0.004263914954358137,0.0880600279899271,0.00530687332144878,0.03304307000478447,0.01734890833129887,0.035762418813040084,0.018504406485183148,0.055012729646507295,0.003945223416582095,0.0731891348164638,0.004852548701395798,0.0312831121582362,0.016693060529785447,0.03416226722029643,0.017962819029381783,0.13222674418441926,0.04898397735799207,0.053881841892879465,0.02729104366693631,0.2586599961105572,0.09078319650736455,0.12999999999999998,2.7755575615628914e-17,9.143607204170742,0.2646104547695611
500,sqrt,0.9,fixed,30,30,0,0.06685044138713689,0.004015633765378438,0.08776369458269996,0.005092153036182639,0.035682760833135485,0.018758108749785795,0.03867113123474914,0.019752444382911575,0.032347169530861176,0.002174171029315876,0.043898712550146136,0.0030276191975082234,0.03259303083349348,0.017630851563716802,0.03575908658658031,0.018702746477975138,0.1307811688164647,0.05491799327424041,0.08436147594477003,0.014936422069342092,0.32826370315945924,0.10292738210372045,0.12999999999999998,2.7755575615628914e-17,9.939243094471749,0.6251970456304311
1000,bump,0.0,fixed,30,30,0,0.04577477908670877,0.0028835212776187427,0.05929443976161898,0.003351776165122355,0.021014514595000883,0.008303996945958441,0.023114010579093673,0.009312612549303531,0.0457818101911434,0.002895402649509747,0.05932978317158995,0.0033546445459898917,0.021009728529398634,0.008327739438702146,0.02310854261980215,0.009334496235258819,0.05611160011474826,0.033283652607414824,0.016673181289917974,0.014799824828727038,0.08704569217447795,0.04249916331411063,0.12999999999999998,2.7755575615628914e-17,38.03363938753027,1.2800807458001906
1000,bump,0.3,fixed,30,30,0,0.04781860691594223,0.0032093964286294043,0.06225133162668335,0.004614339281690796,0.019993025803281283,0.008791989495926297,0.02353881702535833,0.01068710073042948,0.04589311390355334,0.00269927108739927,0.05987283731761755,0.003983817470931211,0.020252735734804683,0.008848585283180695,0.023750510426914197,0.010571255096837484,0.05741459487907633,0.032814957468903956,0.03446548285718442,0.022548728542545582,0.10540285039320267,0.04939858489381039,0.12999999999999998,2.7755575615628914e-17,38.42819737641063,1.287824978760741
