variable,variable_type,cfp_beta_hat_std,cfp_bootstrap_se_std,cfp_ci_lower_std,cfp_ci_upper_std,cfp_beta_hat_iop,cfp_bootstrap_se_iop,cfp_ci_lower_iop,cfp_ci_upper_iop,cfp_ci_excludes_zero,cfp_n_success,roi_beta_hat_std,roi_bootstrap_se_std,roi_ci_lower_std,roi_ci_upper_std,roi_beta_hat_iop,roi_bootstrap_se_iop,roi_ci_lower_iop,roi_ci_upper_iop,roi_ci_excludes_zero,roi_n_success,cfp_significant,roi_significant,significant_either_image,significant_in
z_vf_00_mean,vf,-1.1543568580266816,0.4406351374431542,-1.8755226841290205,-0.1418376428998313,-4.823978342858864,1.8413840965626975,-7.837680996884413,-0.5927298068992118,True,2000,-1.133504190073224,0.4319210539247151,-1.8618953885046936,-0.1707780077061244,-4.73683646996328,1.804968537649076,-7.780733460681558,-0.7136696116824965,True,2000,True,True,True,both
z_vf_03_mean,vf,1.0378235143080892,0.5468887529114957,0.0085553572002997,2.1393070749851355,4.336993471230524,2.2854106870452444,0.0357522524882106,8.94001792140304,True,2000,0.9122733896417176,0.535106272639592,-0.0865643880478221,1.9908300031469297,3.812328088838168,2.236172508000691,-0.3617466559858845,8.319542395158061,False,2000,True,False,True,CFP
z_vf_04_mean,vf,1.01260722698867,0.507101883866136,0.0389721941445973,2.0426920596435716,4.231616331509512,2.119144083030716,0.1628621333342336,8.536270381496356,True,2000,1.1042878134243002,0.4790639592051242,0.188100424596532,2.041468987845081,4.614743230570962,2.0019755138807565,0.7860588068817571,8.531159248117925,True,2000,True,True,True,both
z_vf_60_mean,vf,0.5290916986756393,0.3383750566160067,-0.0709674751702515,1.2496847399592126,2.2110380148481763,1.4140462141573982,-0.296568224018603,5.222347040298965,False,2000,0.593660553879913,0.3304182885534542,0.0204087093857789,1.2853763566203475,2.480866843743484,1.3807954247277596,0.0852866004114149,5.371499864746391,True,2000,False,True,True,ROI
