variable,variable_type,cfp_beta_hat_std,cfp_bootstrap_se_std,cfp_ci_lower_std,cfp_ci_upper_std,cfp_beta_hat_iop,cfp_bootstrap_se_iop,cfp_ci_lower_iop,cfp_ci_upper_iop,cfp_ci_excludes_zero,cfp_n_success,roi_beta_hat_std,roi_bootstrap_se_std,roi_ci_lower_std,roi_ci_upper_std,roi_beta_hat_iop,roi_bootstrap_se_iop,roi_ci_lower_iop,roi_ci_upper_iop,roi_ci_excludes_zero,roi_n_success,cfp_significant,roi_significant,significant_either_image,significant_in
is_female,sex,0.0014786706499798,0.1876695785928104,-0.3516445781111867,0.3815634682417938,0.006179263493888,0.7842583309053653,-1.469498636749034,1.5945276319240136,False,2000,0.0870092591099402,0.1790843895892289,-0.2517223305314958,0.4403251672397263,0.3636057417218942,0.7483814133519634,-1.0519303995591882,1.840088752286904,False,2000,False,False,False,none
z_vf_00_mean,vf,-1.1543568580266816,0.4406351374431542,-1.8755226841290205,-0.1418376428998313,-4.823978342858864,1.8413840965626975,-7.837680996884413,-0.5927298068992118,True,2000,-1.133504190073224,0.4319210539247151,-1.8618953885046936,-0.1707780077061244,-4.73683646996328,1.804968537649076,-7.780733460681558,-0.7136696116824965,True,2000,True,True,True,both
z_vf_01_mean,vf,0.4602634336734871,0.4239567040263607,-0.4415764308566597,1.2644319417536256,1.9234094037837297,1.7716860642462766,-1.845317697346071,5.2839745877764654,False,2000,0.575269273778342,0.3865205729761912,-0.2541224002150171,1.263632078788467,2.4040109423031866,1.6152430335051973,-1.061960126583508,5.280632015161809,False,2000,False,False,False,none
z_vf_02_mean,vf,0.3101814396451407,0.5056695623980876,-0.6875768734259353,1.33110051063285,1.2962270174951025,2.113158509597481,-2.873336718532024,5.562577976482923,False,2000,0.2975851006401698,0.4801912583480041,-0.7162207763392593,1.1774504178741625,1.243587778479221,2.0066864198829717,-2.99303762934485,4.920484749685432,False,2000,False,False,False,none
z_vf_03_mean,vf,1.0378235143080892,0.5468887529114957,0.0085553572002997,2.1393070749851355,4.336993471230524,2.2854106870452444,0.0357522524882106,8.94001792140304,True,2000,0.9122733896417176,0.535106272639592,-0.0865643880478221,1.9908300031469297,3.812328088838168,2.236172508000691,-0.3617466559858845,8.319542395158061,False,2000,True,False,True,CFP
z_vf_04_mean,vf,1.01260722698867,0.507101883866136,0.0389721941445973,2.0426920596435716,4.231616331509512,2.119144083030716,0.1628621333342336,8.536270381496356,True,2000,1.1042878134243002,0.4790639592051242,0.188100424596532,2.041468987845081,4.614743230570962,2.0019755138807565,0.7860588068817571,8.531159248117925,True,2000,True,True,True,both
z_vf_05_mean,vf,-0.7982826534717667,0.5622428010281328,-2.0070990162494526,0.225985519944555,-3.3359686002218054,2.3495742037903913,-8.387529487988626,0.944378028710976,False,2000,-0.786217470468774,0.5485970787395925,-1.970100503320089,0.2399864845594597,-3.2855490258030593,2.292549663818314,-8.232915233437968,1.0028871020636396,False,2000,False,False,False,none
z_vf_06_mean,vf,-0.3081471696025944,0.5842169642835662,-1.6883840545622375,0.6775761352058602,-1.2877259421469252,2.441402728834079,-7.055641465637845,2.831544317637284,False,2000,-0.3032624694914153,0.5717861559436649,-1.5669247202515826,0.6975928581733835,-1.2673131145331409,2.3894552311439607,-6.548071216300692,2.9151928336216764,False,2000,False,False,False,none
z_vf_07_mean,vf,0.4355762990725242,0.6841410789585233,-0.9633078916562282,1.7016947960969009,1.820243557075056,2.8589787684873187,-4.02559778160669,7.1112661439547145,False,2000,0.4573150200706004,0.6806942580304697,-0.8827386570799929,1.8222525278465336,1.9110881850312984,2.844574739617886,-3.6889044618642335,7.615068657865865,False,2000,False,False,False,none
z_vf_08_mean,vf,-0.7436852073640462,0.527772407564463,-1.8251553363067248,0.2474302811072997,-3.107809607820376,2.205524787544169,-7.627199295846711,1.0339942186244684,False,2000,-0.5031641994646285,0.5220635033302613,-1.5825960971549404,0.4194191917530386,-2.102688769284535,2.1816676672821367,-6.61356082833783,1.7527241108565943,False,2000,False,False,False,none
z_vf_09_mean,vf,0.3055908343478982,0.5012119613021354,-0.651339814420106,1.2818646127903313,1.2770431919904257,2.0945304995514924,-2.721904527838547,5.356824527510879,False,2000,0.1504072854369033,0.5148524036785036,-0.8367494043079524,1.218354085113092,0.6285417568325675,2.1515329751317895,-3.4967185205463736,5.091418376953355,False,2000,False,False,False,none
z_vf_10_mean,vf,0.0400329416543423,0.4377492119848336,-0.8395114496884178,0.8677966959977266,0.1672949246142188,1.8293240114917408,-3.5082609192463172,3.6264630286458184,False,2000,-0.0243142955447445,0.4243432120212903,-0.8893294607211467,0.7730628716889465,-0.1016077777977791,1.7733012547169855,-3.7164469794192567,3.2305768573772893,False,2000,False,False,False,none
z_vf_11_mean,vf,0.3055851307999651,0.4241912444560805,-0.4729350014946532,1.2174993491417447,1.2770193572537794,1.7726661926577172,-1.976363018876264,5.08784649379957,False,2000,0.2194084411370823,0.4187023576335477,-0.5833077181814276,1.1063619996256189,0.9168928662970224,1.7497285101081763,-2.437603051572627,4.623411112816078,False,2000,False,False,False,none
z_vf_12_mean,vf,-0.1425120589156292,0.5314028629432981,-1.0185973074384478,1.0484128886834905,-0.5955481452940193,2.2206962122214167,-4.256648467941835,4.381245742351157,False,2000,-0.1909054875725932,0.5367676521846896,-1.0753231560437897,1.041326552864787,-0.7977809731709634,2.2431152994685912,-4.49370190878182,4.3516324297243445,False,2000,False,False,False,none
z_vf_13_mean,vf,0.8970221039055158,0.5505368819864009,-0.2383501549320358,1.9412612322577496,3.748594009051128,2.300655968889353,-0.996048992488092,8.112397892495082,False,2000,0.9476308962086446,0.5399229809162661,-0.2119086632572512,1.9052352818567808,3.960084690057584,2.2563012023892406,-0.8855518075793543,7.961847910219874,False,2000,False,False,False,none
z_vf_14_mean,vf,0.0525337215516953,0.4603999550354464,-0.5663223497809879,1.3734317871954678,0.2195348286563381,1.9239799172162528,-2.3666223589562483,5.739477485455145,False,2000,0.0959234160816057,0.4862534437241581,-0.4331805712520675,1.5029278626842169,0.4008573939099953,2.0320198778700913,-1.810231974399467,6.280632726401012,False,2000,False,False,False,none
z_vf_15_mean,vf,-0.3565898932535246,0.6221628604521818,-1.6378704635270969,0.7626027983199071,-1.4901647704314995,2.5999760331333133,-6.844548624217817,3.186864926317064,False,2000,-0.4183669029275647,0.6285316747373905,-1.7254446207680532,0.738608129374756,-1.7483266678395395,2.6265908723556106,-7.210515036585876,3.086592846214083,False,2000,False,False,False,none
z_vf_16_mean,vf,1.1785046012248108,0.6661092412362231,-0.0325770242738908,2.5626611890082063,4.9248901097935915,2.783624952161387,-0.1361371559230641,10.709185803247331,False,2000,1.1475665643676345,0.6647135282236315,-0.017914391599001,2.546434872399976,4.795602170165707,2.777792362959208,-0.0748630170108767,10.64137713614565,False,2000,False,False,False,none
z_vf_17_mean,vf,-0.8667382290082818,0.7002106685588286,-2.287465091261558,0.431835043631553,-3.622039767504163,2.926132484144207,-9.559160136281164,1.8046091065177132,False,2000,-0.7794777136003052,0.7154950519720683,-2.224804374570857,0.5036786551828532,-3.257384042900626,2.9900048768594547,-9.297305287702814,2.104838644538291,False,2000,False,False,False,none
z_vf_18_mean,vf,-0.5091721343676322,0.5664839816373668,-1.514637440393531,0.6716529793550239,-2.127795518255507,2.367297807427201,-6.3295662506235955,2.8067918545257844,False,2000,-0.6633275940831859,0.5610613059066611,-1.7351189831465197,0.4814449810454785,-2.772000638994777,2.3446368165010605,-7.250943535165135,2.0119256412714996,False,2000,False,False,False,none
z_vf_19_mean,vf,0.4047094351932624,0.5506485470727126,-0.7823316257598669,1.397334046984095,1.6912530444531009,2.301122609646304,-3.269310346586024,5.839363394014506,False,2000,0.6718762979046037,0.5481988034808121,-0.4430420421071085,1.668992008403743,2.807725087467782,2.2908852987569426,-1.8514423865026817,6.974603431305714,False,2000,False,False,False,none
z_vf_20_mean,vf,0.1400416579235596,0.5534644309210447,-0.931618008952672,1.2309353388537816,0.5852245085424758,2.3128899956204996,-3.8931679296187873,5.143994575681751,False,2000,-0.1300136188340779,0.5664621857839867,-1.202334213698144,1.0101486687412686,-0.5433180191820742,2.367206724046928,-5.024472430191969,4.221342184777804,False,2000,False,False,False,none
z_vf_22_mean,vf,0.348672711316439,0.4509662465437462,-0.5350343939438376,1.2696651380871609,1.4570794087121937,1.884557094767223,-2.235872131848186,5.30584375726367,False,2000,0.4396663350919874,0.4403350199841151,-0.4243808262207427,1.3271923403880286,1.837335537810659,1.8401299262317017,-1.7734584418833983,5.546246000378539,False,2000,False,False,False,none
z_vf_23_mean,vf,-0.3194252423062882,0.3782864274745726,-1.0629066953979367,0.4061406638965273,-1.334856236469263,1.5808331027324392,-4.441814369123638,1.697234051297059,False,2000,-0.1732852078108233,0.3593301972679433,-0.87808997314961,0.5188604720405999,-0.7241470294083775,1.50161631345001,-3.669477929724686,2.1682824186344707,False,2000,False,False,False,none
