image_type,S,R,signal_h,variance_hbar,split_group,z_mode,n_pairs,n_split_groups,ridge,rmse_std,mape_std_pct,rmse_iop,mape_iop_pct
cfp,3x4x1,1,1.8,0.25,subject_id,none,273,119,1e-06,0.9889564084921734,442.1948419354055,4.132781178909459,21.41990866464618
cfp,3x4x1,1,2.0,0.25,subject_id,none,273,119,1e-06,0.9889615642520404,441.3620823826101,4.13280272447725,21.417188344162955
cfp,3x4x1,1,1.5,0.25,subject_id,none,273,119,1e-06,0.9889620718567572,444.2541496609458,4.132804845722638,21.42815532083069
cfp,3x4x1,1,2.2,0.25,subject_id,none,273,119,1e-06,0.9889678186697272,440.7654416989636,4.132828861260913,21.415522123256206
cfp,3x4x1,1,1.4,0.25,subject_id,none,273,119,1e-06,0.98897582238752,445.32168990194486,4.132862308250054,21.432544114907
cfp,3x4x1,1,2.5,0.25,subject_id,none,273,119,1e-06,0.9889765954940012,440.1398063751424,4.132865539009152,21.413797079537527
cfp,3x4x1,1,3.0,0.25,subject_id,none,273,119,1e-06,0.9889878104607334,439.4992792313781,4.132912405587937,21.412052685857063
cfp,3x4x1,1,4.0,0.25,subject_id,none,273,119,1e-06,0.9890004287219744,438.8813300055598,4.132965136438478,21.410524482544137
cfp,3x4x1,1,1.3,0.25,subject_id,none,273,119,1e-06,0.989005816289612,446.72128271065554,4.132987650715084,21.438439997290686
cfp,3x4x1,1,5.0,0.25,subject_id,none,273,119,1e-06,0.9890060237660416,438.598648115681,4.132988517744891,21.409863845797062
cfp,3x4x1,1,8.0,0.25,subject_id,none,273,119,1e-06,0.9890062209463912,438.2742361409513,4.132989341748083,21.40906978397758
cfp,3x4x1,1,6.0,0.25,subject_id,none,273,119,1e-06,0.9890080823591147,438.44243769257207,4.132997120464519,21.409493019118013
cfp,3x4x1,1,1.2,0.25,subject_id,none,273,119,1e-06,0.9890703477157848,448.62938962775377,4.133257323130618,21.4467940534981
cfp,3x4x1,1,1.5,0.2,subject_id,none,273,119,1e-06,0.9891635404356244,447.9844090374431,4.133646769131732,21.44438247042568
cfp,3x4x1,1,1.4,0.2,subject_id,none,273,119,1e-06,0.9891676140769796,449.0406383754984,4.133663792600289,21.44785907091073
cfp,3x4x1,1,1.8,0.2,subject_id,none,273,119,1e-06,0.989175549847564,445.9433634501418,4.133696955642693,21.437912004575686
cfp,3x4x1,1,1.3,0.2,subject_id,none,273,119,1e-06,0.989184257912884,450.4269484207114,4.133733346051967,21.452943756879648
cfp,3x4x1,1,2.0,0.2,subject_id,none,273,119,1e-06,0.989187581758715,445.1195658458935,4.133747236176318,21.435561749889565
cfp,3x4x1,1,1.8,0.3,subject_id,none,273,119,1e-06,0.989197910206659,440.34334856657216,4.133790398053732,21.42022291883561
cfp,3x4x1,1,2.2,0.2,subject_id,none,273,119,1e-06,0.9891986854936852,444.5301872220947,4.133793637925178,21.43398501607422
roi,6x2x1,1,0.85,0.3,subject_id,none,273,119,1e-06,0.9620235652079732,548.1782048587769,4.020230669237181,20.521405827550904
roi,6x2x1,1,1.1,0.4,subject_id,none,273,119,1e-06,0.9621351817149236,535.5262121239408,4.020697106984304,20.515333424019804
roi,6x2x1,1,1.1,0.3,subject_id,none,273,119,1e-06,0.9621519322670312,535.6924089580708,4.020767106395696,20.523969795953207
roi,6x2x1,1,0.85,0.4,subject_id,none,273,119,1e-06,0.9621573916609668,547.9486879591285,4.020789920829488,20.515398006874864
roi,6x2x1,1,1.2,0.4,subject_id,none,273,119,1e-06,0.9621603062580412,534.0266647808604,4.020802100731282,20.510713903642618
roi,6x2x1,1,0.85,0.25,subject_id,none,273,119,1e-06,0.9621795602597412,549.7042865732978,4.020882561887265,20.526014329113742
roi,6x2x1,1,0.9,0.3,subject_id,none,273,119,1e-06,0.9621821599185866,543.706542197587,4.020893425683743,20.52233650762936
roi,6x2x1,1,1.1,0.5,subject_id,none,273,119,1e-06,0.9622057707032132,535.0157032191275,4.020992093537539,20.513112918858138
roi,6x2x1,1,1.2,0.3,subject_id,none,273,119,1e-06,0.9622121202406422,534.277773006468,4.021018627820099,20.51966110991861
roi,6x2x1,1,0.95,0.3,subject_id,none,273,119,1e-06,0.962218648269501,541.2690043650414,4.0210459080061325,20.52877562150813
roi,6x2x1,1,1.2,0.5,subject_id,none,273,119,1e-06,0.9622204072169462,533.4642604881604,4.02105325852718,20.50860399193872
roi,6x2x1,1,1.3,0.4,subject_id,none,273,119,1e-06,0.9622329242953293,533.0752934847873,4.021105566541479,20.50810000846376
roi,6x2x1,1,0.85,0.5,subject_id,none,273,119,1e-06,0.9622431401222826,547.2661817157369,4.0211482577834765,20.51202632889258
roi,6x2x1,1,1.0,0.3,subject_id,none,273,119,1e-06,0.9622774869865895,538.1546246114448,4.021291790979827,20.531810001971937
roi,6x2x1,1,1.3,0.5,subject_id,none,273,119,1e-06,0.9622857173571376,532.4761276365683,4.021326185135328,20.50598511512949
roi,6x2x1,1,1.1,0.25,subject_id,none,273,119,1e-06,0.9622916257985964,537.0721789586506,4.021350876108001,20.526414760554303
roi,6x2x1,1,0.9,0.4,subject_id,none,273,119,1e-06,0.9622984780867756,543.6800505650083,4.021379511351554,20.515459480274384
roi,6x2x1,1,0.95,0.4,subject_id,none,273,119,1e-06,0.9622988152703886,541.2871973225766,4.021380920418806,20.52058721213436
roi,6x2x1,1,1.1,0.6,subject_id,none,273,119,1e-06,0.9623075245368506,533.6123161466162,4.021417315847571,20.511324926433968
roi,6x2x1,1,1.3,0.3,subject_id,none,273,119,1e-06,0.9623077631258384,533.3828512738385,4.021418312894629,20.517153547928363
