image_type,S,R,signal_h,variance_hbar,split_group,z_mode,n_pairs,n_split_groups,ridge,rmse_std,mape_std_pct,rmse_iop,mape_iop_pct
cfp,3x4x1,1,1.8,0.25,subject_id,none,273,119,1e-06,0.9889564084921734,442.1948419354055,4.132781178909459,21.41990866464618
cfp,3x2x1,1,0.8,0.25,subject_id,none,273,119,1e-06,0.993074095286007,410.89333572561577,4.149988710339632,21.779316790645208
cfp,2x2x1,1,0.4,0.3,subject_id,none,273,119,1e-06,0.9957941435165696,478.2999700790195,4.161355605823058,21.918474387736804
cfp,3x3x1,1,1.8,0.4,subject_id,none,273,119,1e-06,0.9964270369858064,454.5341211199016,4.164000424336247,21.785209258554666
cfp,2x2x1,2,0.7,0.4,subject_id,none,273,119,1e-06,0.999262159891372,444.4062333237797,4.175848209014523,22.035907970888104
cfp,3x2x1,2,0.85,0.25,subject_id,none,273,119,1e-06,0.999308607025518,426.2313968671904,4.17604230841078,21.83218321775168
cfp,3x4x1,2,8.0,0.4,subject_id,none,273,119,1e-06,1.0024518917360246,504.8389185374679,4.189177880191282,21.551625237509324
cfp,2x3x1,1,0.4,0.4,subject_id,none,273,119,1e-06,1.0032407047034722,467.6454977871817,4.192474275621406,22.05353693126889
cfp,4x3x1,1,0.9,0.5,subject_id,none,273,119,1e-06,1.005435023193527,445.75443867138506,4.201644182483184,21.949077749890726
cfp,4x2x1,1,0.8,0.3,subject_id,none,273,119,1e-06,1.0054883518637634,416.1504062852894,4.201867039348014,22.077510429522977
cfp,2x2x1,3,0.85,0.4,subject_id,none,273,119,1e-06,1.0068027663151675,425.6833721366351,4.207359887424434,22.04577579847341
cfp,3x6x1,1,8.0,0.4,subject_id,none,273,119,1e-06,1.0087251882540331,540.3228427666126,4.215393557198595,21.77204240230115
cfp,2x4x1,1,0.7,0.4,subject_id,none,273,119,1e-06,1.009608445489654,432.6155954891988,4.219084628764707,22.09399893505308
cfp,2x2x1,4,8.0,0.5,subject_id,none,273,119,1e-06,1.0124694535184744,453.0696985850466,4.231040585602324,22.144406854401296
cfp,4x4x1,1,0.85,0.3,subject_id,none,273,119,1e-06,1.0131430607495857,451.7677270476888,4.233855544141252,22.06133301177717
roi,6x2x1,1,0.85,0.3,subject_id,none,273,119,1e-06,0.9620235652079732,548.1782048587769,4.020230669237181,20.521405827550904
roi,3x2x1,1,0.6,0.25,subject_id,none,273,119,1e-06,0.9742060652665722,439.3956036756756,4.071140503605921,21.0112194250231
roi,2x2x1,2,0.8,0.4,subject_id,none,273,119,1e-06,0.9745743170212058,453.73239776281633,4.072679402497299,21.07525122450928
roi,4x2x1,1,0.6,0.3,subject_id,none,273,119,1e-06,0.9766448588596924,447.8964919838656,4.081332055199445,21.07029364188473
roi,4x6x1,1,8.0,4.0,subject_id,none,273,119,1e-06,0.9768222151781822,819.9039558187394,4.082073215121884,20.444163008421512
roi,3x3x1,1,1.0,0.2,subject_id,none,273,119,1e-06,0.9781937693632006,460.4662798148297,4.087804846236284,20.760351350644708
roi,6x2x1,2,1.4,0.2,subject_id,none,273,119,1e-06,0.9791894472561844,674.4316362943113,4.091965716039083,20.75704506668697
roi,2x2x1,1,0.45,0.2,subject_id,none,273,119,1e-06,0.9793398207080602,400.7492843082448,4.092594116407778,21.449274741180787
roi,4x3x1,1,0.85,0.2,subject_id,none,273,119,1e-06,0.9823073509796936,527.6543648025712,4.104995222411174,20.78034362051989
roi,2x3x1,1,0.6,0.3,subject_id,none,273,119,1e-06,0.9848873415253778,370.8638753248178,4.115776826410511,21.40669605481181
roi,4x2x1,2,0.9,0.2,subject_id,none,273,119,1e-06,0.9885415298338932,575.8251771560842,4.13104742937738,21.13742532544813
roi,6x3x1,1,1.2,0.4,subject_id,none,273,119,1e-06,0.990430953246934,590.014164593311,4.13894320056947,20.761744512447404
roi,2x4x1,1,0.55,0.3,subject_id,none,273,119,1e-06,0.9923856830966744,424.3241740253485,4.147111882893068,21.45674531256645
roi,3x2x1,2,1.3,0.2,subject_id,none,273,119,1e-06,0.9936406559455382,526.8129026754573,4.152356328578732,21.490950611668808
roi,2x3x1,2,2.2,0.2,subject_id,none,273,119,1e-06,0.9941933799030038,462.4728255317624,4.154666124186436,21.66084662487261
