image_type,S,R,signal_h,variance_hbar,split_group,z_mode,n_pairs,n_split_groups,ridge,rmse_std,mape_std_pct,rmse_iop,mape_iop_pct
cfp,3x4x1,1,1.8,0.25,subject_id,none,273,119,1e-06,0.9889564084921734,442.1948419354055,4.132781178909459,21.41990866464618
cfp,3x4x1,1,2.0,0.25,subject_id,none,273,119,1e-06,0.9889615642520404,441.3620823826101,4.13280272447725,21.417188344162955
cfp,3x4x1,1,1.5,0.25,subject_id,none,273,119,1e-06,0.9889620718567572,444.2541496609458,4.132804845722638,21.42815532083069
cfp,3x4x1,1,2.2,0.25,subject_id,none,273,119,1e-06,0.9889678186697272,440.7654416989636,4.132828861260913,21.415522123256206
cfp,3x4x1,1,1.4,0.25,subject_id,none,273,119,1e-06,0.98897582238752,445.32168990194486,4.132862308250054,21.432544114907
cfp,3x4x1,1,2.5,0.25,subject_id,none,273,119,1e-06,0.9889765954940012,440.1398063751424,4.132865539009152,21.413797079537527
cfp,3x4x1,1,3.0,0.25,subject_id,none,273,119,1e-06,0.9889878104607334,439.4992792313781,4.132912405587937,21.412052685857063
cfp,3x4x1,1,4.0,0.25,subject_id,none,273,119,1e-06,0.9890004287219744,438.8813300055598,4.132965136438478,21.410524482544137
cfp,3x4x1,1,1.3,0.25,subject_id,none,273,119,1e-06,0.989005816289612,446.72128271065554,4.132987650715084,21.438439997290686
cfp,3x4x1,1,5.0,0.25,subject_id,none,273,119,1e-06,0.9890060237660416,438.598648115681,4.132988517744891,21.409863845797062
cfp,3x4x1,1,8.0,0.25,subject_id,none,273,119,1e-06,0.9890062209463912,438.2742361409513,4.132989341748083,21.40906978397758
cfp,3x4x1,1,6.0,0.25,subject_id,none,273,119,1e-06,0.9890080823591147,438.44243769257207,4.132997120464519,21.409493019118013
cfp,3x4x1,1,1.2,0.25,subject_id,none,273,119,1e-06,0.9890703477157848,448.62938962775377,4.133257323130618,21.4467940534981
cfp,3x4x1,1,1.5,0.2,subject_id,none,273,119,1e-06,0.9891635404356244,447.9844090374431,4.133646769131732,21.44438247042568
cfp,3x4x1,1,1.4,0.2,subject_id,none,273,119,1e-06,0.9891676140769796,449.0406383754984,4.133663792600289,21.44785907091073
cfp,3x4x1,1,1.8,0.2,subject_id,none,273,119,1e-06,0.989175549847564,445.9433634501418,4.133696955642693,21.437912004575686
cfp,3x4x1,1,1.3,0.2,subject_id,none,273,119,1e-06,0.989184257912884,450.4269484207114,4.133733346051967,21.452943756879648
cfp,3x4x1,1,2.0,0.2,subject_id,none,273,119,1e-06,0.989187581758715,445.1195658458935,4.133747236176318,21.435561749889565
cfp,3x4x1,1,1.8,0.3,subject_id,none,273,119,1e-06,0.989197910206659,440.34334856657216,4.133790398053732,21.42022291883561
cfp,3x4x1,1,2.2,0.2,subject_id,none,273,119,1e-06,0.9891986854936852,444.5301872220947,4.133793637925178,21.43398501607422
cfp,3x4x1,1,2.0,0.3,subject_id,none,273,119,1e-06,0.9892014236700128,439.49628537422313,4.133805080576739,21.41687977413106
cfp,3x4x1,1,2.2,0.3,subject_id,none,273,119,1e-06,0.989206576569676,438.8874753284773,4.133826614191934,21.414501593961003
cfp,3x4x1,1,1.5,0.3,subject_id,none,273,119,1e-06,0.9892082372995342,442.427314886698,4.133833554268404,21.428639464474987
cfp,3x4x1,1,2.5,0.2,subject_id,none,273,119,1e-06,0.989212471527954,443.9117742931398,4.133851248819317,21.43235080534957
cfp,3x4x1,1,2.5,0.3,subject_id,none,273,119,1e-06,0.989214263446592,438.2508200789439,4.133858737124725,21.41219713635597
cfp,3x4x1,1,1.1,0.25,subject_id,none,273,119,1e-06,0.9892187399281084,451.3878641911188,4.1338774440347565,21.45974269403984
cfp,3x4x1,1,2.0,0.4,subject_id,none,273,119,1e-06,0.9892201205389384,437.5281810373991,4.133883213512969,21.40118353944275
cfp,3x4x1,1,1.8,0.4,subject_id,none,273,119,1e-06,0.9892202388750126,438.37705434463874,4.1338837080313295,21.40447473871109
cfp,3x4x1,1,2.2,0.4,subject_id,none,273,119,1e-06,0.9892227347381434,436.9174607265194,4.133894138072617,21.39884358475956
cfp,3x4x1,1,3.0,0.3,subject_id,none,273,119,1e-06,0.9892244258221567,437.6014496675185,4.133901204997026,21.410095576757005
cfp,3x4x1,1,1.4,0.3,subject_id,none,273,119,1e-06,0.9892248125354096,443.5081968167831,4.133902821045255,21.43312868566029
cfp,3x4x1,1,2.5,0.4,subject_id,none,273,119,1e-06,0.9892278202810694,436.2765039395338,4.133915390208615,21.396411558573668
cfp,3x4x1,1,3.0,0.2,subject_id,none,273,119,1e-06,0.9892287407664756,443.2782418373661,4.133919236854159,21.430696349929363
cfp,3x4x1,1,1.2,0.2,subject_id,none,273,119,1e-06,0.989229071008488,452.3167948356708,4.133920616912937,21.46069695235992
cfp,3x4x1,1,3.0,0.4,subject_id,none,273,119,1e-06,0.9892353804805613,435.619552913687,4.133946983765115,21.393943640222687
cfp,3x4x1,1,4.0,0.3,subject_id,none,273,119,1e-06,0.9892360728952312,436.9696700069192,4.133949877318655,21.408102790269467
cfp,3x4x1,1,1.5,0.4,subject_id,none,273,119,1e-06,0.9892400395321,440.4655883482261,4.133966453622781,21.413139909337843
cfp,3x4x1,1,8.0,0.3,subject_id,none,273,119,1e-06,0.989240883305652,436.3479330723674,4.133969979694735,21.406443976792787
cfp,3x4x1,1,5.0,0.3,subject_id,none,273,119,1e-06,0.9892412313673146,436.6797967898014,4.133971434220612,21.40731916430057
cfp,3x4x1,1,6.0,0.3,subject_id,none,273,119,1e-06,0.98924304300001,436.51964824195153,4.133979004909717,21.40688227604108
cfp,3x4x1,1,4.0,0.4,subject_id,none,273,119,1e-06,0.9892445525087704,434.9852205612845,4.133985313043565,21.392158874270347
cfp,3x4x1,1,4.0,0.2,subject_id,none,273,119,1e-06,0.9892462076286268,442.6617233440742,4.133992229676221,21.429188490391816
cfp,3x4x1,1,8.0,0.4,subject_id,none,273,119,1e-06,0.9892470050506657,434.3470367106685,4.133995562048372,21.390901777287407
cfp,3x4x1,1,5.0,0.4,subject_id,none,273,119,1e-06,0.9892485940781862,434.6944219805988,4.134002202485679,21.39157799384442
cfp,3x4x1,1,6.0,0.4,subject_id,none,273,119,1e-06,0.9892497981209792,434.53124392714005,4.134007234098145,21.391256360830376
cfp,3x4x1,1,5.0,0.2,subject_id,none,273,119,1e-06,0.9892540020772084,442.3786076430447,4.134024802143644,21.42859613060065
cfp,3x4x1,1,8.0,0.2,subject_id,none,273,119,1e-06,0.9892566340225272,442.0542913744992,4.134035800863086,21.427885412529825
cfp,3x4x1,1,6.0,0.2,subject_id,none,273,119,1e-06,0.9892572573524772,442.2221628117365,4.134038405716307,21.42826215537491
cfp,3x4x1,1,1.3,0.3,subject_id,none,273,119,1e-06,0.9892590102378886,444.9261549076839,4.13404573090453,21.43917280866188
cfp,3x4x1,1,1.4,0.4,subject_id,none,273,119,1e-06,0.989261856264,441.5465368295712,4.134057624252959,21.41780399500417
cfp,3x4x1,1,2.0,0.5,subject_id,none,273,119,1e-06,0.989300167866606,437.0022027660047,4.134217725819444,21.4019820915444
cfp,3x4x1,1,2.2,0.5,subject_id,none,273,119,1e-06,0.9893003908764524,436.3975215146875,4.134218657762337,21.39949265347682
cfp,3x4x1,1,2.5,0.5,subject_id,none,273,119,1e-06,0.9893029404033954,435.7624739849279,4.134229312061024,21.39690693066765
cfp,3x4x1,1,1.3,0.4,subject_id,none,273,119,1e-06,0.9893032952149782,442.96118023775455,4.134230794794357,21.42408491036112
cfp,3x4x1,1,1.8,0.5,subject_id,none,273,119,1e-06,0.989303566749528,437.8419504514762,4.134231929518666,21.40548613191129
cfp,3x4x1,1,3.0,0.5,subject_id,none,273,119,1e-06,0.9893078765240532,435.1122867692426,4.134249939771585,21.39437632895068
cfp,3x4x1,1,4.0,0.5,subject_id,none,273,119,1e-06,0.989314479970068,434.47803566315446,4.134277535120754,21.39197773885289
cfp,3x4x1,1,8.0,0.5,subject_id,none,273,119,1e-06,0.9893146159458645,433.836531719492,4.134278103354306,21.389992115802727
cfp,3x4x1,1,5.0,0.5,subject_id,none,273,119,1e-06,0.9893173570436496,434.1841482210493,4.134289558214438,21.39088490209108
cfp,3x4x1,1,6.0,0.5,subject_id,none,273,119,1e-06,0.9893179496591786,434.02107830932334,4.1342920347141945,21.39044659213099
cfp,3x4x1,1,1.2,0.3,subject_id,none,273,119,1e-06,0.989330361743866,446.8621033342277,4.134343903967021,21.44779477603217
cfp,3x4x1,1,1.5,0.5,subject_id,none,273,119,1e-06,0.9893311921830028,439.8991135138082,4.134347374315365,21.414327920592346
cfp,3x4x1,1,1.1,0.2,subject_id,none,273,119,1e-06,0.9893445980096542,455.0330835500656,4.1344033963478815,21.472646762612232
cfp,3x4x1,1,1.4,0.5,subject_id,none,273,119,1e-06,0.9893569154034582,440.9602726802383,4.134454869893983,21.41905338138029
cfp,3x4x1,1,1.2,0.4,subject_id,none,273,119,1e-06,0.9893852268419334,444.8845955164612,4.134573181458653,21.433007912252872
cfp,3x4x1,1,1.3,0.5,subject_id,none,273,119,1e-06,0.9894032969245964,442.34495687830514,4.13464869509797,21.425419425794928
cfp,3x4x1,1,2.5,0.6,subject_id,none,273,119,1e-06,0.9894809459984852,434.7777030363927,4.13497318526596,21.40428560005592
cfp,3x4x1,1,2.2,0.6,subject_id,none,273,119,1e-06,0.9894811104341916,435.4146210214896,4.134973872431529,21.406899230898908
cfp,3x4x1,1,3.0,0.6,subject_id,none,273,119,1e-06,0.9894830914013892,434.1244105008471,4.134982150757935,21.401635996864275
cfp,3x4x1,1,2.0,0.6,subject_id,none,273,119,1e-06,0.989483462427908,436.0210405091613,4.134983701252375,21.40941649940303
cfp,3x4x1,1,8.0,0.6,subject_id,none,273,119,1e-06,0.9894847083112892,432.8361760691351,4.134988907713798,21.396577776939903
cfp,3x4x1,1,4.0,0.6,subject_id,none,273,119,1e-06,0.9894869807238724,433.4865440451023,4.134998403970532,21.39908153765099
cfp,3x4x1,1,6.0,0.6,subject_id,none,273,119,1e-06,0.9894885908088308,433.02466696942616,4.13500513240543,21.397270859979464
cfp,3x4x1,1,5.0,0.6,subject_id,none,273,119,1e-06,0.9894886351538428,433.19086711483646,4.135005317720204,21.397914322462885
cfp,3x4x1,1,1.8,0.6,subject_id,none,273,119,1e-06,0.989490421556924,436.863124524513,4.135012782976476,21.412961237654947
cfp,3x4x1,1,1.1,0.3,subject_id,none,273,119,1e-06,0.9894914919804524,449.79899096537633,4.135017256203176,21.461259956118564
cfp,3x4x1,1,1.2,0.5,subject_id,none,273,119,1e-06,0.9894915764062178,444.2211063903806,4.135017609012674,21.43473047534845
cfp,3x4x1,1,1.5,0.6,subject_id,none,273,119,1e-06,0.9895266940614618,438.9255203158317,4.135164363291623,21.42191307392082
cfp,3x4x1,1,1.4,0.6,subject_id,none,273,119,1e-06,0.9895568407039684,439.9890159563541,4.135290344048398,21.42670129871515
cfp,3x4x1,1,1.1,0.4,subject_id,none,273,119,1e-06,0.9895630971091032,447.8070348481585,4.13531648913747,21.44745154044276
cfp,3x4x1,1,1.3,0.6,subject_id,none,273,119,1e-06,0.989608964326857,441.3794823846547,4.135508165102793,21.43347146291697
cfp,3x4x1,1,1.0,0.25,subject_id,none,273,119,1e-06,0.9896403367526022,456.1461431221601,4.135639268323869,21.48447837239097
