n_subject,coef_type,rho_true,sigma2_function,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,rho_error_mean,rho_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std,Sigma_fro_error_mean,Sigma_fro_error_std,rho_mae,rho_rmse
1000,base1,0.0,constant,exchangeable_varying_sigma,fixed,30,30,0,0.05063106368906292,0.0017300751503300778,0.06930603476734125,0.0033269746229805425,0.02087199199300403,0.0077807894254800815,0.02449163302308332,0.009428135741679012,0.05076807676439623,0.0017651200345172465,0.06968418329610641,0.0033888550721555806,0.0212337367826826,0.007729644424379306,0.024982880002369902,0.009829469307676805,0.303230790114104,0.02658285098628829,0.3146025634665423,0.024944896672218525,0.028083303726369392,0.019090601887516444,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1618.1512102205734,1350.6211543614631,0.4302377315312353,0.036879610286852264,,
1000,base1,0.0,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.0516881200871249,0.0018423604720558455,0.07279968389598897,0.003815550580959567,0.02078287308900416,0.007908858514540136,0.024517520791219945,0.009733312117884679,0.05177063883754949,0.0018684503136633132,0.07306764200451568,0.0038500624433782933,0.020931207889364593,0.007509044270999266,0.024522855081037374,0.009535169811403243,0.31654122442938804,0.02675164277121148,0.35630098682118366,0.026773329019859488,0.029215382811254652,0.020374938894091744,0.010862100128748138,0.03392184412055418,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1291.4919971449135,276.75899107384754,,,0.029215382811254652,0.035618488566278694
1000,base1,0.0,sin,exchangeable_varying_sigma,fixed,30,30,0,0.05045995200208131,0.0017715380184204143,0.06926150057224872,0.003455491094635189,0.021189207023234628,0.007970995250863169,0.02476456520456472,0.009860501881129953,0.05054455718215941,0.0018037349175225818,0.06956934042102023,0.0034966927127821758,0.020519761562281438,0.007477084778250027,0.024200431847263598,0.009241393191707725,0.3042937902966083,0.027528037160300223,0.32723031420243043,0.02785495099670815,0.029290180883769355,0.019401085843944774,0.012603104035140244,0.03279449034224306,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1256.6952729064787,145.23924631374206,,,0.029290180883769355,0.035132845431704536
1000,base1,0.0,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.042797728073365536,0.0013635628265326058,0.05642987928970125,0.0022983101319787157,0.01815142692118438,0.00676025419815178,0.02120070484755272,0.008056828627510773,0.042901123446874065,0.0013919847553796937,0.05675204600294644,0.002371336058665169,0.017849806684977702,0.006644120415076582,0.021211161904896487,0.008390557027886904,0.20983644278167454,0.02098266838322566,0.2155892699735626,0.02155433522971338,0.027860522379485005,0.019571681145826084,0.011781297290602845,0.031944646566867865,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1265.5459601487296,202.70647799967216,,,0.027860522379485005,0.03404789876235638
1000,base1,0.3,constant,exchangeable_varying_sigma,fixed,30,30,0,0.05050633850203157,0.002045195438843199,0.06946139170585797,0.0037615860398561352,0.024433497455361063,0.0100530495750123,0.02783055284123054,0.010689534950450653,0.04941229992752295,0.0017753096220301293,0.06832692414389524,0.003503946224939515,0.02488281474773757,0.010661206357092372,0.028309733583623663,0.010861192291180752,0.302291144392839,0.03484226921832809,0.3133779639312493,0.033486859898437714,0.07483925398352695,0.030594774617989866,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1497.9493506417396,1201.1945056835657,0.4735513201476214,0.053152762068489755,,
1000,base1,0.3,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.051500244437849285,0.002076608658131552,0.07297072242484519,0.004107332757547191,0.024495490817630822,0.010277246559406381,0.028014180277591304,0.0107066582793712,0.05031617657777745,0.0017822287438949837,0.07164608322551773,0.003816361798423127,0.024428595292670476,0.01047020275333322,0.027745484255919453,0.010743883410785665,0.3151537376635259,0.03554513854160703,0.35453779739589025,0.035578865406693846,0.07701983709680185,0.030975712982855105,-0.07701983709680185,0.030975712982855105,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1325.6153259895266,290.7588504245709,,,0.07701983709680185,0.08301536063412669
1000,base1,0.3,sin,exchangeable_varying_sigma,fixed,30,30,0,0.050294614213675586,0.002023606020343102,0.06939082719876911,0.003687599345157723,0.02407079453416997,0.010258382857499887,0.02759901994996588,0.01080054778085545,0.04918608588763849,0.0017598369361170698,0.06820590736062916,0.0034452176851165594,0.024518214187773838,0.01035472156796956,0.02776759048632725,0.010590739086037823,0.3027142471664425,0.03466476936390765,0.32457833879462333,0.03448742486672424,0.07631578274106525,0.0319187840845106,-0.07631578274106525,0.0319187840845106,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1241.3218950158625,162.09296676359034,,,0.07631578274106525,0.08272186816564943
1000,base1,0.3,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.04275317691111037,0.0017644861810956754,0.05654096576772271,0.0028214265769599877,0.02084178930326658,0.008532810063784577,0.023789258613735247,0.009203746116397363,0.04186713759129335,0.0015639151869591657,0.05567559468066567,0.002654694244220402,0.021182623426678152,0.008892322485137657,0.024078478613483185,0.009068323015740447,0.20914902620043177,0.026232516293969957,0.2146460591725899,0.026170386949342796,0.07392971854874911,0.031728778084396184,-0.07392971854874911,0.031728778084396184,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1261.2626391557026,170.78835998191,,,0.07392971854874911,0.08045072183284695
1000,base1,0.6,constant,exchangeable_varying_sigma,fixed,30,30,0,0.05056953693683395,0.0023561841287233778,0.0695615192990499,0.004335222310858012,0.02658862672050164,0.01095247872706002,0.030515086801900983,0.01161961737554609,0.04525274282758242,0.0017063515647419544,0.06303717603137997,0.0036420151931369294,0.02692485159256189,0.011303518811679313,0.030412781573947827,0.011716099371000899,0.30193390244962875,0.037115839797833804,0.31327616988663026,0.03566351083632969,0.1509075740690428,0.02545056827063109,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1725.5599488156595,1602.8832290525936,0.5888064879180418,0.06141317342930424,,
1000,base1,0.6,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.05157706475846839,0.002396936598670461,0.07308372518049107,0.004729512671634208,0.026815420163727486,0.011020868184580417,0.03067947204763486,0.011703531340527736,0.04616830359371767,0.0017222332806665173,0.06624466989413298,0.00397584080723881,0.026392793851294092,0.01111011025702096,0.02982755851609425,0.011612754030172954,0.3146620306649765,0.03787547848038123,0.35418519069210236,0.03809929590979834,0.15646487897669234,0.025969108964246663,-0.15646487897669234,0.025969108964246663,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1293.5790586922521,263.24290341304146,,,0.15646487897669234,0.1586053371535394
1000,base1,0.6,sin,exchangeable_varying_sigma,fixed,30,30,0,0.05034984002784455,0.002336680848793344,0.06945698686047226,0.004229204325605159,0.02631959192803411,0.010984717837279953,0.030321999350060008,0.011648451879897133,0.045054312845135405,0.0016875617067307147,0.06290967856127631,0.0035634363369086335,0.026461832267472413,0.011043528924203771,0.029802944565792723,0.011524603428616397,0.3026041384471727,0.03762391661724525,0.3249757581865533,0.03804351614016791,0.1522726361331143,0.02666696359899944,-0.1522726361331143,0.02666696359899944,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1250.447752669187,178.1362567043171,,,0.1522726361331143,0.15459004710044624
1000,base1,0.6,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.04280031673425158,0.002019738055686817,0.056597498590071946,0.003221028225788345,0.0226699095394703,0.00923286187557851,0.026137836380169345,0.009919984901417255,0.03841936279155398,0.001492585208868825,0.05133646741931312,0.0027239313935587188,0.022911939337807583,0.009420698752336153,0.025833020908441837,0.009745444506748479,0.20892448132620683,0.027985071216829752,0.2146504674192762,0.02798015510907985,0.14772769493981636,0.0262904139211894,-0.14772769493981636,0.0262904139211894,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1246.1207615770982,188.97993468674028,,,0.14772769493981636,0.15004885109982985
1000,base1,0.9,constant,exchangeable_varying_sigma,fixed,30,30,0,0.050586936166082105,0.0027200594385320943,0.06962264196479925,0.005007483900321569,0.028822652830304697,0.011342990723260307,0.0332072935288357,0.012260031449057338,0.03569359197231937,0.0018129417810737293,0.050867245517126805,0.004008270411559297,0.02836369085200614,0.011483806276889,0.031928440097200333,0.01224044988783121,0.30139440382255994,0.039889803907469115,0.31337060786368814,0.03819500870402769,0.22701441836094152,0.019222985522318464,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1519.3651215152834,1391.537997826107,0.742646658369951,0.06853689567056702,,
1000,base1,0.9,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.05162215353170247,0.002787941530082223,0.07315645818066242,0.0054832494444879715,0.029049962590386082,0.011584932551155806,0.033326317091864885,0.012504210149463901,0.03669857738380747,0.0018786857702571501,0.05388511371047029,0.004415053272868464,0.027901734720365945,0.011245813574074146,0.03139435410781964,0.012073412744247978,0.31404700830561777,0.040490054535577955,0.35409481220060407,0.04062016791839284,0.23600571818971072,0.020218057300978184,-0.23600571818971072,0.020218057300978184,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1248.294280776204,283.9832909433756,,,0.23600571818971072,0.236870151896069
1000,base1,0.9,sin,exchangeable_varying_sigma,fixed,30,30,0,0.05035737905883534,0.0027035933979093654,0.06948649529784838,0.004889254792586158,0.028583545560931137,0.011377613338376197,0.033038466869720125,0.012295179571484486,0.035560216428694905,0.0017763164344877106,0.050750100901118284,0.0038909163386147794,0.027892865310515998,0.011231788428204284,0.031259035853889075,0.01202557389251094,0.302344082729236,0.04121633755972198,0.32557042631549105,0.0422185810667291,0.22797512491237595,0.020212611227123926,-0.22797512491237595,0.020212611227123926,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1209.832885941022,127.73672211488713,,,0.22797512491237595,0.2288694108688015
1000,base1,0.9,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.04278413941229941,0.0022964027862158,0.05662368493813764,0.003674976622307067,0.024530811602861375,0.009596958226064508,0.028492947154402915,0.01036558144917524,0.030568860989954722,0.0015188133025304143,0.04141995105079556,0.0029082497427668536,0.024009183816804256,0.009615644777140652,0.027017513719165998,0.010217800249882513,0.20851273594775932,0.03032316556849924,0.21470891175902537,0.03052814406936946,0.22150272139768465,0.01958490828165694,-0.22150272139768465,0.01958490828165694,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1207.7041009446432,182.8000876338529,,,0.22150272139768465,0.22236686852807286
1000,base2,0.0,constant,exchangeable_varying_sigma,fixed,30,30,0,0.05081004618904373,0.0020759182632964345,0.06939115497937472,0.0036438003414822214,0.02093200070736732,0.007932251796981767,0.024673244349059823,0.00954086378888298,0.050993796682671046,0.002123166647568246,0.06981182948512127,0.0037228476096846,0.021200209443705872,0.00783982622601026,0.025086507875524293,0.0098089435425304,0.3033370370620416,0.027198372056614507,0.3156938256566695,0.025662050096457036,0.02936146225602124,0.021113403422642008,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,969.9026029186032,379.1094261445645,0.43055371515281116,0.03781062278450888,,
1000,base2,0.0,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.05190466423048728,0.002191290971861201,0.07285145129928343,0.004112005716862116,0.020777172494791923,0.008041270325202186,0.024723173118333927,0.009798958516463573,0.051988511451438936,0.0022339580721335932,0.07311976450921533,0.004167699667429654,0.02105132916737206,0.007646974558169103,0.024745851518363206,0.009544429273089548,0.3167089934652519,0.0274548249571297,0.358718614147225,0.027598631275623946,0.030664663143729898,0.021953112133672886,0.009080253861044362,0.03660341087782709,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1304.976863553081,315.15708629646224,,,0.030664663143729898,0.03771287178235095
1000,base2,0.0,sin,exchangeable_varying_sigma,fixed,30,30,0,0.05049868639115589,0.0021006374196387324,0.06937910781056418,0.003781250673118661,0.021064069902456788,0.008210261843961734,0.024888040401866755,0.010005564494611045,0.050699209019515516,0.002149323098364835,0.06978392865649649,0.0038347554122785243,0.02056233277472599,0.007490803131423581,0.024322978952404557,0.009122319020895187,0.3043485525727553,0.02824999563586141,0.3254594872159375,0.028711328732503687,0.03142677293001124,0.020268609967153847,0.010334986654771342,0.035939486051428084,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1244.7575439744114,162.29342655933533,,,0.03142677293001124,0.03739597046200427
1000,base2,0.0,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.042896885854136896,0.001670066532629106,0.05652178898067026,0.002605012992511309,0.018256220671980863,0.006949285546278717,0.021355297977834017,0.00825045451746287,0.0430708588234424,0.001714962330683088,0.05691534558807632,0.0026967257097885626,0.017706547634578292,0.006698275051103648,0.021187742954504152,0.008325163322546304,0.20996812776366625,0.021490492648657298,0.21571858537427396,0.022084926351698165,0.030341050342866716,0.020362793159829633,0.0092755247230614,0.03534384419230955,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1259.230636123205,151.45144281780364,,,0.030341050342866716,0.03654069896948301
1000,base2,0.3,constant,exchangeable_varying_sigma,fixed,30,30,0,0.05025911433174141,0.0017919864991859692,0.06924755198912577,0.0035975641522218655,0.02440625374288398,0.009833184334004949,0.0280592272463852,0.010178105502856418,0.04923278061500583,0.0016345677618379883,0.0681789508413703,0.0033609013706486527,0.025071203327774263,0.010270582072847333,0.028463119187077213,0.010466652178442767,0.3027842094123352,0.03561010511695156,0.3146688465604218,0.03396622881798776,0.06872468456861203,0.0292487333803057,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1157.578340596046,454.79177705970085,0.47155112738506355,0.055079079345718686,,
1000,base2,0.3,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.05132775032076571,0.0018332749942128273,0.07275580006665555,0.003984042167899177,0.02460237207824512,0.01003074912067385,0.028155909519134024,0.010319165390772805,0.05016339983543158,0.0016607003190771252,0.0714481382288476,0.0037111589695627036,0.02454466719289807,0.010085623714874568,0.02791212193026262,0.010257200453445805,0.31561957091400605,0.03611402417253909,0.3567938907666274,0.035563875659690374,0.0710873293493583,0.030066005759123115,-0.0710873293493583,0.030066005759123115,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1354.2812879083087,254.91272260287127,,,0.0710873293493583,0.07718402099095227
1000,base2,0.3,sin,exchangeable_varying_sigma,fixed,30,30,0,0.049897520003627606,0.0017968101449953033,0.0691578215038898,0.003571981336847049,0.02423982468857947,0.01007239376902568,0.027905840932610726,0.010314798592253323,0.04889586868332561,0.001664823141852911,0.06808855646951363,0.0033676306122768468,0.024362724602190623,0.010192924328003172,0.02774551650932304,0.010318286011395832,0.3032378968302256,0.03540884154849027,0.32326327137384214,0.0349829546179011,0.06969913855641027,0.03070093240925913,-0.06969913855641027,0.03070093240925913,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1252.9578880701533,145.294592364042,,,0.06969913855641027,0.07616112634608009
1000,base2,0.3,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.04242016224600737,0.001521394039792215,0.056298893155896895,0.0025995030344997372,0.020798690416719147,0.00827315271659665,0.02412484996320099,0.008576598723872727,0.04162623618216021,0.0014015038053445082,0.05553549564252664,0.002469781334211872,0.02132646585364096,0.008657017780290674,0.024196562940025604,0.008871775082223749,0.2097041203237285,0.026990609064190197,0.2152815422191011,0.02704897528343925,0.06682290195313821,0.029804463552333342,-0.06682290195313821,0.029804463552333342,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1287.0529784812923,144.07760675066663,,,0.06682290195313821,0.07316834201402332
1000,base2,0.6,constant,exchangeable_varying_sigma,fixed,30,30,0,0.05025855138288496,0.001981803096132476,0.06926811529885872,0.0041115380626951074,0.026580733660907758,0.010758613949739211,0.030755072724810206,0.011123836503093646,0.045019473399990136,0.0015596238451200707,0.06282999179150459,0.003451561010054724,0.027088231220929192,0.011087480866099085,0.030507016799376268,0.011406494840612106,0.3024649708345649,0.03782873717119397,0.31455546305179266,0.03601037583328822,0.14463774451140715,0.023059859096847057,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1335.3176318447843,404.5805867063309,0.5851525481832489,0.06373586565585082,,
1000,base2,0.6,mixed,exchangeable_varying_sigma,fixed,30,30,0,0.05134145652276347,0.002032545029628939,0.07280155067609693,0.004551073717396226,0.026883921420689117,0.010983772897910783,0.03082309483490147,0.011373145767713378,0.04595628404797852,0.0015828104680755237,0.0659849801427442,0.0038154964950777946,0.026479101974371484,0.010963803481350494,0.029937248402200734,0.011182249104480001,0.3151989294086699,0.03833726178287685,0.35644319084627024,0.0380197654319261,0.15038243453038994,0.023750053352044175,-0.15038243453038994,0.023750053352044175,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1195.7580759379643,245.24435949686156,,,0.15038243453038994,0.15224631900151794
1000,base2,0.6,sin,exchangeable_varying_sigma,fixed,30,30,0,0.04988647460526079,0.0019717528231209857,0.06913784409508322,0.004036446112703904,0.026551577877963462,0.010888150859795383,0.03061571986048627,0.011231446905516461,0.044705319395489954,0.001576362836520085,0.06273550010080359,0.003430062882269436,0.02629688217654306,0.01105110976861191,0.02974737043775747,0.011275845075282854,0.3031700928326095,0.038294522330357586,0.3236727407981998,0.038337943136139994,0.1454598201089392,0.024166604753848398,-0.1454598201089392,0.024166604753848398,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1181.8036511853104,134.18137061982696,,,0.1454598201089392,0.14745366747373115
1000,base2,0.6,sin2,exchangeable_varying_sigma,fixed,30,30,0,0.04239725527511963,0.0016649373073822286,0.056261389783264795,0.0029320713749250243,0.02269724024797554,0.008932998224301903,0.026485207206500317,0.00927785642103103,0.038115749339622945,0.0013355141691891587,0.051135614109543336,0.0025076891292922054,0.023042267279071032,0.009327818284242654,0.02588888130695757,0.00965647718030171,0.20951221341592074,0.02869577545718854,0.21524828899775128,0.02870954945829476,0.14040784326206568,0.0236092614576222,-0.14040784326206568,0.0236092614576222,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1249.339567599394,209.70972456178376,,,0.14040784326206568,0.14237892988809528
1000,base2,0.9,constant,exchangeable_varying_sigma,fixed,30,30,0,0.05023123985362727,0.002241018146866465,0.06922423278677962,0.00470641063941358,0.028926746587168442,0.0111866967526593,0.03343399495215007,0.011847204404382297,0.035205037225452034,0.001518364436323232,0.05042720670087118,0.0037061109601808544,0.028436206667446152,0.011449237377833377,0.03197994150445701,0.011980673604359919,0.30198483053487357,0.04051021692541714,0.3146610999542711,0.0383724349840884,0.2208561085576747,0.014798115534678028,,,0.17999999999999997,2.7755575615628914e-17,0.17999999999999997,2.7755575615628914e-17,1602.9491369266898,1255.897027773222,0.7384255999700859,0.07109897174047976,,
