image_type,task_id,S,R,best_signal_h,best_variance_h,signal_cv_score,variance_cv_score,elapsed_seconds,feature_dir,output_dir
cfp,1,2x2x1,1,0.6,0.7,1.2343493159327923,0.8550798352021747,4.316045457497239,src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R1,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0001
roi,25,3x3x1,1,0.6,0.4,1.2152604234309392,0.7081633024379486,5.2514216469135135,src/experiments/grape/data/features/roi_192_iop_le35/S3x3x1_R1,src/experiments/grape/runs/cv_bandwidth/v1_adaptive_support/task_0025
