part,n_subject,coef_type,rho_true,rep,seed
7,5000,base3,0.3,0,141
7,5000,base3,0.3,1,142
7,5000,base3,0.3,2,143
7,5000,base3,0.6,0,141
7,5000,base3,0.6,1,142
7,5000,base3,0.6,2,143
7,5000,base3,0.9,0,141
7,5000,base3,0.9,1,142
7,5000,base3,0.9,2,143
7,5000,base4,0,0,141
7,5000,base4,0,1,142
7,5000,base4,0,2,143
7,5000,base4,0.3,0,141
7,5000,base4,0.3,1,142
7,5000,base4,0.3,2,143
7,5000,base4,0.6,0,141
7,5000,base4,0.6,1,142
7,5000,base4,0.6,2,143
7,5000,base4,0.9,0,141
7,5000,base4,0.9,1,142
7,5000,base4,0.9,2,143
