n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
1000,base1,0,147,1,,1089.1309255870292,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.9,-0.27117109394756855,0.049257317165629984,0.06857528414254009,0.024224147954196917,0.024344897521343268,0.03486884722657369,0.050274681097243375,0.018352428184309433,0.018836129036877935,0.2970807561303565,0.31778883560956794,0.27117109394756855,
1000,base1,2,149,1,,1133.9303501860704,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.0,-0.004590017954321029,0.05214805195610202,0.07090812992251283,0.038337460987025646,0.04382322867644586,0.05220132685395327,0.07112314217207384,0.04072409714424152,0.046929341776763715,0.3128680332201317,0.3246784895191454,0.004590017954321029,
1000,base1,1,148,1,,1151.6798959460575,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.9,-0.24545771819578321,0.048473193401740534,0.06500379922144517,0.00968103325708064,0.010503523802878112,0.034996336492497386,0.048695681236845374,0.014328679079663592,0.014621001197116734,0.33025717683378975,0.35725070529567404,0.24545771819578321,
1000,base1,2,149,1,,1158.65942402801,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.3,-0.06390201042379723,0.049825422123415265,0.06911070471734167,0.04618172509649747,0.04823623874927341,0.049642407089887985,0.06918971115295078,0.04979653531666037,0.051248565676001584,0.3028902150685075,0.3158005695453549,0.06390201042379723,
1000,base1,1,148,1,,1161.3050149839837,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.0,0.04114923028186685,0.04807380224135014,0.06486771329451727,0.01876440328729448,0.021773122978334933,0.04795466773275528,0.06482631163276398,0.01578842874631757,0.01788544773750305,0.27986205160148214,0.29795098663520836,0.04114923028186685,
1000,base1,0,147,1,,1179.4052056499058,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.3,-0.13185231569917052,0.04882255224330016,0.06743515245419025,0.0208983194746675,0.021717142716394515,0.04771470319973102,0.06614775681581156,0.021607358308300573,0.02209012207952859,0.28112106063336745,0.30335818186406743,0.13185231569917052,
1000,base1,1,148,1,,1179.725167889963,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.3,-0.11445006131034346,0.04906605447695232,0.0659283931109675,0.0021550857504729903,0.0028867882750091404,0.04825557850536652,0.06528882258261924,0.005044988934290895,0.005602600060580876,0.3141349042253171,0.33377492817645515,0.11445006131034346,
1000,base1,0,147,1,,1181.4434774960391,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.0,-0.017769077715711228,0.05059017764296841,0.07011128590414033,0.024054456727571172,0.02576445325029584,0.05064160806591389,0.0703681478936611,0.028080972826803496,0.03036474487562484,0.3060922119001982,0.32396609644223834,0.017769077715711228,
1000,base1,1,148,1,,1192.596557723009,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.6,-0.18237285481188792,0.04880654010925655,0.0655823958043263,0.005390891373142304,0.005834188983613933,0.044358105826464496,0.06050883510968595,0.007267871343901444,0.008064091704397373,0.322687564381476,0.3456022692711297,0.18237285481188792,
1000,base1,2,149,1,,1203.3628056290327,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,0.9,-0.2004603872750096,0.04774828755358135,0.06580295389589326,0.055072919086218586,0.05877615255275017,0.03424285787533564,0.049167787846492186,0.056334423315917384,0.0592834737962613,0.3067370648975903,0.32495691183101283,0.2004603872750096,
