image_type,task_id,S,R,best_signal_h,best_variance_h,signal_cv_score,variance_cv_score,elapsed_seconds,feature_dir,output_dir
cfp,1,2x2x1,1,1.0,1.2,1.2166990781231575,0.849477311693198,1.7073067080054898,src/experiments/grape/data/features/cfp_192_iop_le35/S2x2x1_R1,src/experiments/grape/runs/cv_bandwidth/v3_global_h_check/task_0001
roi,2,2x2x1,1,0.8,0.4,1.2078341661291714,0.8441257141699682,1.694080582994502,src/experiments/grape/data/features/roi_192_iop_le35/S2x2x1_R1,src/experiments/grape/runs/cv_bandwidth/v3_global_h_check/task_0002
