n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,a_eval_mode,a_eval_selected_points,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
5000,base5,1,124,1,,711.2137429580034,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,full,5000,0.6,-0.2875415278019376,0.055516104508997154,0.0782817254894363,0.016874201211661513,0.01958046535014565,0.05766361091438785,0.08444680152579674,0.019073963812039962,0.021016581028502932,0.69411800170117,0.9376493978862493,0.2875415278019376,
5000,base5,0,123,1,,714.5567771250062,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,full,5000,0.6,-0.3113752487538621,0.05701307583961083,0.07886936319272164,0.007627488198810942,0.007688308019267057,0.05936913277145414,0.08499530080459976,0.005147736567166494,0.007250648424099824,0.707353224945741,0.9592042434425246,0.3113752487538621,
5000,base5,3,126,1,,59.425045500000124,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,250,0.6,-0.3130498092797587,0.05547034617165292,0.07798496643807422,0.013022894272943009,0.014323739789159774,0.05792324210251236,0.0847671347501309,0.01060888798975429,0.01165640314639932,0.6763326594218074,0.9532790082741518,0.3130498092797587,
5000,base5,2,125,1,,59.59657658300421,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,250,0.6,-0.30466196943729745,0.05517661415166771,0.0770165416592808,0.007712211932953794,0.01152528578507474,0.05804746604342898,0.08365761901435581,0.009232354804965148,0.0115520224322245,0.744381473881664,0.9969366805370614,0.30466196943729745,
5000,base5,1,124,1,,59.79500949999783,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,250,0.6,-0.2875885180048834,0.055524039992069306,0.07829409078914336,0.01687090489593321,0.019580328459750676,0.05767247606614134,0.08445921530123958,0.019077086048475106,0.021016471828892536,0.6944519015123491,0.9380932382113406,0.2875885180048834,
5000,base5,0,123,1,,59.80160233400238,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,250,0.6,-0.3114476789472484,0.057021885652419314,0.07888195763026355,0.007635499391978093,0.007695704792456416,0.0593792555352314,0.08500837354429694,0.005155279118264938,0.0072630054134462125,0.7077096911738107,0.9596586750851693,0.3114476789472484,
5000,base5,4,127,1,,59.05996341700666,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,250,0.6,-0.32778330228293917,0.057272947373264056,0.08217358560669075,0.010791781264023997,0.015728849857818698,0.05979065216498575,0.08838681586681675,0.01279787677302413,0.016404420630789035,0.7489939140042281,1.0039389769792553,0.32778330228293917,
5000,base5,2,125,1,,118.68008404200373,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.3046467329647331,0.05516998679535103,0.07700637407667262,0.007707520902519055,0.011522943449127165,0.05803973128635928,0.08364692345080373,0.00922937077659794,0.01154908527320587,0.7440977618773913,0.9965660590547856,0.3046467329647331,
5000,base5,1,124,1,,119.29067183400912,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.2875431289144747,0.05551803996624808,0.07828470367360543,0.016872915830379837,0.019578786313824655,0.05766584321931715,0.08444975760535145,0.019072818802581576,0.02101484390064186,0.6941967879692335,0.9377504072534152,0.2875431289144747,
5000,base5,0,123,1,,119.62230545800412,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.3113957600636663,0.0570153240338638,0.07887245162056335,0.007627477395480864,0.007688323930902946,0.05937162069831043,0.08499828869238066,0.0051484630259999165,0.007250125675730636,0.7074390987755532,0.9593165813896045,0.3113957600636663,
