n_subject,coef_type,rho_true,covariance_mode,signal_bandwidth_method,n_rep,n_success,n_fail,miae_iid_mean,miae_iid_std,rmise_iid_mean,rmise_iid_std,beta_mae_iid_mean,beta_mae_iid_std,beta_rmse_iid_mean,beta_rmse_iid_std,miae_final_mean,miae_final_std,rmise_final_mean,rmise_final_std,beta_mae_final_mean,beta_mae_final_std,beta_rmse_final_mean,beta_rmse_final_std,sigma2_miae_mean,sigma2_miae_std,sigma2_rmise_mean,sigma2_rmise_std,rho_abs_error_mean,rho_abs_error_std,Sigma_fro_error_mean,Sigma_fro_error_std,best_signal_bandwidth_mean,best_signal_bandwidth_std,best_variance_bandwidth_mean,best_variance_bandwidth_std,elapsed_seconds_mean,elapsed_seconds_std
1000,base1,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.051093927524228235,0.00038076121370368926,0.06956171692517407,0.0011665204002402538,0.022332245270458784,0.001928803832876852,0.02640463148904341,0.0038060042799728877,0.05135230859829638,0.000519891778370077,0.07019925177537141,0.0013833575011039814,0.023726766327127627,0.0023087312192626,0.02732062695680081,0.0022240335194150204,0.28451505564820584,0.027396027016171887,0.29966453303107005,0.022101936800538752,0.02385403686425251,0.024739566387026943,0.4041870727462324,0.036702846887100044,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,5248.800144024193,1517.1611029002631
1000,base1,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.05068978650648059,0.0015820808873217291,0.06823130374070448,0.002455081282780241,0.015811020948030042,0.0057064167265411785,0.01887798111867939,0.006628053610568271,0.04954970332456201,0.0013655065762391704,0.06688992232090686,0.0020480682445711035,0.01605908892376602,0.006498445978189662,0.01921710562891801,0.0056479028490566165,0.26798759396078586,0.02488804421035825,0.2850922816826252,0.02153890757777825,0.06416818859030123,0.014695704243020694,0.4194520673076611,0.04198742789024303,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,3895.2861934940643,2669.678792949303
1000,base1,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.050653690809720486,0.0015993803412017531,0.06846659621154938,0.002136347524094219,0.01741977956690682,0.005765908378232351,0.02176406911326213,0.007345471031171812,0.045245090582021995,0.001120798353735455,0.06159051517450961,0.0013222228300313167,0.01825270296694802,0.006297375177403257,0.021295928353351035,0.005889417674717134,0.2657821226368998,0.029457708101468166,0.28226982714261123,0.025281622331384007,0.14271267108984248,0.012275835033693219,0.5297302366767559,0.05205271541584576,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,6159.264356393367,1655.9980777542557
1000,base1,0.9,exchangeable_varying_sigma,fixed,3,3,0,0.050574973577331074,0.0015321969982677649,0.06881512102707883,0.001689895625605817,0.02007946080309934,0.006479522061299643,0.025566769620357924,0.007578429664288485,0.03556856604190639,0.0009584194922946609,0.049994528159525216,0.0004392108799312338,0.020455062940633564,0.005994427252634176,0.023922805209762404,0.006749724132126428,0.2645360695212545,0.03490517115432848,0.2806610633505419,0.02923071663631402,0.22198559332625567,0.009735056945263205,0.6798208616487454,0.06105222463136397,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,4738.513049391098,2601.8533211099325
1000,base2,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.05090245804916375,0.0009289720053311758,0.06906642492265726,0.001802310261235373,0.02219981541853627,0.0035390884825211924,0.026592735958184555,0.003433635809025527,0.051197267436107086,0.0010395125218133827,0.06978301284347983,0.0019860916177293045,0.02425421853584039,0.003972694420891033,0.027707713203348153,0.002444212470519197,0.2843982291279699,0.026904597551125987,0.3014682944601605,0.02148348277738889,0.025328895365354303,0.024437078924327227,0.404058821331636,0.036232186947506455,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,928.350199919194,369.08258082517636
1000,base2,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.05055201917228577,0.0021494901217904974,0.06813055238155262,0.002860031056804156,0.01548014552156706,0.005105026177171911,0.01846628897258565,0.006392737553422609,0.049446219442863475,0.0019918365859864086,0.06684649645538113,0.002423541534473689,0.016008135172097804,0.005584196573598837,0.01837505079609623,0.005301641544127106,0.26926692854759043,0.02548283679048237,0.2868382087939316,0.022679955993274444,0.06382686842633137,0.010228903013310775,0.42113872814005776,0.040772357610202606,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,1489.2107672048733,947.8322073189404
1000,base2,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.05062056493810585,0.0021592688256307467,0.06832617471397247,0.002607866295764379,0.01747744085089707,0.005233202228908377,0.021572575255027926,0.006839298186509537,0.045238958477933015,0.0017617305177843792,0.06154884345440851,0.0017819004087988352,0.01786387659439638,0.005439601163012743,0.020146038820392332,0.005292676575559941,0.2673175209592804,0.030435550913581667,0.28422474791006275,0.026740207063369888,0.14161208157571467,0.007920257579969201,0.531340317731245,0.050340424091980814,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,1251.3944088391338,548.741758743527
1000,base2,0.9,exchangeable_varying_sigma,fixed,3,3,0,0.05068325560373287,0.0021252005440862477,0.06862323025791255,0.00218290793951575,0.02048917297880812,0.00541354986107288,0.025568369852302254,0.006856158371417232,0.035502925123600745,0.0014727538131212724,0.049870562811888196,0.0009625914643817205,0.01968983587619266,0.005388185313590296,0.022483439634257658,0.005978757356137928,0.2663646621273616,0.036308213448565746,0.28296953532483243,0.030909641864563766,0.21987985641336263,0.006123681557351372,0.6811025987289486,0.06013798549307067,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,3366.83474815016,3133.545521288931
1000,base3,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.0655742936264919,0.0009347366704414512,0.08546269736598507,0.00016857847069512154,0.022867689599232948,0.002044243175203861,0.0277217816586168,0.004286432341999755,0.06683918549776302,0.0008918429076712014,0.08717358687592473,0.00041404606421121366,0.02360457035417761,0.0011589878053269076,0.028134227539212398,0.002946333722171683,0.1696892023365071,0.017357980023688904,0.21170633680392895,0.011078458507653037,0.02606065202040018,0.026552322180682063,0.23640763994633818,0.0276513702934873,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,1939.9684021271144,1054.485983597968
1000,base3,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.06449280480370405,0.001617212772035354,0.08299481599155595,0.002545854565537848,0.015618217596349774,0.005339714117489625,0.02071932426731761,0.007701472726007597,0.06491396427672749,0.0011840688316250877,0.08358171888134565,0.0018923202273891696,0.016424017895015238,0.00604780108828159,0.021469870444646138,0.00688830405115457,0.14944094438716837,0.008503172075815841,0.19932196015024775,0.011949864049256173,0.08188709143606605,0.008064486896793075,0.2475343985762859,0.034712795860995356,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,1046.734996759643,240.2060248425225
1000,base3,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.06466405974527341,0.001598432878813736,0.08316824703079304,0.002286300315046894,0.01812950859416196,0.0064191655273131065,0.022891328158080478,0.008881727507792076,0.06223065726990137,0.0009005505654432861,0.0800638917985757,0.0010969597449057,0.018622725225364355,0.00659988878360733,0.023271152906327437,0.00762200333302147,0.1471980698613464,0.011369304613624075,0.19576828629325668,0.013916785189918974,0.19323972109254584,0.007811153095302072,0.39599301523728664,0.03815936653387885,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2751.3736419773973,2593.152469184715
1000,base3,0.9,exchangeable_varying_sigma,fixed,3,3,0,0.06495414475791812,0.0012941342028209434,0.08344919745700924,0.0018534981955274695,0.02139658130301243,0.007695846068826948,0.02605415658800714,0.009447374978941806,0.05695110253170823,0.0006477056807109264,0.07328927626598221,0.00029759365635175536,0.021442539214580475,0.008625786591867636,0.02557890386646319,0.009262075141904812,0.14554715799232623,0.015527519959445473,0.1929417260460745,0.015021513502655372,0.3060520246699704,0.006502979862071874,0.5716155270882424,0.04446928005262333,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,6487.758086673915,1129.1649586867404
1000,base4,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.04944846314104608,0.0005312726265807848,0.06780242759208756,0.0011769390512140433,0.022392983688040987,0.0022818177875478097,0.026371173335376637,0.003915596362547564,0.0496637710946947,0.0005949190916434112,0.06843222028098861,0.0014044447975503124,0.023553704777734163,0.002682956998060622,0.027288190330122197,0.002570654329180456,0.30093741681076147,0.02740742027494817,0.31391681652281916,0.022909183009263253,0.024808409308134872,0.026800204903342246,0.42743476246326334,0.0367143420327447,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2850.0693588694558,3049.962259925559
1000,base4,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.048721741469830465,0.001973005154476159,0.06621716300047725,0.0028943579332459555,0.01545530148701118,0.005419011496604488,0.01866042144599639,0.006693430039695634,0.047504751585992544,0.0017197874078758158,0.06480193936676082,0.0024069842583855036,0.015583029674995688,0.006132380019442986,0.018887764471439698,0.005451973859962557,0.2825485095388978,0.025276784822066224,0.2973680299848962,0.022411078215075014,0.05636832570164215,0.011972759449968551,0.4369168149659795,0.04120675968742688,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,4935.124170389026,3098.1691580604947
1000,base4,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.04869637875526942,0.0018926642172989786,0.06644225537322232,0.002589394642523938,0.017191418961046322,0.005484670778575921,0.021540656177917717,0.00740036810517361,0.04290938979022255,0.0013773100280943102,0.05923754587104615,0.0016654831695775282,0.017697733424244615,0.005915008284499896,0.020864613643101732,0.005618549323738202,0.2801988792968381,0.029853925688919456,0.29449919357454346,0.02624520825907066,0.13004247291245463,0.009354494310058614,0.5420369950789042,0.05082250082048499,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,2416.9874388792864,672.0016978227221
1000,base4,0.9,exchangeable_varying_sigma,fixed,3,3,0,0.04870069175185299,0.001671430612467032,0.06678411404958325,0.002110049384033675,0.020077953408005594,0.00636579988271655,0.025350836875062288,0.00759616234732089,0.03202292307555353,0.0011272860748054935,0.04667113117391857,0.0007802652428517976,0.01982342945811207,0.005620995113456802,0.023378420049542003,0.006525953927110718,0.2787531050712036,0.03529206881805073,0.2927834796518582,0.03031468756034636,0.20459955095573065,0.007600524432515704,0.6878555231227832,0.05994655375284922,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,789.4245341202865,317.75433880670056
2000,base1,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.03199601322205646,0.00019875981206508617,0.04209417150520583,0.00023992732393033687,0.015362052301913903,0.0012368585889900889,0.01797276383035432,0.002809042672099565,0.03203060717116548,0.0001938655702305363,0.04215339781042513,0.000262609053124325,0.015224326275506883,0.001462429222880822,0.01790347720883353,0.0028472709437695047,0.12435341488919129,0.019033942366087034,0.132799319826291,0.018810904105665063,0.00995227161284276,0.002025225932409637,0.1763602520801338,0.026642051384756636,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,3919.640702560544,794.134612793602
2000,base1,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.03450037566138298,0.0014844371731998884,0.04489281205232212,0.0018183680571281368,0.013828207608310147,0.0016564435027053126,0.01876397605543716,0.0008197485669967222,0.03335007410608721,0.0017224325807121451,0.04359353962780423,0.00212507232399826,0.013199468122368144,0.0008423213488371182,0.017855601029181174,0.0012573412610536472,0.12689666774779537,0.011850387106078787,0.13798105000645114,0.008487680707371848,0.02872560445073789,0.009887755727776806,0.20056901817513054,0.021763477099630314,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,14465.364320335599,9561.272460158812
2000,base1,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.03448635500605994,0.0011830986094405187,0.04477443487671312,0.001477385526252481,0.015732577620224977,0.002227973662143503,0.020959641711032845,0.0012569900964153574,0.02987791791726842,0.0015534609381802143,0.0389227461103576,0.0019451835022029327,0.014517108592570141,0.0010757890755402294,0.019396304642947518,0.0015414344707697994,0.12093075751611482,0.014108351651929925,0.1332141740052099,0.01029015662788043,0.075666051723431,0.009505889447061726,0.2605439695891111,0.029094100599338174,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,10095.385593633478,10470.156084765458
2000,base1,0.9,exchangeable_varying_sigma,fixed,3,3,0,0.034390239217164394,0.0007742256085484801,0.044459362267431836,0.0010034146257131788,0.01782472368407938,0.0029508311578235772,0.02310213943736822,0.0021369999264938383,0.022238317043887124,0.0009446093176328904,0.028119640491968204,0.0012533300264624704,0.015879721324317767,0.0017070693488480556,0.020726751012127707,0.002007451742336289,0.11418470167355617,0.01707331162534929,0.12802190706451005,0.012476510910037633,0.12669786341929892,0.006866271329312807,0.34424381713447233,0.035113406716801604,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,12477.308762345463,8818.90477933974
2000,base2,0.0,exchangeable_varying_sigma,fixed,3,3,0,0.03243157018115509,0.0005369000190744373,0.0427714247412223,0.0005415222754818003,0.015423142195518482,0.0030380931879431137,0.017974038312407587,0.00457456815181814,0.03250280003341711,0.0005100715106459789,0.042897059373137335,0.0005144131413404119,0.015361342827408114,0.0032655239360429647,0.017785574780957922,0.004579266983321801,0.12546422651985598,0.017973295420121736,0.13554790438113604,0.017052400330726376,0.00865738007966172,0.008712584045914218,0.1782767172993737,0.024279529447320928,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,15709.98521900984,10083.635684269326
2000,base2,0.3,exchangeable_varying_sigma,fixed,3,3,0,0.03315205028686396,0.0014303245591037385,0.04368766039210986,0.0017742035873093607,0.013481034247812418,0.0014972418276111897,0.017676808966752916,0.0017582336263705788,0.03227269259811971,0.0016056203456658767,0.04263650481144462,0.0019415572173142929,0.012255525135654394,0.0017049037374420371,0.016725249316091505,0.002514151522679645,0.1276387797924741,0.011838237642637386,0.1406466298598498,0.009022509919826987,0.023364135066484215,0.01245430578340775,0.1988649680739831,0.023631343886043012,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,12280.576645571118,10230.819617115916
2000,base2,0.6,exchangeable_varying_sigma,fixed,3,3,0,0.03306424311257592,0.0012106878476473761,0.04349994530897793,0.0015461043105369173,0.015525009193508682,0.001141724510385189,0.01992448383532869,0.0010775904869223742,0.028870482838186756,0.0014216876652959722,0.03806065949050483,0.001710613248349759,0.013990320074836199,0.0011747326344827315,0.018306521158794147,0.0023570651891074517,0.12195626993071378,0.014305535498017594,0.13586996413767405,0.01132560962216189,0.06898767098465815,0.011995617541513888,0.2558082694728732,0.03243097192662012,0.18000000000000002,2.7755575615628914e-17,0.18000000000000002,2.7755575615628914e-17,6155.171508476138,1907.8295792503495
