image_type,model,n_predictions,resid_std_mean,resid_std_sd,abs_resid_std_mean,abs_resid_std_median,abs_resid_std_q90,resid_iop_mean,resid_iop_sd,abs_resid_iop_mean,abs_resid_iop_median,abs_resid_iop_q90,od_os_resid_std_corr,od_os_resid_iop_corr
cfp,x_only_iid_vctr,546,-0.016683259696846534,1.0230688661148037,0.8050524540748851,0.6666070245418206,1.6616079877376255,-0.06971820101060784,4.275334805761526,3.3642591338361183,2.7857051545432956,6.943746114065476,0.7094397390745513,0.7094397390745512
cfp,x_only_linear,546,-0.016735954508192548,1.0141331161977276,0.8012824635528732,0.6535303249836021,1.626386125769658,-0.06993840902249497,4.237992918131677,3.348504601340805,2.7310585216357275,6.796556362345985,0.8004136568756195,0.8004136568756194
cfp,x_only_paired_vctr,546,-0.02398069007781012,0.989572235082312,0.7919333444047004,0.6834786855406936,1.6477559831591566,-0.10021366337262454,4.135354676102401,3.309435271971818,2.8562106717069824,6.885859534515071,0.7849013192621515,0.7849013192621515
cfp,xz_iid_vctr,546,-0.026311187654247597,1.182634295280197,0.9510744560928772,0.8141455852088677,1.9327731986095213,-0.10995265332070495,4.942147818748404,3.9744750912479683,3.402258706805341,8.076926980525533,0.8115277902900538,0.8115277902900538
cfp,xz_linear,546,-0.03716980992463588,1.186149491155484,0.9366112427716893,0.7370840158311527,1.9403573935464071,-0.1553300929758755,4.9568375818449555,3.9140343121730923,3.080223679976384,8.108620812349859,0.85942090055932,0.8594209005593201
cfp,xz_paired_vctr,546,-0.03857669727596597,1.1804065991754746,0.9495014767465171,0.8064343457793248,1.9286620592505106,-0.16120937897523294,4.932838429118215,3.967901718163343,3.370033964737013,8.059746810377588,0.8491061023444492,0.8491061023444489
cfp,z_only_linear,546,-0.04216573380775276,1.172908507213555,0.9354478578319266,0.7685722204466574,1.9295690629682163,-0.17620771712403133,4.901504415736168,3.909172606094249,3.2118107330306422,8.063537116867892,0.8734138594912051,0.8734138594912046
roi,x_only_iid_vctr,546,0.00015393002611080963,0.9641837595037458,0.7595907837991294,0.6410292607485786,1.5660183133883394,0.0006432630491263431,4.029257973425408,3.1742779236795546,2.6788174293659335,6.544283404024357,0.6866096930471417,0.6866096930471417
roi,x_only_linear,546,-0.001358439640656691,0.9643437147512358,0.7500329220045802,0.6121160396543316,1.5939254693595974,-0.005676826330647055,4.029926415462508,3.1343362730709545,2.5579910562984516,6.660905499765416,0.7252450286154019,0.7252450286154021
roi,x_only_paired_vctr,546,-0.0019342668034115973,0.9629038048219349,0.7628297875135183,0.6284263033007905,1.5704210021227967,-0.00808316865281945,4.023909130368807,3.187813498629369,2.6261505323302714,6.562681939068085,0.7712658614661143,0.7712658614661146
roi,xz_iid_vctr,546,0.023760975480962624,1.1622133165836932,0.9039584281308309,0.754802769963757,1.877606313720059,0.0992954911025571,4.856809945726784,3.7775804334911114,3.154269141398288,7.846388342409169,0.8218213486684299,0.82182134866843
roi,xz_linear,546,-0.0029418568137252496,1.1353822008777215,0.8787961693967027,0.7054426261973319,1.9475890955114774,-0.012293818379060014,4.744684548644978,3.6724290755320634,2.9479964772096086,8.138841600158184,0.8207125263978894,0.8207125263978893
roi,xz_paired_vctr,546,-0.0013316629807903731,1.169357374211734,0.9245948763642614,0.7441004531404563,1.8801713277532777,-0.005564928500794055,4.886664473846206,3.863818738967783,3.109544891514007,7.85710736058742,0.8535743916184255,0.8535743916184255
roi,z_only_linear,546,-0.04216573380775276,1.172908507213555,0.9354478578319266,0.7685722204466574,1.9295690629682163,-0.17620771712403133,4.901504415736168,3.909172606094249,3.2118107330306422,8.063537116867892,0.8734138594912051,0.8734138594912046
