image_type,contrast,model,reference_model,model_rmse_iop,reference_rmse_iop,delta_rmse_iop,delta_rmse_std,pct_delta_rmse_iop,model_mae_iop,reference_mae_iop
cfp,adding_z_to_linear,xz_linear,x_only_linear,4.954731659049597,4.234687770396699,0.7200438886528975,0.17230334422564586,17.00347056721598,3.9140343121730923,3.348504601340805
cfp,adding_z_to_paired_vctr,xz_paired_vctr,x_only_paired_vctr,4.9309550484622955,4.132781178909247,0.7981738695530485,0.1909995059534645,19.313238107702283,3.967901718163344,3.309435271971818
cfp,image_vctr_vs_z_only,x_only_paired_vctr,z_only_linear,4.132781178909247,4.900182989603751,-0.767401810694504,-0.18363588724411717,-15.660676597641903,3.309435271971818,3.909172606094249
cfp,paired_refit_vs_x_iid,x_only_paired_vctr,x_only_iid_vctr,4.132781178909247,4.271986803023388,-0.13920562411414128,-0.033311295252791306,-3.2585686832089955,3.309435271971818,3.364259133836118
cfp,paired_refit_vs_xz_iid,xz_paired_vctr,xz_iid_vctr,4.9309550484622955,4.938844048610569,-0.007889000148273873,-0.0018878031319551347,-0.15973373669276442,3.967901718163344,3.9744750912479683
cfp,varying_coef_vs_x_linear,x_only_paired_vctr,x_only_linear,4.132781178909247,4.234687770396699,-0.1019065914874524,-0.02438580034999671,-2.4064723779601334,3.309435271971818,3.348504601340805
roi,adding_z_to_linear,xz_linear,x_only_linear,4.740353549816685,4.026238317405276,0.7141152324114097,0.17088464279192694,17.73653659109836,3.672429075532064,3.134336273070955
roi,adding_z_to_paired_vctr,xz_paired_vctr,x_only_paired_vctr,4.882190627095144,4.020230669237372,0.8619599578577724,0.20626323709982275,21.440559728411902,3.863818738967784,3.187813498629369
roi,image_vctr_vs_z_only,x_only_paired_vctr,z_only_linear,4.020230669237372,4.900182989603751,-0.879952320366379,-0.21056873052822067,-17.957539998675347,3.187813498629369,3.909172606094249
roi,paired_refit_vs_x_iid,x_only_paired_vctr,x_only_iid_vctr,4.020230669237372,4.025566537125121,-0.0053358678877488686,-0.001276849780817213,-0.13254948933373006,3.187813498629369,3.1742779236795546
roi,paired_refit_vs_xz_iid,xz_paired_vctr,xz_iid_vctr,4.882190627095144,4.8533761315339605,0.02881449556118376,0.006895182398749755,0.5937000302524799,3.863818738967784,3.7775804334911123
roi,varying_coef_vs_x_linear,x_only_paired_vctr,x_only_linear,4.020230669237372,4.026238317405276,-0.0060076481679036675,-0.0014376038552280646,-0.14921243340049772,3.187813498629369,3.134336273070955
