n,n_rep,miae_mean,miae_std,rmise_mean,rmise_std,beta_mae_mean,beta_mae_std,beta_rmse_mean,beta_rmse_std,se_beta_nonzero_mean,se_beta_nonzero_std,ppv_beta_nonzero_mean,ppv_beta_nonzero_std,spe_beta_nonzero_mean,spe_beta_nonzero_std,npv_beta_nonzero_mean,npv_beta_nonzero_std,se_const_zero_mean,se_const_zero_std,ppv_const_zero_mean,ppv_const_zero_std,spe_const_zero_mean,spe_const_zero_std,npv_const_zero_mean,npv_const_zero_std,se_const_nonzero_mean,se_const_nonzero_std,ppv_const_nonzero_mean,ppv_const_nonzero_std,spe_const_nonzero_mean,spe_const_nonzero_std,npv_const_nonzero_mean,npv_const_nonzero_std,se_vary_mean,se_vary_std,ppv_vary_mean,ppv_vary_std,spe_vary_mean,spe_vary_std,npv_vary_mean,npv_vary_std
2000,30,0.013739381383640508,0.0004446647210611912,0.029772136829067618,0.0010148692406352065,0.013268347969651654,0.007047876703418687,0.020614914977502327,0.010852696388523523,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9966666666666667,0.001591977717921507,0.9705486168082696,0.002958223069544951,0.6430000000000001,0.03707200201409865,0.9431470367810079,0.025359986017606508,0.8054545454545455,0.03730597187033305,0.9120876946629658,0.03672628123574795,0.9964625850340136,0.0015959595427063962,0.9913129826874117,0.0016534325740735186,0.43333333333333335,0.06173086414815012,0.9954347826086957,0.013730115369250546,0.999919028340081,0.00024291497975708067,0.9797731724484691,0.0021568790188453953
3500,30,0.012920210582563202,0.00042584149808790517,0.03206985885674617,0.001002642754882711,0.009879040502131184,0.004763534172011002,0.014462799935040163,0.006180424997949818,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9925706214689267,0.0014626659283615427,0.9794046244490676,0.001900226166659746,0.7536666666666665,0.023163668870788936,0.8960532559471645,0.018944841767799925,0.8545454545454547,0.03417665982999194,0.8309388222828067,0.02974140072068166,0.9921632653061224,0.0015140601625299106,0.9934626293893264,0.0015295263419851683,0.6000000000000001,0.03933605347363484,0.9812372198363577,0.02310007743926065,0.9995681511470985,0.0005425034073479465,0.985630385475618,0.0013915646838915398
5000,30,0.013334249317898709,0.0007862598739024266,0.03552839804133075,0.0030611507716627366,0.007705163135481172,0.004615299161966129,0.012172702972268868,0.006540060590862023,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.989858757062147,0.0038555958960145966,0.9791018613301016,0.005955323544193406,0.7500000000000001,0.074027022093287,0.8673277067482789,0.040864873478362755,0.8484848484848484,0.03396103206332579,0.7940217470301133,0.07119899168872294,0.9897414965986394,0.004058072592704784,0.9931772371665458,0.00151238718271343,0.5844444444444445,0.14897730928946049,0.9447217416818041,0.044629789500894246,0.9988394062078272,0.0009275487329252134,0.9850944792174726,0.005249877288486957
