image_type,outer_fold,pc,explained_variance_ratio,cumulative_explained_variance_ratio,n_training_rows,n_training_subjects
roi,1,1,0.5987736541657399,0.5987736541657399,196,95
roi,2,1,0.6214344155524855,0.6214344155524855,226,95
roi,3,1,0.6384733809329014,0.6384733809329014,226,95
roi,4,1,0.629676412796906,0.629676412796906,223,95
roi,4,2,0.1036584562539958,0.7333348690509018,223,95
roi,5,1,0.6347075590527321,0.6347075590527321,221,96
