part,n_subject,coef_type,rho_true,rep,seed
2,5000,base2,0.6,2,128
2,5000,base2,0.9,0,126
2,5000,base2,0.9,1,127
2,5000,base2,0.9,2,128
2,5000,base3,0,0,126
2,5000,base3,0,1,127
2,5000,base3,0,2,128
2,5000,base3,0.3,0,126
2,5000,base3,0.3,1,127
2,5000,base3,0.3,2,128
2,5000,base3,0.6,0,126
2,5000,base3,0.6,1,127
2,5000,base3,0.6,2,128
2,5000,base3,0.9,0,126
2,5000,base3,0.9,1,127
2,5000,base3,0.9,2,128
2,5000,base4,0,0,126
2,5000,base4,0,1,127
2,5000,base4,0,2,128
2,5000,base4,0.3,0,126
2,5000,base4,0.3,1,127
2,5000,base4,0.3,2,128
2,5000,base4,0.6,0,126
2,5000,base4,0.6,1,127
2,5000,base4,0.6,2,128
2,5000,base4,0.9,0,126
2,5000,base4,0.9,1,127
2,5000,base4,0.9,2,128
