pc,variable,loading,explained_variance_ratio
1,z_vf_00_mean,0.1262405556897514,0.6242955174984463
1,z_vf_01_mean,0.11166921776652228,0.6242955174984463
1,z_vf_02_mean,0.1240641833690902,0.6242955174984463
1,z_vf_03_mean,0.14072120430294152,0.6242955174984463
1,z_vf_04_mean,0.11595571334945211,0.6242955174984463
1,z_vf_05_mean,0.11742660757708526,0.6242955174984463
1,z_vf_06_mean,0.1280508903036654,0.6242955174984463
1,z_vf_07_mean,0.14065880355588017,0.6242955174984463
1,z_vf_08_mean,0.13030863147922916,0.6242955174984463
1,z_vf_09_mean,0.13128277444847739,0.6242955174984463
1,z_vf_10_mean,0.1363096657831038,0.6242955174984463
1,z_vf_11_mean,0.13975596124276451,0.6242955174984463
1,z_vf_12_mean,0.13918988681944655,0.6242955174984463
1,z_vf_13_mean,0.13201023079190943,0.6242955174984463
1,z_vf_14_mean,0.13204117567067852,0.6242955174984463
1,z_vf_15_mean,0.14632527248128846,0.6242955174984463
1,z_vf_16_mean,0.1370974196244428,0.6242955174984463
1,z_vf_17_mean,0.14515315251861208,0.6242955174984463
1,z_vf_18_mean,0.1392804321905935,0.6242955174984463
1,z_vf_19_mean,0.14105291741816453,0.6242955174984463
1,z_vf_20_mean,0.13888644738398867,0.6242955174984463
1,z_vf_22_mean,0.1372601659547701,0.6242955174984463
1,z_vf_23_mean,0.13678317118998012,0.6242955174984463
1,z_vf_24_mean,0.13458463924097072,0.6242955174984463
1,z_vf_25_mean,0.13157104905570788,0.6242955174984463
1,z_vf_26_mean,0.1312032148554646,0.6242955174984463
1,z_vf_27_mean,0.1406567867176123,0.6242955174984463
1,z_vf_28_mean,0.13953123704451512,0.6242955174984463
1,z_vf_29_mean,0.13838137383392174,0.6242955174984463
1,z_vf_30_mean,0.1377292204486771,0.6242955174984463
1,z_vf_31_mean,0.13648469866538,0.6242955174984463
1,z_vf_33_mean,0.09655591658639813,0.6242955174984463
1,z_vf_34_mean,0.11252174378512511,0.6242955174984463
1,z_vf_35_mean,0.1137433743908625,0.6242955174984463
1,z_vf_36_mean,0.12642708307704267,0.6242955174984463
1,z_vf_37_mean,0.1330960238460975,0.6242955174984463
1,z_vf_38_mean,0.12957533783439587,0.6242955174984463
1,z_vf_39_mean,0.1328126418966335,0.6242955174984463
1,z_vf_40_mean,0.13310094273069556,0.6242955174984463
1,z_vf_41_mean,0.13259837240184116,0.6242955174984463
1,z_vf_42_mean,0.1331942647686898,0.6242955174984463
1,z_vf_43_mean,0.13984593043668292,0.6242955174984463
1,z_vf_44_mean,0.13633797175939077,0.6242955174984463
1,z_vf_45_mean,0.13455671935444224,0.6242955174984463
1,z_vf_46_mean,0.13585485681613665,0.6242955174984463
1,z_vf_47_mean,0.13342952889578688,0.6242955174984463
1,z_vf_48_mean,0.13046713128894763,0.6242955174984463
1,z_vf_49_mean,0.1291016918117562,0.6242955174984463
1,z_vf_50_mean,0.12174133216716385,0.6242955174984463
1,z_vf_51_mean,0.12075866002301683,0.6242955174984463
1,z_vf_52_mean,0.0884486140305811,0.6242955174984463
1,z_vf_53_mean,0.08644510614147553,0.6242955174984463
1,z_vf_54_mean,0.12922220812401436,0.6242955174984463
1,z_vf_55_mean,0.1300927764541002,0.6242955174984463
1,z_vf_56_mean,0.13505346907073768,0.6242955174984463
1,z_vf_57_mean,0.13756923598362641,0.6242955174984463
1,z_vf_58_mean,0.13120746540073203,0.6242955174984463
1,z_vf_59_mean,0.1292638059932213,0.6242955174984463
1,z_vf_60_mean,0.0931220564310879,0.6242955174984463
