part,bundle_block,n_subject,coef_type,sigma2_function,rho_true,rep,seed
6,a1a4_varying_var,2000,base2,mixed,0.0,0,123
6,a1a4_varying_var,2000,base2,mixed,0.3,0,123
6,a1a4_varying_var,2000,base2,mixed,0.6,0,123
6,a1a4_varying_var,2000,base2,mixed,0.9,0,123
6,a1a4_varying_var,5000,base2,mixed,0.0,0,123
6,a1a4_varying_var,5000,base2,mixed,0.3,0,123
6,a1a4_varying_var,5000,base2,mixed,0.6,0,123
6,a1a4_varying_var,5000,base2,mixed,0.9,0,123
6,a5a6_allsigma,2000,base6,sin,0.0,0,123
6,a5a6_allsigma,2000,base6,sin,0.3,0,123
6,a5a6_allsigma,2000,base6,sin,0.6,0,123
6,a5a6_allsigma,2000,base6,sin,0.9,0,123
6,a5a6_allsigma,5000,base6,sin,0.0,0,123
6,a5a6_allsigma,5000,base6,sin,0.3,0,123
6,a5a6_allsigma,5000,base6,sin,0.6,0,123
6,a5a6_allsigma,5000,base6,sin,0.9,0,123
6,a1a4_varying_var,2000,base1,sin2,0.0,1,124
6,a1a4_varying_var,2000,base1,sin2,0.3,1,124
6,a1a4_varying_var,2000,base1,sin2,0.6,1,124
6,a1a4_varying_var,2000,base1,sin2,0.9,1,124
6,a1a4_varying_var,5000,base1,sin2,0.0,1,124
6,a1a4_varying_var,5000,base1,sin2,0.3,1,124
6,a1a4_varying_var,5000,base1,sin2,0.6,1,124
6,a1a4_varying_var,5000,base1,sin2,0.9,1,124
6,a1a4_varying_var,2000,base4,sin,0.0,1,124
6,a1a4_varying_var,2000,base4,sin,0.3,1,124
6,a1a4_varying_var,2000,base4,sin,0.6,1,124
6,a1a4_varying_var,2000,base4,sin,0.9,1,124
6,a1a4_varying_var,5000,base4,sin,0.0,1,124
6,a1a4_varying_var,5000,base4,sin,0.3,1,124
6,a1a4_varying_var,5000,base4,sin,0.6,1,124
6,a1a4_varying_var,5000,base4,sin,0.9,1,124
6,a5a6_allsigma,2000,base6,sin,0.0,1,124
6,a5a6_allsigma,2000,base6,sin,0.3,1,124
6,a5a6_allsigma,2000,base6,sin,0.6,1,124
6,a5a6_allsigma,2000,base6,sin,0.9,1,124
6,a5a6_allsigma,5000,base6,sin,0.0,1,124
